id,is_archive_data,field_type,field_id,field_difficulty,trigger_type,trigger_type_value,quest_type,is_awake_load,is_use_spawn_condition,spawn_condition_time,spawn_condition_stage,spawn_condition_mission,spawn_condition_interaction_action_trigger,spawn_condition_field_item,is_use_despawn_condition,despawn_condition_time,despawn_condition_stage,despawn_condition_mission,despawn_condition_interaction_action_trigger,despawn_condition_field_item,trigger_active_type,trigger_action_type,trigger_action_value,interaction_marker_resource,is_repeat_stop_on_overlap,is_use_camera_action,is_use_hud_hide,is_use_fade_in_out,fade_in_out_delay,outro_fade_in_out_start_time,story_event_id_list/0/story_event_id,story_event_id_list/1/story_event_id,story_event_id_list/2/story_event_id
102201,False,Campaign,23,None,ScenarioDialog,d_ex_modernbar_01,None,True,False,10000000,0,0,0,0,False,-207705728,0,0,0,0,Once,Auto,0,,True,False,False,False,0,0,0,0,0
102202,False,Campaign,23,None,ScenarioDialog,d_ex_modernbar_02,None,True,False,10000000,0,0,0,0,False,-207705728,0,0,0,0,Repeat,Manual,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102203,False,Campaign,23,None,ScenarioDialog,d_ex_modernbar_03,None,True,False,10000000,0,0,0,0,False,-207705728,0,0,0,0,Once,Stage,6022002,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102204,False,Campaign,23,None,ScenarioDialog,d_ex_gym_01,None,False,True,1251680256,0,0,0,0,False,-207705728,0,0,0,0,OncePerEnter,Manual,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102205,False,Campaign,23,None,ScenarioDialog,d_ex_gym_02,None,False,True,10000000,6022003,0,0,0,False,-207705728,0,0,0,0,OncePerDay,Manual,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102206,False,Campaign,23,None,ScenarioDialog,d_ex_gym_03,None,False,True,10000000,0,256,0,0,False,-207705728,0,0,0,0,Repeat,Manual,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102207,False,Campaign,23,None,ScenarioDialog,d_ex_gym_04,None,False,True,10000000,0,0,102201,0,False,-207705728,0,0,0,0,Once,Manual,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102208,False,Campaign,23,None,ScenarioDialog,d_ex_gym_05,None,False,True,10000000,0,0,0,50022001,False,-207705728,0,0,0,0,Once,Manual,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102209,False,Campaign,23,None,ScenarioDialog,d_ex_shopping_01,None,True,False,10000000,0,0,0,0,True,1251680256,0,0,0,0,OncePerEnter,Manual,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102210,False,Campaign,23,None,ScenarioDialog,d_ex_shopping_02,None,True,False,10000000,0,0,0,0,True,-207705728,6022003,0,0,0,OncePerDay,Manual,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102211,False,Campaign,23,None,ScenarioDialog,d_ex_shopping_03,None,True,False,10000000,0,0,0,0,True,-207705728,0,256,0,0,Repeat,Manual,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102212,False,Campaign,23,None,ScenarioDialog,d_ex_shopping_04,None,True,False,10000000,0,0,0,0,True,-207705728,0,0,102201,0,Once,Manual,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102213,False,Campaign,23,None,ScenarioDialog,d_ex_shopping_05,None,True,False,10000000,0,0,0,0,True,-207705728,0,0,0,50022001,Once,Manual,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102214,False,Event,10004,None,TimeLineAction,febg_tropical_001__timeline_dummy_1,None,True,False,10000000,0,0,0,0,False,-207705728,0,0,0,0,OncePerEnter,Auto,0,sprite_btn_timeline_trigger,True,True,False,False,0,0,0,0,0
102215,False,Event,10004,None,TimeLineAction,febg_tropical_001__timeline_dummy_2,None,True,False,10000000,0,0,0,0,False,-207705728,0,0,0,0,Repeat,Manual,0,sprite_btn_timeline_trigger,True,True,True,True,300,150,0,0,0
102701,False,Campaign,28,Normal,TimeLineAction,fcbg_desertcrystal_001_growcrystal_timeline,None,True,True,10000000,6027033,0,0,0,False,-207705728,0,0,0,0,Once,Stage,6027033,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102702,False,Campaign,28,Normal,TimeLineAction,fcbg_desertcrystal_001_mmg005_timeline,None,True,True,705036672,0,0,0,0,False,-207705728,0,0,0,0,Repeat,Auto,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
112701,False,Campaign,28,Hard,TimeLineAction,fcbg_desertcrystal_001_growcrystal_timeline,None,True,True,10000000,7027028,0,0,0,False,-207705728,0,0,0,0,Once,Stage,7027028,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
112702,False,Campaign,28,Hard,TimeLineAction,fcbg_desertcrystal_001_mmg005_timeline,None,True,True,705036672,0,0,0,0,False,-207705728,0,0,0,0,Repeat,Auto,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
122701,False,Campaign,28,Story,TimeLineAction,fcbg_desertcrystal_001_growcrystal_timeline,None,True,False,10000000,8027007,0,0,0,False,-207705728,0,0,0,0,Once,Stage,8027007,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
122702,False,Campaign,28,Story,TimeLineAction,fcbg_desertcrystal_001_mmg005_timeline,None,True,False,10000000,0,0,0,0,False,-207705728,0,0,0,0,Repeat,Auto,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102801,False,Campaign,29,Normal,TimeLineAction,fcbg_cityforestcrystal_001_display_off_timeline,None,True,True,705036672,0,0,0,0,True,-207705728,6028028,0,0,0,Repeat,Auto,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102802,False,Campaign,29,Normal,TimeLineAction,fcbg_cityforestcrystal_001_display_on_timeline,None,True,True,10000000,6028028,0,0,0,False,-207705728,0,0,0,0,Once,Stage,6028028,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102803,False,Campaign,29,Normal,TimeLineAction,fcbg_cityforestcrystal_001_3point_crystal_light_timeline,None,True,True,705036672,0,0,0,0,True,-207705728,6028050,0,0,0,Repeat,Auto,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102804,False,Campaign,29,Normal,TimeLineAction,fcbg_cityforestcrystal_001_c944_00_on_timeline,None,True,True,705036672,0,0,0,0,True,-207705728,6028045,0,0,0,Repeat,Auto,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102805,False,Campaign,29,Normal,TimeLineAction,fcbg_cityforestcrystal_001_c944_00_off_timeline,None,True,True,10000000,6028045,0,0,0,False,-207705728,0,0,0,0,Repeat,Auto,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102806,False,Campaign,29,Normal,TimeLineAction,fcbg_cityforestcrystal_001_crystal_big_light_weak_timeline,None,True,True,705036672,0,0,0,0,True,-207705728,6028046,0,0,0,Repeat,Auto,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102807,False,Campaign,29,Normal,TimeLineAction,fcbg_cityforestcrystal_001_crystal_big_light_strong_timeline,None,True,True,10000000,6028046,0,0,0,True,-207705728,6028050,0,0,0,Repeat,Auto,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
102808,False,Campaign,29,Normal,TimeLineAction,fcbg_cityforestcrystal_001_crystaldestroy_timeline,None,True,True,10000000,6028050,0,0,0,False,-207705728,0,0,0,0,Once,Stage,6028050,sprite_btn_timeline_trigger,True,True,True,False,0,0,0,0,0
102809,False,Campaign,29,Normal,TimeLineAction,fcbg_cityforestcrystal_001_crystaldestroy_off_timeline,None,True,True,705036672,0,0,0,0,True,-207705728,6028050,0,0,0,Repeat,Auto,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
112801,False,Campaign,29,Hard,TimeLineAction,fcbg_cityforestcrystal_001_display_off_timeline,None,True,True,705036672,0,0,0,0,True,-207705728,7028026,0,0,0,Repeat,Auto,0,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
112802,False,Campaign,29,Hard,TimeLineAction,fcbg_cityforestcrystal_001_display_on_timeline,None,True,True,10000000,7028026,0,0,0,False,-207705728,0,0,0,0,Once,Stage,7028026,sprite_btn_timeline_trigger,True,False,False,False,0,0,0,0,0
