id,group_id,item_group,repeat_purchase,is_opened,open_condition_type,open_condition_value,shop_item_order,item_price,item_id
1001,1,FishingRod,False,True,None,0,1,3000,102
1002,1,FishingRod,False,True,None,0,2,3000,103
1003,1,FishingRod,False,False,GainItem,102,3,15000,104
1004,1,FishingRod,False,False,GainItem,103,4,15000,105
1005,1,FishingRod,False,False,GainItem,104,5,30000,106
1006,1,FishingRod,False,False,GainItem,105,6,30000,107
1007,1,FishingRod,False,False,GainItem,106,7,60000,108
1008,1,FishingRod,False,False,GainItem,107,8,60000,109
2001,1,Bait,True,True,None,0,1,5,201
2002,1,Bait,True,True,None,0,3,100,202
2003,1,Bait,True,True,None,0,2,10,203
2004,1,Bait,True,True,None,0,4,500,204
2005,1,Bait,True,True,None,0,5,500,205
3001,1,BoatReinforce,False,True,None,0,1,25000,301
3002,1,BoatReinforce,False,True,None,0,2,15000,302
3003,1,BoatReinforce,False,False,GainItem,302,3,25000,303
3004,1,BoatReinforce,False,True,None,0,4,15000,304
3005,1,BoatReinforce,False,True,None,0,5,5000,305
3006,1,BoatReinforce,False,False,GainItem,305,6,15000,306
3007,1,BoatReinforce,False,True,None,0,7,15000,307
