mission_id,event_id,mission_localkey,mission_category,mission_type,mission_target_id,mission_count,reward_type,reward_value
1,81901,Locale_EvaSystem:YX002_MISSION_DESC_01,Star,StarCnt,0,5,Item,8148051
2,81901,Locale_EvaSystem:YX002_MISSION_DESC_01,Star,StarCnt,0,10,Item,8148052
3,81901,Locale_EvaSystem:YX002_MISSION_DESC_01,Star,StarCnt,0,20,Item,8148053
4,81901,Locale_EvaSystem:YX002_MISSION_DESC_01,Star,StarCnt,0,30,Item,8148054
5,81901,Locale_EvaSystem:YX002_MISSION_DESC_01,Star,StarCnt,0,40,Item,8148055
6,81901,Locale_EvaSystem:YX002_MISSION_DESC_01,Star,StarCnt,0,50,Item,8148056
7,81901,Locale_EvaSystem:YX002_MISSION_DESC_04,DailyPoint,DailyPointReward,0,20,Item,8148057
8,81901,Locale_EvaSystem:YX002_MISSION_DESC_04,DailyPoint,DailyPointReward,0,40,Item,8148058
9,81901,Locale_EvaSystem:YX002_MISSION_DESC_04,DailyPoint,DailyPointReward,0,60,Item,8148059
10,81901,Locale_EvaSystem:YX002_MISSION_DESC_04,DailyPoint,DailyPointReward,0,80,Item,8148060
11,81901,Locale_EvaSystem:YX002_MISSION_DESC_04,DailyPoint,DailyPointReward,0,100,Item,8148061
12,81901,Locale_EvaSystem:YX002_MISSION_DESC_09,DailyMission,BuffCnt,0,3,DailyPoint,40
13,81901,Locale_EvaSystem:YX002_MISSION_DESC_24,DailyMission,UseMechaId,0,1,DailyPoint,40
14,81901,Locale_EvaSystem:YX002_MISSION_DESC_11,DailyMission,PassAny,0,1,DailyPoint,40
15,81901,Locale_EvaSystem:YX002_MISSION_DESC_27,DailyMission,Damage,0,50000,DailyPoint,60
16,81901,Locale_EvaSystem:YX002_MISSION_DESC_16,Achievement,AchCnt,0,21,Item,8148062
17,81901,Locale_EvaSystem:YX002_MISSION_DESC_29,Achievement,PassStageId,1004,1,Item,8148063
18,81901,Locale_EvaSystem:YX002_MISSION_DESC_29,Achievement,PassStageId,1008,1,Item,8148064
19,81901,Locale_EvaSystem:YX002_MISSION_DESC_29,Achievement,PassStageId,1012,1,Item,8148065
20,81901,Locale_EvaSystem:YX002_MISSION_DESC_29,Achievement,PassStageId,1015,1,Item,8148066
21,81901,Locale_EvaSystem:YX002_MISSION_DESC_29,Achievement,PassStageId,1018,1,Item,8148067
22,81901,Locale_EvaSystem:YX002_MISSION_DESC_29,Achievement,PassStageId,1021,1,Item,8148068
23,81901,Locale_EvaSystem:YX002_MISSION_DESC_25,Achievement,UseMechaIdPass,4009,5,Item,8148069
24,81901,Locale_EvaSystem:YX002_MISSION_DESC_25,Achievement,UseMechaIdPass,4008,5,Item,8148070
25,81901,Locale_EvaSystem:YX002_MISSION_DESC_25,Achievement,UseMechaIdPass,4010,5,Item,8148071
26,81901,Locale_EvaSystem:YX002_MISSION_DESC_26,Achievement,UseWingmanIdPass,4003,5,Item,8148072
27,81901,Locale_EvaSystem:YX002_MISSION_DESC_26,Achievement,UseWingmanIdPass,4004,5,Item,8148073
28,81901,Locale_EvaSystem:YX002_MISSION_DESC_15,Achievement,UpSkill,0,5,Item,8148074
29,81901,Locale_EvaSystem:YX002_MISSION_DESC_15,Achievement,UpSkill,0,10,Item,8148075
30,81901,Locale_EvaSystem:YX002_MISSION_DESC_15,Achievement,UpSkill,0,20,Item,8148076
31,81901,Locale_EvaSystem:YX002_MISSION_DESC_21,Achievement,Score,0,30000,Item,8148077
32,81901,Locale_EvaSystem:YX002_MISSION_DESC_21,Achievement,Score,0,50000,Item,8148078
33,81901,Locale_EvaSystem:YX002_MISSION_DESC_21,Achievement,Score,0,70000,Item,8148079
34,81901,Locale_EvaSystem:YX002_MISSION_DESC_20,Achievement,KillEnemyCnt,0,200,Item,8148080
35,81901,Locale_EvaSystem:YX002_MISSION_DESC_20,Achievement,KillEnemyCnt,0,500,Item,8148081
36,81901,Locale_EvaSystem:YX002_MISSION_DESC_20,Achievement,KillEnemyCnt,0,1000,Item,8148082
37,81901,Locale_EvaSystem:YX002_MISSION_DESC_20,Achievement,KillEnemyCnt,0,2000,Item,8148083
