id,skill_group,description_localkey,battle_radius,target,target_position,target_position_value_1,target_position_value_2,skill_type,skill_value,skill_hit_count,knock_back_damage,projectile_speed,projectile_parabola_height,remain_time,cool_time,animation_skill,animation_skill_speed,effect_muzzle,effect_projectile,effect_skill,effect_impact,effect_impact_scale,effect_hit,effect_hit_default,area_type,area_remain_time,area_action_time,area_skill_type,area_skill_value,effect_area,effect_area_scale
101,1,0,300000,EnemyAll,Single,0,0,Projectile,0,1,1000,400000,0,0,10000,0,10000,bm_fx_skill01_friendly_101_muz,bm_fx_skill01_friendly_101,0,bm_fx_skill01_friendly_101_hit,6000,0,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
101101,1011,0,70000,EnemyAll,Single,0,0,Attack,0,1,2500,0,0,0,10000,skill01,10000,0,0,0,0,0,bm_fx_skill01_minion_101,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
101201,1012,0,70000,EnemyAll,Single,0,0,Attack,0,1,2500,0,0,0,10000,skill01,10000,0,0,0,0,0,bm_fx_skill01_minion_102,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
101202,1012,0,0,Self,Single,0,0,HpBarrier,2000,1,0,0,0,50000,100000,0,10000,0,0,bm_fx_skill02_minion_102_buff,0,0,0,0,None,0,0,None,0,0,0
101301,1013,0,70000,EnemyAll,Single,0,0,Attack,0,1,5000,0,0,0,10000,skill01,10000,0,0,0,0,0,bm_fx_skill01_minion_103,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
102101,1021,0,70000,EnemyAll,Single,0,0,Attack,0,1,2500,0,0,0,10000,skill01,10000,0,0,0,0,0,bm_fx_skill01_minion_201,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
102201,1022,0,70000,EnemyAll,Single,0,0,Attack,0,1,2500,0,0,0,10000,skill01,10000,0,0,0,0,0,bm_fx_skill01_minion_202,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
102202,1022,0,300000,EnemyAll,Single,0,0,Teleport,0,1,0,0,0,0,100000,summon,10000,bm_fx_skill02_minion_202_start,0,0,bm_fx_summon_minion_101,10000,0,0,None,0,0,None,0,0,0
102301,1023,0,70000,EnemyAll,Single,0,0,Attack,0,1,2500,0,0,0,10000,skill01,10000,0,0,0,0,0,bm_fx_skill01_minion_203,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
103101,1031,0,250000,EnemyAll,Single,0,0,Projectile,0,3,1250,400000,0,0,10000,skill01,10000,bm_fx_skill01_minion_301_muz,bm_fx_skill01_minion_301,0,0,0,bm_fx_skill01_minion_301_hit,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
103201,1032,0,250000,EnemyAll,Single,0,0,Projectile,0,3,1250,400000,0,0,5000,skill01,10000,bm_fx_skill01_minion_302_muz,bm_fx_skill01_minion_302,0,0,0,bm_fx_skill01_minion_302_hit,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
103202,1032,0,0,Self,Single,0,0,DecreaseCooltime,10000,1,0,0,0,50000,100000,0,10000,0,0,bm_fx_skill02_minion_302_buff,0,0,0,0,None,0,0,None,0,0,0
103301,1033,0,300000,EnemyAll,Single,0,0,Projectile,0,1,1250,500000,0,0,10000,skill01,10000,bm_fx_skill01_minion_303_muz,bm_fx_skill01_minion_303,0,0,0,bm_fx_skill01_minion_303_hit,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
104101,1041,0,200000,EnemyAll,Circle,10,0,ProjectileParabola,0,1,250,200000,150000,0,20000,skill01,10000,0,bm_fx_skill01_minion_401,0,bm_fx_skill01_minion_401_hit,22000,0,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
