id,group,page_number,order,resource_type,resource_value
1,lethal,1,1,image,guide_con_pass
2,lethal,1,2,locale,Immortal_add_des
3,10000,1,1,locale,10000_1_add_des
4,10000,1,2,locale,10000_2_add_des
5,10000,1,3,locale,10000_3_add_des
6,10001,1,1,locale,10001_1_add_des
7,10001,1,2,locale,10001_2_add_des
8,10001,1,3,locale,10001_3_add_des
9,10002,1,1,locale,10002_1_add_des
10,10002,1,2,locale,10002_2_add_des
11,10003,1,1,locale,10003_1_add_des
12,10003,1,2,locale,10003_2_add_des
13,10003,1,3,locale,10003_3_add_des
14,10004,1,1,locale,10004_1_add_des
15,10004,1,2,locale,10004_2_add_des
16,10004,1,3,locale,10004_3_add_des
17,10005,1,1,locale,10005_1_add_des
18,10005,1,2,locale,10005_2_add_des
19,10006,1,1,locale,10006_1_add_des
20,10006,1,2,locale,10006_2_add_des
21,10006,1,3,locale,10006_3_add_des
22,10007,1,1,locale,10007_1_add_des
23,10007,1,2,locale,10007_2_add_des
24,10008,1,1,locale,10008_1_add_des
25,10008,1,2,locale,10008_2_add_des
26,10009,1,1,locale,10009_1_add_des
27,10009,1,2,locale,10009_2_add_des
28,10010,1,1,locale,10010_1_add_des
29,10010,1,2,locale,10010_2_add_des
30,10011,1,1,locale,10011_1_add_des
31,10012,1,1,locale,10012_1_add_des
32,10013,1,1,locale,10013_1_add_des
33,10014,1,1,locale,10014_1_add_des
34,10014,1,2,locale,10014_2_add_des
35,10015,1,1,locale,10015_1_add_des
36,10015,1,2,locale,10015_2_add_des
37,10016,1,1,locale,10016_1_add_des
38,10016,1,2,locale,10016_2_add_des
39,10016,1,3,locale,10016_3_add_des
40,10017,1,1,locale,10017_1_add_des
41,10017,1,2,locale,10017_2_add_des
42,10018,1,1,locale,10018_1_add_des_1
43,10018,1,2,locale,10018_2_add_des_1
44,10019,1,1,locale,10019_1_add_des
45,10019,1,2,locale,10019_2_add_des
46,10019,1,3,locale,10019_3_add_des
