id,costs/0/item_type,costs/0/item_id,costs/0/item_value,costs/1/item_type,costs/1/item_id,costs/1/item_value,costs/2/item_type,costs/2/item_id,costs/2/item_value,costs/3/item_type,costs/3/item_id,costs/3/item_value,costs/4/item_type,costs/4/item_id,costs/4/item_value
10102,Item,7091001,8,None,0,0,None,0,0,None,0,0,None,0,0
10103,Item,7091001,10,None,0,0,None,0,0,None,0,0,None,0,0
10104,Item,7091001,26,None,0,0,None,0,0,None,0,0,None,0,0
10105,Item,7091001,42,Item,7091002,60,None,0,0,Item,7093001,10,None,0,0
10106,Item,7091001,126,Item,7091002,90,None,0,0,Item,7093001,15,None,0,0
10107,Item,7091001,168,Item,7091002,120,None,0,0,Item,7093001,30,None,0,0
10108,Item,7091001,210,Item,7091002,150,Item,7091003,90,Item,7093001,70,None,0,0
10109,Item,7091001,231,Item,7091002,165,Item,7091003,105,Item,7093001,100,None,0,0
10110,Item,7091001,273,Item,7091002,190,Item,7091003,120,Item,7093001,135,None,0,0
10202,Item,7091001,8,None,0,0,None,0,0,None,0,0,None,0,0
10203,Item,7091001,10,None,0,0,None,0,0,None,0,0,None,0,0
10204,Item,7091001,26,None,0,0,None,0,0,None,0,0,None,0,0
10205,Item,7091001,42,Item,7091002,60,None,0,0,Item,7093001,10,None,0,0
10206,Item,7091001,126,Item,7091002,90,None,0,0,Item,7093001,15,None,0,0
10207,Item,7091001,168,Item,7091002,120,None,0,0,Item,7093001,30,None,0,0
10208,Item,7091001,210,Item,7091002,150,Item,7091003,90,Item,7093001,70,None,0,0
10209,Item,7091001,231,Item,7091002,165,Item,7091003,105,Item,7093001,100,None,0,0
10210,Item,7091001,273,Item,7091002,190,Item,7091003,120,Item,7093001,135,None,0,0
10302,Item,7092001,8,None,0,0,None,0,0,None,0,0,None,0,0
10303,Item,7092001,10,None,0,0,None,0,0,None,0,0,None,0,0
10304,Item,7092001,26,None,0,0,None,0,0,None,0,0,None,0,0
10305,Item,7092001,42,Item,7092002,60,None,0,0,Item,7093001,20,None,0,0
10306,Item,7092001,126,Item,7092002,90,None,0,0,Item,7093001,30,None,0,0
10307,Item,7092001,168,Item,7092002,120,None,0,0,Item,7093001,60,None,0,0
10308,Item,7092001,210,Item,7092002,150,Item,7092003,90,Item,7093001,140,None,0,0
10309,Item,7092001,231,Item,7092002,165,Item,7092003,105,Item,7093001,200,None,0,0
10310,Item,7092001,273,Item,7092002,190,Item,7092003,120,Item,7093001,270,None,0,0
20102,Item,7091001,8,None,0,0,None,0,0,None,0,0,None,0,0
20103,Item,7091001,10,None,0,0,None,0,0,None,0,0,None,0,0
20104,Item,7091001,26,None,0,0,None,0,0,None,0,0,None,0,0
20105,Item,7091001,42,Item,7091002,60,None,0,0,Item,7093002,10,None,0,0
20106,Item,7091001,126,Item,7091002,90,None,0,0,Item,7093002,15,None,0,0
20107,Item,7091001,168,Item,7091002,120,None,0,0,Item,7093002,30,None,0,0
20108,Item,7091001,210,Item,7091002,150,Item,7091003,90,Item,7093002,70,None,0,0
20109,Item,7091001,231,Item,7091002,165,Item,7091003,105,Item,7093002,100,None,0,0
20110,Item,7091001,273,Item,7091002,190,Item,7091003,120,Item,7093002,135,None,0,0
20202,Item,7091001,8,None,0,0,None,0,0,None,0,0,None,0,0
20203,Item,7091001,10,None,0,0,None,0,0,None,0,0,None,0,0
20204,Item,7091001,26,None,0,0,None,0,0,None,0,0,None,0,0
20205,Item,7091001,42,Item,7091002,60,None,0,0,Item,7093002,10,None,0,0
20206,Item,7091001,126,Item,7091002,90,None,0,0,Item,7093002,15,None,0,0
20207,Item,7091001,168,Item,7091002,120,None,0,0,Item,7093002,30,None,0,0
20208,Item,7091001,210,Item,7091002,150,Item,7091003,90,Item,7093002,70,None,0,0
20209,Item,7091001,231,Item,7091002,165,Item,7091003,105,Item,7093002,100,None,0,0
20210,Item,7091001,273,Item,7091002,190,Item,7091003,120,Item,7093002,135,None,0,0
20302,Item,7092001,8,None,0,0,None,0,0,None,0,0,None,0,0
20303,Item,7092001,10,None,0,0,None,0,0,None,0,0,None,0,0
20304,Item,7092001,26,None,0,0,None,0,0,None,0,0,None,0,0
20305,Item,7092001,42,Item,7092002,60,None,0,0,Item,7093002,20,None,0,0
20306,Item,7092001,126,Item,7092002,90,None,0,0,Item,7093002,30,None,0,0
20307,Item,7092001,168,Item,7092002,120,None,0,0,Item,7093002,60,None,0,0
20308,Item,7092001,210,Item,7092002,150,Item,7092003,90,Item,7093002,140,None,0,0
20309,Item,7092001,231,Item,7092002,165,Item,7092003,105,Item,7093002,200,None,0,0
20310,Item,7092001,273,Item,7092002,190,Item,7092003,120,Item,7093002,270,None,0,0
30102,Item,7091001,8,None,0,0,None,0,0,None,0,0,None,0,0
30103,Item,7091001,10,None,0,0,None,0,0,None,0,0,None,0,0
30104,Item,7091001,26,None,0,0,None,0,0,None,0,0,None,0,0
30105,Item,7091001,42,Item,7091002,60,None,0,0,Item,7093003,10,None,0,0
30106,Item,7091001,126,Item,7091002,90,None,0,0,Item,7093003,15,None,0,0
30107,Item,7091001,168,Item,7091002,120,None,0,0,Item,7093003,30,None,0,0
30108,Item,7091001,210,Item,7091002,150,Item,7091003,90,Item,7093003,70,None,0,0
30109,Item,7091001,231,Item,7091002,165,Item,7091003,105,Item,7093003,100,None,0,0
30110,Item,7091001,273,Item,7091002,190,Item,7091003,120,Item,7093003,135,None,0,0
30202,Item,7091001,8,None,0,0,None,0,0,None,0,0,None,0,0
30203,Item,7091001,10,None,0,0,None,0,0,None,0,0,None,0,0
30204,Item,7091001,26,None,0,0,None,0,0,None,0,0,None,0,0
30205,Item,7091001,42,Item,7091002,60,None,0,0,Item,7093003,10,None,0,0
30206,Item,7091001,126,Item,7091002,90,None,0,0,Item,7093003,15,None,0,0
30207,Item,7091001,168,Item,7091002,120,None,0,0,Item,7093003,30,None,0,0
30208,Item,7091001,210,Item,7091002,150,Item,7091003,90,Item,7093003,70,None,0,0
30209,Item,7091001,231,Item,7091002,165,Item,7091003,105,Item,7093003,100,None,0,0
30210,Item,7091001,273,Item,7091002,190,Item,7091003,120,Item,7093003,135,None,0,0
30302,Item,7092001,8,None,0,0,None,0,0,None,0,0,None,0,0
30303,Item,7092001,10,None,0,0,None,0,0,None,0,0,None,0,0
30304,Item,7092001,26,None,0,0,None,0,0,None,0,0,None,0,0
30305,Item,7092001,42,Item,7092002,60,None,0,0,Item,7093003,20,None,0,0
30306,Item,7092001,126,Item,7092002,90,None,0,0,Item,7093003,30,None,0,0
30307,Item,7092001,168,Item,7092002,120,None,0,0,Item,7093003,60,None,0,0
30308,Item,7092001,210,Item,7092002,150,Item,7092003,90,Item,7093003,140,None,0,0
