id,narrative_sign_type,name_locale,description_locale,sign_icon,balloon_type,balloon_print_time
1,Popup,Locale_Event:event_hotspring_narrativesign_title_01,Locale_Event:event_hotspring_narrativesign_description_01,icn_field_narrativesign,None,0
2,Popup,Locale_Event:event_hotspring_narrativesign_title_02,Locale_Event:event_hotspring_narrativesign_description_02,icn_field_narrativesign,None,0
3,Popup,Locale_Event:event_hotspring_narrativesign_title_03,Locale_Event:event_hotspring_narrativesign_description_03,icn_field_narrativesign,None,0
4,Popup,Locale_Event:event_hotspring_narrativesign_title_04,Locale_Event:event_hotspring_narrativesign_description_04,icn_field_narrativesign,None,0
5,Popup,Locale_Event:event_hotspring_narrativesign_title_05,Locale_Event:event_hotspring_narrativesign_description_05,icn_field_narrativesign,None,0
6,Popup,Locale_Event:event_hotspring_narrativesign_title_06,Locale_Event:event_hotspring_narrativesign_description_06,icn_field_narrativesign,None,0
7,Popup,Locale_Event:event_hotspring_narrativesign_title_07,Locale_Event:event_hotspring_narrativesign_description_07,icn_field_narrativesign,None,0
8,Popup,Locale_Event:event_hotspring_narrativesign_title_08,Locale_Event:event_hotspring_narrativesign_description_08,icn_field_narrativesign,None,0
9,Popup,Locale_Event:event_hotspring_narrativesign_title_09,Locale_Event:event_hotspring_narrativesign_description_09,icn_field_narrativesign,None,0
10,Popup,Locale_Event:event_hotspring_narrativesign_title_10,Locale_Event:event_hotspring_narrativesign_description_10,icn_field_narrativesign,None,0
11,Popup,Locale_Event:event_hotspring_narrativesign_title_11,Locale_Event:event_hotspring_narrativesign_description_11,icn_field_narrativesign,None,0
12,Popup,Locale_Event:event_ce003_narrativesign_title_01,Locale_Event:event_ce003_narrativesign_description_01,icn_field_narrativesign_ce003,None,0
13,Popup,Locale_Event:event_ce003_narrativesign_title_02,Locale_Event:event_ce003_narrativesign_description_02,icn_field_narrativesign_ce003,None,0
14,Popup,Locale_Event:event_ce003_narrativesign_title_03,Locale_Event:event_ce003_narrativesign_description_03,icn_field_narrativesign_ce003,None,0
15,Popup,Locale_Event:event_ce003_narrativesign_title_04,Locale_Event:event_ce003_narrativesign_description_04,icn_field_narrativesign_ce003,None,0
16,Popup,Locale_Event:event_ce003_narrativesign_title_05,Locale_Event:event_ce003_narrativesign_description_05,icn_field_narrativesign_ce003,None,0
17,Popup,Locale_Event:event_ce003_narrativesign_title_06,Locale_Event:event_ce003_narrativesign_description_06,icn_field_narrativesign_ce003,None,0
18,Popup,Locale_Event:event_ce003_narrativesign_title_07,Locale_Event:event_ce003_narrativesign_description_07,icn_field_narrativesign_ce003,None,0
19,Popup,Locale_Event:event_ce003_narrativesign_title_08,Locale_Event:event_ce003_narrativesign_description_08,icn_field_narrativesign_ce003,None,0
20,Popup,Locale_Event:event_ce003_narrativesign_title_09,Locale_Event:event_ce003_narrativesign_description_09,icn_field_narrativesign_ce003,None,0
21,Popup,Locale_Event:event_ce003_narrativesign_title_10,Locale_Event:event_ce003_narrativesign_description_10,icn_field_narrativesign_ce003,None,0
22,Popup,Locale_Event:event_ce003_narrativesign_title_11,Locale_Event:event_ce003_narrativesign_description_11,icn_field_narrativesign_ce003,None,0
23,Popup,Locale_Event:event_ce003_narrativesign_title_12,Locale_Event:event_ce003_narrativesign_description_12,icn_field_narrativesign_ce003,None,0
24,Popup,Locale_Event:event_ce003_narrativesign_title_13,Locale_Event:event_ce003_narrativesign_description_13,icn_field_narrativesign_ce003,None,0
25,Popup,Locale_Event:event_ce003_narrativesign_title_14,Locale_Event:event_ce003_narrativesign_description_14,icn_field_narrativesign_ce003,None,0
26,Popup,Locale_Event:event_ce003_narrativesign_title_15,Locale_Event:event_ce003_narrativesign_description_15,icn_field_narrativesign_ce003,None,0
27,Popup,Locale_Event:event_ce003_narrativesign_title_16,Locale_Event:event_ce003_narrativesign_description_16,icn_field_narrativesign_ce003,None,0
28,Popup,Locale_Event:event_beautyfullshot_narrativesign_title_01,Locale_Event:event_beautyfullshot_narrativesign_description_01,icn_field_narrativesign,None,0
29,Popup,Locale_Event:event_beautyfullshot_narrativesign_title_02,Locale_Event:event_beautyfullshot_narrativesign_description_02,icn_field_narrativesign,None,0
30,Popup,Locale_Event:event_beautyfullshot_narrativesign_title_03,Locale_Event:event_beautyfullshot_narrativesign_description_03,icn_field_narrativesign,None,0
31,Popup,Locale_Event:event_beautyfullshot_narrativesign_title_04,Locale_Event:event_beautyfullshot_narrativesign_description_04,icn_field_narrativesign,None,0
32,Popup,Locale_Event:event_beautyfullshot_narrativesign_title_05,Locale_Event:event_beautyfullshot_narrativesign_description_05,icn_field_narrativesign,None,0
