id,group,step,stage_name,stage_contents_type,stage_id,is_repeat_clear,map_change_guide_localkey,is_guide_field_change,npc_change_guide_localkey
100110101,1001101,1,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100110101,False,,,
100110102,1001101,2,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100110102,True,,,
100110103,1001101,3,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100110103,False,,,
100110104,1001101,4,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100110104,True,,,
100110105,1001101,5,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100110105,False,,,
100110106,1001101,6,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100110106,False,,,
100110107,1001101,7,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100110107,True,,,
100110108,1001101,8,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100110108,False,,,
100110109,1001101,9,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100110109,True,,,
100110110,1001101,10,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100110110,False,,,
100120101,1001201,1,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100120101,False,,,
100120102,1001201,2,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100120102,True,,,
100120103,1001201,3,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100120103,False,,,
100120104,1001201,4,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100120104,True,,,
100120105,1001201,5,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100120105,False,,,
100120106,1001201,6,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100120106,False,,,
100120107,1001201,7,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100120107,True,,,
100120108,1001201,8,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100120108,False,,,
100120109,1001201,9,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100120109,True,,,
100120110,1001201,10,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100120110,False,,,
100210101,1002101,1,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100210101,False,,,
100210102,1002101,2,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100210102,True,,,
100210103,1002101,3,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100210103,False,,,
100210104,1002101,4,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100210104,True,,,
100210105,1002101,5,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100210105,False,,,
100210106,1002101,6,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100210106,True,,,
100210107,1002101,7,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100210107,False,,,
100210108,1002101,8,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100210108,False,,,
100210109,1002101,9,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100210109,True,,,
100210110,1002101,10,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100210110,False,,,
100210111,1002101,11,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100210111,True,,,
100210112,1002101,12,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100210112,False,,,
100220101,1002201,1,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100220101,False,,,
100220102,1002201,2,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100220102,True,,,
100220103,1002201,3,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100220103,False,,,
100220104,1002201,4,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100220104,True,,,
100220105,1002201,5,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100220105,False,,,
100220106,1002201,6,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100220106,True,,,
100220107,1002201,7,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100220107,False,,,
100220108,1002201,8,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100220108,False,,,
100220109,1002201,9,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100220109,True,,,
100220110,1002201,10,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100220110,False,,,
100220111,1002201,11,Locale_Stage:STORYEVENT_STAGE_DEFAULT,SpotBattle,100220111,True,,,
