id,name_localkey,resource_id,skin_id,frame_type,address,sd_resource_address
rapi,Locale_Character:10_name,10,default,none,spine/standing/c010/00_HD,c010_00_var
rapi_op,Locale_Character:10_name,10,default,left,spine/standing/c010/00_HD,c010_00_var
marian,Locale_Character:13_name,13,default,none,spine/standing/c013/00_HD,c013_00_var
marian_event_01,Locale_Character:13_name,13,default,none,spine/events/EventScene_Main_01_01,c013_00_var
marian_event_02,Locale_Character:13_name,13,default,none,spine/events/EventScene_Main_01_02,c013_00_var
marian_p,Locale_Character:13_name,260,default,none,spine/standing/c260/00_HD,c260_00_var
marian_f,Locale_Character:13_name,260,default,none,spine/standing/c260/01_HD,c260_01_var
anis,Locale_Character:12_name,12,default,none,spine/standing/c012/00_HD,c012_00_var
anis_op,Locale_Character:12_name,12,default,left,spine/standing/c012/00_HD,c012_00_var
neon,Locale_Character:11_name,11,default,none,spine/standing/c011/00_HD,c011_00_var
neon_op,Locale_Character:11_name,11,default,left,spine/standing/c011/00_HD,c011_00_var
mihara,Locale_Character:161_name,161,default,none,spine/standing/c161/00_HD,c161_00_var
yuni,Locale_Character:160_name,160,default,none,spine/standing/c160/00_HD,c160_00_var
vesti,Locale_Character:91_name,91,default,none,spine/standing/c091/00_HD,c091_00_var
emma,Locale_Character:90_name,90,default,none,spine/standing/c090/00_HD,c090_00_var
eunhwa,Locale_Character:92_name,92,default,none,spine/standing/c092/00_HD,c092_00_var
ludmilla,Locale_Character:190_name,190,default,none,spine/standing/c190/00_HD,c190_00_var
alice,Locale_Character:191_name,191,default,none,spine/standing/c191/00_HD,c191_00_var
poli,Locale_Character:30_name,30,default,none,spine/standing/c030/00_HD,c030_00_var
mary,Locale_Character:130_name,130,default,none,spine/standing/c130/00_HD,c130_00_var
miranda,Locale_Character:32_name,32,default,none,spine/standing/c032/00_HD,c032_00_var
quiry,Locale_Character:33_name,33,default,none,spine/standing/c033/00_HD,c033_00_var
delta,Locale_Character:20_name,20,default,none,spine/standing/c020/00_HD,c020_00_var
signal,Locale_Character:22_name,22,default,none,spine/standing/c022/00_HD,c022_00_var
dolla,Locale_Character:202_name,202,default,none,spine/standing/c202/00_HD,c202_00_var
maxwell,Locale_Character:102_name,102,default,none,spine/standing/c102/00_HD,c102_00_var
maxwell_w,Locale_Character:102_name,102,default,none,spine/standing/c102/01_HD,c102_00_var
exia,Locale_Character:210_name,210,default,none,spine/standing/c210/00_HD,c210_00_var
privaty,Locale_Character:170_name,170,default,none,spine/standing/c170/00_HD,c170_00_var
novel,Locale_Character:212_name,212,default,none,spine/standing/c212/00_HD,c212_00_var
pepper,Locale_Character:131_name,131,default,none,spine/standing/c131/00_HD,c131_00_var
guillotine,Locale_Character:180_name,180,default,none,spine/standing/c180/00_HD,c180_00_var
milk,Locale_Character:141_name,141,default,none,spine/standing/c141/00_HD,c141_00_var
sugar,Locale_Character:140_name,140,default,none,spine/standing/c140/00_HD,c140_00_var
frima,Locale_Character:142_name,142,default,none,spine/standing/c142/00_HD,c142_00_var
admi,Locale_Character:172_name,172,default,none,spine/standing/c172/00_HD,c172_00_var
yulha,Locale_Character:171_name,171,default,none,spine/standing/c171/00_HD,c171_00_var
rumani,Locale_Character:240_name,240,default,none,spine/standing/c240/00_HD,c240_00_var
yan,Locale_Character:201_name,201,default,none,spine/standing/c201/00_HD,c201_00_var
rupee,Locale_Character:200_name,200,default,none,spine/standing/c200/00_HD,c200_00_var
epinel,Locale_Character:241_name,241,default,none,spine/standing/c241/00_HD,c241_00_var
d,Locale_Character:40_name,40,default,none,spine/standing/c040/00_HD,c040_00_var
k,Locale_Character:41_name,41,default,none,spine/standing/c041/00_HD,c041_00_var
snowwhite,Locale_Character:220_name,220,default,none,spine/standing/c220/00_HD,c220_00_var
snowwhite_w,Locale_Character:220_name,220,acc,none,spine/standing/c220/00_HD,c220_00_var
belorta,Locale_Character:60_name,60,default,none,spine/standing/c060/00_HD,c060_00_var
mica,Locale_Character:61_name,61,default,none,spine/standing/c061/00_HD,c061_00_var
brid,Locale_Character:70_name,70,default,none,spine/standing/c070/00_HD,c070_00_var
soline,Locale_Character:71_name,71,default,none,spine/standing/c071/00_HD,c071_00_var
diesel,Locale_Character:72_name,72,default,none,spine/standing/c072/00_HD,c072_00_var
centi,Locale_Character:80_name,80,default,none,spine/standing/c080/00_HD,c080_00_var
liter,Locale_Character:82_name,82,default,none,spine/standing/c082/00_HD,c082_00_var
drake,Locale_Character:101_name,101,default,none,spine/standing/c101/00_HD,c101_00_var
crow,Locale_Character:110_name,110,default,none,spine/standing/c110/00_HD,c110_00_var
n102,Locale_Character:120_name,120,default,none,spine/standing/c120/00_HD,c120_00_var
julia,Locale_Character:150_name,150,default,none,spine/standing/c150/00_HD,c150_00_var
maiden,Locale_Character:181_name,181,default,none,spine/standing/c181/00_HD,c181_00_var
folkwang,Locale_Character:242_name,242,default,none,spine/standing/c242/00_HD,c242_00_var
rapunzel,Locale_Character:221_name,221,default,none,spine/standing/c221/00_HD,c221_00_var
hongryeon,Locale_Character:222_name,222,default,none,spine/standing/c222/00_HD,c222_00_var
harran,Locale_Character:230_name,230,default,none,spine/standing/c230/00_HD,c230_00_var
isabel,Locale_Character:231_name,231,default,none,spine/standing/c231/00_HD,c231_00_var
noah,Locale_Character:232_name,232,default,none,spine/standing/c232/00_HD,c232_00_var
ether,Locale_Character:291_name,291,default,none,spine/standing/c291/00_HD,c291_00_var
laplace,Locale_Character:100_name,100,default,none,spine/standing/c100/00_HD,c100_00_var
blanc,Locale_Character:270_name,270,default,none,spine/standing/c270/00_HD,c270_00_var
noir,Locale_Character:271_name,271,default,none,spine/standing/c271/00_HD,c271_00_var
rouge,Locale_Character:272_name,272,default,none,spine/standing/c272/00_HD,c272_00_var
