id,manager_id,name_localkey,description_localkey,resource_id,category,slot,buff_group,buff_level,buff_type,buff_value,need_upgrade_currency,condition_skill_id
1010101,101,Locale_Event:ce004_upgrade_list_name_03,Locale_Event:ce004_upgrade_list_desc_03,ce004_buff_IncreaseCore,Attack,1,101,1,IncreaseCore,1000,1,0
1010102,101,Locale_Event:ce004_upgrade_list_name_03,Locale_Event:ce004_upgrade_list_desc_03,ce004_buff_IncreaseCore,Attack,1,101,2,IncreaseCore,2000,1,0
1010103,101,Locale_Event:ce004_upgrade_list_name_03,Locale_Event:ce004_upgrade_list_desc_03,ce004_buff_IncreaseCore,Attack,1,101,3,IncreaseCore,3000,1,0
1010104,101,Locale_Event:ce004_upgrade_list_name_03,Locale_Event:ce004_upgrade_list_desc_03,ce004_buff_IncreaseCore,Attack,1,101,4,IncreaseCore,4000,1,0
1010105,101,Locale_Event:ce004_upgrade_list_name_03,Locale_Event:ce004_upgrade_list_desc_03,ce004_buff_IncreaseCore,Attack,1,101,5,IncreaseCore,5000,1,0
1010201,101,Locale_Event:ce004_upgrade_list_name_04,Locale_Event:ce004_upgrade_list_desc_04,ce004_buff_IncreaseDestruction,Attack,2,102,1,IncreaseDestruction,1000,1,1010105
1010202,101,Locale_Event:ce004_upgrade_list_name_04,Locale_Event:ce004_upgrade_list_desc_04,ce004_buff_IncreaseDestruction,Attack,2,102,2,IncreaseDestruction,2000,1,1010105
1010203,101,Locale_Event:ce004_upgrade_list_name_04,Locale_Event:ce004_upgrade_list_desc_04,ce004_buff_IncreaseDestruction,Attack,2,102,3,IncreaseDestruction,3000,1,1010105
1010204,101,Locale_Event:ce004_upgrade_list_name_04,Locale_Event:ce004_upgrade_list_desc_04,ce004_buff_IncreaseDestruction,Attack,2,102,4,IncreaseDestruction,4000,1,1010105
1010205,101,Locale_Event:ce004_upgrade_list_name_04,Locale_Event:ce004_upgrade_list_desc_04,ce004_buff_IncreaseDestruction,Attack,2,102,5,IncreaseDestruction,5000,1,1010105
1010301,101,Locale_Event:ce004_upgrade_list_name_01,Locale_Event:ce004_upgrade_list_desc_01,ce004_buff_IncreaseAttack,Attack,3,103,1,IncreaseAttack,1000,1,1010205
1010302,101,Locale_Event:ce004_upgrade_list_name_01,Locale_Event:ce004_upgrade_list_desc_01,ce004_buff_IncreaseAttack,Attack,3,103,2,IncreaseAttack,2000,1,1010205
1010303,101,Locale_Event:ce004_upgrade_list_name_01,Locale_Event:ce004_upgrade_list_desc_01,ce004_buff_IncreaseAttack,Attack,3,103,3,IncreaseAttack,3000,1,1010205
1010304,101,Locale_Event:ce004_upgrade_list_name_01,Locale_Event:ce004_upgrade_list_desc_01,ce004_buff_IncreaseAttack,Attack,3,103,4,IncreaseAttack,4000,1,1010205
1010305,101,Locale_Event:ce004_upgrade_list_name_01,Locale_Event:ce004_upgrade_list_desc_01,ce004_buff_IncreaseAttack,Attack,3,103,5,IncreaseAttack,5000,1,1010205
1010401,101,Locale_Event:ce004_upgrade_list_name_05,Locale_Event:ce004_upgrade_list_desc_05,ce004_buff_DecreaseProjectile,Defence,1,104,1,DecreaseProjectile,1000,1,0
