id,condition_type,condition_value,icon_id
501005001,GetCharacter,5001,50100
502005002,GetCharacter,5002,50200
503005003,GetCharacter,5003,50300
504005004,GetCharacter,5004,50400
505005005,GetCharacter,5005,50500
506005006,GetCharacter,5006,50600
507005007,GetCharacter,5007,50700
510005010,GetCharacter,5010,51000
511005011,GetCharacter,5011,51100
512005012,GetCharacter,5012,51200
513005013,GetCharacter,5013,51300
514005014,GetCharacter,5014,51400
515005015,GetCharacter,5015,51500
516005016,GetCharacter,5016,51600
517005017,GetCharacter,5017,51700
518005018,GetCharacter,5018,51800
519005019,GetCharacter,5019,51900
520005020,GetCharacter,5020,52000
521005021,GetCharacter,5021,52100
522005022,GetCharacter,5022,52200
523005023,GetCharacter,5023,52300
524005024,GetCharacter,5024,52400
525005025,GetCharacter,5025,52500
526005026,GetCharacter,5026,52600
527005027,GetCharacter,5027,52700
528005028,GetCharacter,5028,52800
529005029,GetCharacter,5029,52900
530005030,GetCharacter,5030,53000
531005031,GetCharacter,5031,53100
532005032,GetCharacter,5032,53200
533005033,GetCharacter,5033,53300
534005034,GetCharacter,5034,53400
535005035,GetCharacter,5035,53500
536005036,GetCharacter,5036,53600
537005037,GetCharacter,5037,53700
538005038,GetCharacter,5038,53800
539005039,GetCharacter,5039,53900
540005040,GetCharacter,5040,54000
541005041,GetCharacter,5041,54100
542005042,GetCharacter,5042,54200
543005043,GetCharacter,5043,54300
301003001,GetCharacter,3001,30100
302003002,GetCharacter,3002,30200
303003003,GetCharacter,3003,30300
305003005,GetCharacter,3005,30500
306003006,GetCharacter,3006,30600
309003009,GetCharacter,3009,30900
310003010,GetCharacter,3010,31000
399003999,GetCharacter,3999,39900
113001013,GetCharacter,1013,11300
114001014,GetCharacter,1014,11400
115001015,GetCharacter,1015,11500
116001016,GetCharacter,1016,11600
117001017,GetCharacter,1017,11700
118001018,GetCharacter,1018,11800
307003007,GetCharacter,3007,30700
308003008,GetCharacter,3008,30800
110001010,GetCharacter,1010,11000
123001023,GetCharacter,1023,12300
124001024,GetCharacter,1024,12400
125001025,GetCharacter,1025,12500
566005066,GetCharacter,5066,56600
570005070,GetCharacter,5070,57000
574005074,GetCharacter,5074,57400
575005075,GetCharacter,5075,57500
585005085,GetCharacter,5085,58500
311003011,GetCharacter,3011,31100
587005087,GetCharacter,5087,58700
544005044,GetCharacter,5044,54400
555005055,GetCharacter,5055,55500
559005059,GetCharacter,5059,55900
578005078,GetCharacter,5078,57800
304003004,GetCharacter,1022,30400
120001020,GetCharacter,1020,12000
550005050,GetCharacter,5050,55000
551005051,GetCharacter,5051,55100
589005089,GetCharacter,5089,58900
590005090,GetCharacter,5090,59000
312003012,GetCharacter,3012,31200
554005054,GetCharacter,5054,55400
556005056,GetCharacter,5056,55600
112001012,GetCharacter,1012,11200
126001026,GetCharacter,1026,12600
107001007,GetCharacter,1007,10700
561005061,GetCharacter,5061,56100
569005069,GetCharacter,5069,56900
12700,GetCharacter,1027,12700
508005008,GetCharacter,5008,50800
509005009,GetCharacter,5009,50900
545005045,GetCharacter,5045,54500
564005064,GetCharacter,5064,56400
571005071,GetCharacter,5071,57100
568005068,GetCharacter,5068,56800
579005079,GetCharacter,5079,57900
563005063,GetCharacter,5063,56300
597005097,GetCharacter,5097,59700
598005098,GetCharacter,5098,59800
594005094,GetCharacter,5094,59400
595005095,GetCharacter,5095,59500
596005096,GetCharacter,5096,59600
54800,GetCharacter,5048,54800
59900,GetCharacter,5099,59900
510000,GetCharacter,5100,510000
58200,GetCharacter,5082,58200
510100,GetCharacter,5101,510100
510200,GetCharacter,5102,510200
58100,GetCharacter,5081,58100
510300,GetCharacter,5103,510300
510400,GetCharacter,5104,510400
510500,GetCharacter,5105,510500
59200,GetCharacter,5092,59200
12200,GetCharacter,1021,12200
546005046,GetCharacter,5046,54600
510600,GetCharacter,5106,510600
510700,GetCharacter,5107,510700
510800,GetCharacter,5108,510800
510900,GetCharacter,5109,510900
301300,GetCharacter,3013,301300
511000,GetCharacter,5110,511000
511100,GetCharacter,5111,511100
565005065,GetCharacter,5065,56500
553005053,GetCharacter,5053,55300
511200,GetCharacter,5112,511200
511300,GetCharacter,5113,511300
511400,GetCharacter,5114,511400
511500,GetCharacter,5115,511500
511600,GetCharacter,5116,511600
511700,GetCharacter,5117,511700
577005077,GetCharacter,5077,57700
588005088,GetCharacter,5088,58800
511800,GetCharacter,5118,511800
511900,GetCharacter,5119,511900
512000,GetCharacter,5120,512000
301400,GetCharacter,3014,301400
549005049,GetCharacter,5049,54900
512100,GetCharacter,5121,512100
512200,GetCharacter,5122,512200
300400,GetCharacter,3004,300400
512300,GetCharacter,5123,512300
512400,GetCharacter,5124,512400
512500,GetCharacter,5125,512500
512600,GetCharacter,5126,512600
512700,GetCharacter,5127,512700
512800,GetCharacter,5128,512800
512900,GetCharacter,5129,512900
119001019,GetCharacter,1019,11900
513000,GetCharacter,5130,513000
513100,GetCharacter,5131,513100
513200,GetCharacter,5132,513200
513300,GetCharacter,5133,513300
301500,GetCharacter,3015,301500
513400,GetCharacter,5134,513400
513500,GetCharacter,5135,513500
513600,GetCharacter,5136,513600
513700,GetCharacter,5137,513700
513800,GetCharacter,5138,513800
513900,GetCharacter,5139,513900
514000,GetCharacter,5140,514000
514100,GetCharacter,5141,514100
514200,GetCharacter,5142,514200
514300,GetCharacter,5143,514300
301600,GetCharacter,3016,301600
514400,GetCharacter,5144,514400
514500,GetCharacter,5145,514500
514600,GetCharacter,5146,514600
