id,group_id,world_id,sector,rank,quest_open_condition_field_item,quest_name_localkey,portrait_image_resource,quest_type,spawn_monster_group,spawn_item,spawn_wave_trigger
4010101,40101,4,1,One,13401001,Locale_Surface:surface_quest_name_4010101,icn_jammer_001,Annihilation,340101,0,0
4010102,40101,4,1,Two,13401001,Locale_Surface:surface_quest_name_4010102,icn_jammer_001,Collect,340102,21401001,0
4010103,40101,4,1,Three,13401001,Locale_Surface:surface_quest_name_4010103,icn_jammer_001,Securing,0,0,4010103
4010201,40102,4,1,One,14401001,Locale_Surface:surface_quest_name_4010201,icn_jammer_001,Annihilation,340103,0,0
4010202,40102,4,1,Two,14401001,Locale_Surface:surface_quest_name_4010202,icn_jammer_001,Collect,340104,21401002,0
4010203,40102,4,1,Three,14401001,Locale_Surface:surface_quest_name_4010203,icn_jammer_001,Securing,0,0,4010203
4010301,40103,4,1,One,14401002,Locale_Surface:surface_quest_name_4010301,icn_jammer_001,Annihilation,340105,0,0
4010302,40103,4,1,Two,14401002,Locale_Surface:surface_quest_name_4010302,icn_jammer_001,Collect,340106,21401003,0
4010303,40103,4,1,Three,14401002,Locale_Surface:surface_quest_name_4010303,icn_jammer_001,Securing,0,0,4010303
4020101,40201,4,2,One,13402001,Locale_Surface:surface_quest_name_4020101,icn_jammer_001,Annihilation,340201,0,0
4020102,40201,4,2,Two,13402001,Locale_Surface:surface_quest_name_4020102,icn_jammer_001,Collect,340202,21402001,0
4020103,40201,4,2,Three,13402001,Locale_Surface:surface_quest_name_4020103,icn_jammer_001,Securing,0,0,4020103
4020201,40202,4,2,One,14402001,Locale_Surface:surface_quest_name_4020201,icn_jammer_001,Annihilation,340203,0,0
4020202,40202,4,2,Two,14402001,Locale_Surface:surface_quest_name_4020202,icn_jammer_001,Collect,340204,21402002,0
4020203,40202,4,2,Three,14402001,Locale_Surface:surface_quest_name_4020203,icn_jammer_001,Securing,0,0,4020203
4020301,40203,4,2,One,13402002,Locale_Surface:surface_quest_name_4020301,icn_jammer_001,Annihilation,340205,0,0
4020302,40203,4,2,Two,13402002,Locale_Surface:surface_quest_name_4020302,icn_jammer_001,Collect,340206,21402003,0
4020303,40203,4,2,Three,13402002,Locale_Surface:surface_quest_name_4020303,icn_jammer_001,Securing,0,0,4020303
4020401,40204,4,2,One,14402002,Locale_Surface:surface_quest_name_4020401,icn_jammer_001,Annihilation,340207,0,0
4020402,40204,4,2,Two,14402002,Locale_Surface:surface_quest_name_4020402,icn_jammer_001,Collect,340208,21402004,0
4020403,40204,4,2,Three,14402002,Locale_Surface:surface_quest_name_4020403,icn_jammer_001,Securing,0,0,4020403
4020501,40205,4,2,One,13402003,Locale_Surface:surface_quest_name_4020501,icn_jammer_001,Annihilation,340209,0,0
4020502,40205,4,2,Two,13402003,Locale_Surface:surface_quest_name_4020502,icn_jammer_001,Collect,340210,21402005,0
4020503,40205,4,2,Three,13402003,Locale_Surface:surface_quest_name_4020503,icn_jammer_001,Securing,0,0,4020503
4020601,40206,4,2,One,14402003,Locale_Surface:surface_quest_name_4020601,icn_jammer_001,Annihilation,340211,0,0
4020602,40206,4,2,Two,14402003,Locale_Surface:surface_quest_name_4020602,icn_jammer_001,Collect,340212,21402006,0
4020603,40206,4,2,Three,14402003,Locale_Surface:surface_quest_name_4020603,icn_jammer_001,Securing,0,0,4020603
4030101,40301,4,3,One,13403001,Locale_Surface:surface_quest_name_4030101,icn_jammer_001,Annihilation,340301,0,0
4030102,40301,4,3,Two,13403001,Locale_Surface:surface_quest_name_4030102,icn_jammer_001,Collect,340302,21403001,0
4030103,40301,4,3,Three,13403001,Locale_Surface:surface_quest_name_4030103,icn_jammer_001,Securing,0,0,4030103
4030201,40302,4,3,One,14403001,Locale_Surface:surface_quest_name_4030201,icn_jammer_001,Annihilation,340303,0,0
4030202,40302,4,3,Two,14403001,Locale_Surface:surface_quest_name_4030202,icn_jammer_001,Collect,340304,21403002,0
4030203,40302,4,3,Three,14403001,Locale_Surface:surface_quest_name_4030203,icn_jammer_001,Securing,0,0,4030203
4030301,40303,4,3,One,14403002,Locale_Surface:surface_quest_name_4030301,icn_jammer_001,Annihilation,340305,0,0
4030302,40303,4,3,Two,14403002,Locale_Surface:surface_quest_name_4030302,icn_jammer_001,Collect,340306,21403003,0
4030303,40303,4,3,Three,14403002,Locale_Surface:surface_quest_name_4030303,icn_jammer_001,Securing,0,0,4030303
4030401,40304,4,3,One,13403002,Locale_Surface:surface_quest_name_4030401,icn_jammer_001,Annihilation,340307,0,0
4030402,40304,4,3,Two,13403002,Locale_Surface:surface_quest_name_4030402,icn_jammer_001,Collect,340308,21403004,0
4030403,40304,4,3,Three,13403002,Locale_Surface:surface_quest_name_4030403,icn_jammer_001,Securing,0,0,4030403
4030501,40305,4,3,One,14403003,Locale_Surface:surface_quest_name_4030501,icn_jammer_001,Annihilation,340309,0,0
4030502,40305,4,3,Two,14403003,Locale_Surface:surface_quest_name_4030502,icn_jammer_001,Collect,340310,21403005,0
4030503,40305,4,3,Three,14403003,Locale_Surface:surface_quest_name_4030503,icn_jammer_001,Securing,0,0,4030503
4030601,40306,4,3,One,14403004,Locale_Surface:surface_quest_name_4030601,icn_jammer_001,Annihilation,340311,0,0
4030602,40306,4,3,Two,14403004,Locale_Surface:surface_quest_name_4030602,icn_jammer_001,Collect,340312,21403006,0
4030603,40306,4,3,Three,14403004,Locale_Surface:surface_quest_name_4030603,icn_jammer_001,Securing,0,0,4030603
