id,upgrade_type,upgrade_count,is_max_level,upgrade_target_group_id,condition_currency_id_1,condition_currency_value_1,condition_currency_id_2,condition_currency_value_2,name_localkey,description_localkey
999,StatAtk,0,False,0,0,0,0,0,Locale_Event:EventMVG_upgrade_shop_StatAtk_00_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_01_Desc
1000,StatAtk,1,False,800101,1,150,2,1,Locale_Event:EventMVG_upgrade_shop_StatAtk_01_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_01_Desc
1001,StatAtk,2,False,800102,1,200,2,1,Locale_Event:EventMVG_upgrade_shop_StatAtk_02_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_02_Desc
1002,StatAtk,3,False,800103,1,300,2,2,Locale_Event:EventMVG_upgrade_shop_StatAtk_03_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_03_Desc
1003,StatAtk,4,False,800104,1,450,2,2,Locale_Event:EventMVG_upgrade_shop_StatAtk_04_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_04_Desc
1004,StatAtk,5,False,800105,1,700,2,3,Locale_Event:EventMVG_upgrade_shop_StatAtk_05_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_05_Desc
1005,StatAtk,6,False,800106,1,1000,2,3,Locale_Event:EventMVG_upgrade_shop_StatAtk_06_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_06_Desc
1006,StatAtk,7,False,800107,1,1300,2,4,Locale_Event:EventMVG_upgrade_shop_StatAtk_07_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_07_Desc
1007,StatAtk,8,False,800108,1,1600,2,4,Locale_Event:EventMVG_upgrade_shop_StatAtk_08_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_08_Desc
1008,StatAtk,9,False,800109,1,1900,2,5,Locale_Event:EventMVG_upgrade_shop_StatAtk_09_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_09_Desc
1009,StatAtk,10,False,800110,1,2300,2,5,Locale_Event:EventMVG_upgrade_shop_StatAtk_10_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_10_Desc
1010,StatAtk,11,False,800111,1,2700,2,7,Locale_Event:EventMVG_upgrade_shop_StatAtk_11_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_11_Desc
1011,StatAtk,12,False,800112,1,3100,2,7,Locale_Event:EventMVG_upgrade_shop_StatAtk_12_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_12_Desc
1012,StatAtk,13,False,800113,1,3500,2,8,Locale_Event:EventMVG_upgrade_shop_StatAtk_13_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_13_Desc
1013,StatAtk,14,False,800114,1,3900,2,8,Locale_Event:EventMVG_upgrade_shop_StatAtk_14_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_14_Desc
1014,StatAtk,15,False,800115,1,4400,2,10,Locale_Event:EventMVG_upgrade_shop_StatAtk_15_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_15_Desc
1015,StatAtk,16,False,800116,1,4900,2,10,Locale_Event:EventMVG_upgrade_shop_StatAtk_16_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_16_Desc
1016,StatAtk,17,False,800117,1,5400,2,11,Locale_Event:EventMVG_upgrade_shop_StatAtk_17_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_17_Desc
1017,StatAtk,18,False,800118,1,5900,2,11,Locale_Event:EventMVG_upgrade_shop_StatAtk_18_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_18_Desc
1018,StatAtk,19,False,800119,1,7000,2,12,Locale_Event:EventMVG_upgrade_shop_StatAtk_19_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_19_Desc
1019,StatAtk,20,True,800120,1,8500,2,14,Locale_Event:EventMVG_upgrade_shop_StatAtk_20_Name,Locale_Event:EventMVG_upgrade_shop_StatAtk_20_Desc
1999,StatHp,0,False,0,0,0,0,0,Locale_Event:EventMVG_upgrade_shop_StatHp_00_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_00_Desc
2000,StatHp,1,False,800201,1,180,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_01_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_01_Desc
2001,StatHp,2,False,800202,1,240,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_02_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_02_Desc
2002,StatHp,3,False,800203,1,360,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_03_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_03_Desc
2003,StatHp,4,False,800204,1,540,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_04_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_04_Desc
2004,StatHp,5,False,800205,1,840,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_05_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_05_Desc
2005,StatHp,6,False,800206,1,1200,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_06_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_06_Desc
2006,StatHp,7,False,800207,1,1560,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_07_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_07_Desc
2007,StatHp,8,False,800208,1,1920,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_08_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_08_Desc
2008,StatHp,9,False,800209,1,2280,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_09_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_09_Desc
2009,StatHp,10,False,800210,1,2760,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_10_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_10_Desc
2010,StatHp,11,False,800211,1,3240,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_11_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_11_Desc
2011,StatHp,12,False,800212,1,3720,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_12_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_12_Desc
2012,StatHp,13,False,800213,1,4200,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_13_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_13_Desc
2013,StatHp,14,False,800214,1,4680,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_14_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_14_Desc
2014,StatHp,15,False,800215,1,5280,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_15_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_15_Desc
2015,StatHp,16,False,800216,1,5880,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_16_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_16_Desc
2016,StatHp,17,False,800217,1,6480,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_17_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_17_Desc
2017,StatHp,18,False,800218,1,7080,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_18_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_18_Desc
2018,StatHp,19,False,800219,1,8400,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_19_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_19_Desc
2019,StatHp,20,True,800220,1,10200,2,0,Locale_Event:EventMVG_upgrade_shop_StatHp_20_Name,Locale_Event:EventMVG_upgrade_shop_StatHp_20_Desc
2999,MaxModule,0,False,0,0,0,0,0,Locale_Event:EventMVG_upgrade_shop_MaxModule_00_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_01_Desc
3000,MaxModule,1,False,800301,1,120,2,1,Locale_Event:EventMVG_upgrade_shop_MaxModule_01_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_01_Desc
3001,MaxModule,2,False,800302,1,160,2,1,Locale_Event:EventMVG_upgrade_shop_MaxModule_02_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_02_Desc
3002,MaxModule,3,False,800303,1,240,2,1,Locale_Event:EventMVG_upgrade_shop_MaxModule_03_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_03_Desc
3003,MaxModule,4,False,800304,1,360,2,1,Locale_Event:EventMVG_upgrade_shop_MaxModule_04_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_04_Desc
3004,MaxModule,5,False,800305,1,560,2,2,Locale_Event:EventMVG_upgrade_shop_MaxModule_05_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_05_Desc
3005,MaxModule,6,False,800306,1,800,2,2,Locale_Event:EventMVG_upgrade_shop_MaxModule_06_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_06_Desc
3006,MaxModule,7,False,800307,1,1040,2,2,Locale_Event:EventMVG_upgrade_shop_MaxModule_07_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_07_Desc
3007,MaxModule,8,False,800308,1,1280,2,2,Locale_Event:EventMVG_upgrade_shop_MaxModule_08_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_08_Desc
3008,MaxModule,9,False,800309,1,1520,2,3,Locale_Event:EventMVG_upgrade_shop_MaxModule_09_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_09_Desc
3009,MaxModule,10,False,800310,1,1840,2,3,Locale_Event:EventMVG_upgrade_shop_MaxModule_10_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_10_Desc
3010,MaxModule,11,False,800311,1,2160,2,4,Locale_Event:EventMVG_upgrade_shop_MaxModule_11_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_11_Desc
3011,MaxModule,12,False,800312,1,2480,2,4,Locale_Event:EventMVG_upgrade_shop_MaxModule_12_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_12_Desc
3012,MaxModule,13,False,800313,1,2800,2,4,Locale_Event:EventMVG_upgrade_shop_MaxModule_13_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_13_Desc
3013,MaxModule,14,False,800314,1,3120,2,4,Locale_Event:EventMVG_upgrade_shop_MaxModule_14_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_14_Desc
3014,MaxModule,15,False,800315,1,3520,2,5,Locale_Event:EventMVG_upgrade_shop_MaxModule_15_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_15_Desc
3015,MaxModule,16,False,800316,1,3920,2,5,Locale_Event:EventMVG_upgrade_shop_MaxModule_16_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_16_Desc
3016,MaxModule,17,False,800317,1,4320,2,6,Locale_Event:EventMVG_upgrade_shop_MaxModule_17_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_17_Desc
3017,MaxModule,18,False,800318,1,4720,2,6,Locale_Event:EventMVG_upgrade_shop_MaxModule_18_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_18_Desc
3018,MaxModule,19,False,800319,1,5600,2,6,Locale_Event:EventMVG_upgrade_shop_MaxModule_19_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_19_Desc
3019,MaxModule,20,True,800320,1,6800,2,7,Locale_Event:EventMVG_upgrade_shop_MaxModule_20_Name,Locale_Event:EventMVG_upgrade_shop_MaxModule_20_Desc
3999,HpRespawnTime,0,False,0,0,0,0,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_00_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_01_Desc
4000,HpRespawnTime,1,False,800401,1,120,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_01_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_01_Desc
