id,photo_manager_id,group_id,spot_group,spot_type,spot_order,open_condition_type,open_condition_value,spot_spawn_day,notice_able_take_photo,able_take_photo_anytime,use_flash,photo_quiz_id,photo_id,lock_icon,open_icon,name_locale,npc_location_locale,photo_hint_locale,hint_resource,special_spot_sub_hint_locale,able_take_photo_art_map/0/name,able_take_photo_art_map/0/value,able_take_photo_art_map/1/name,able_take_photo_art_map/1/value,able_take_photo_art_map/2/name,able_take_photo_art_map/2/value,able_take_photo_art_map/3/name,able_take_photo_art_map/3/value
1,1,1,1001,Special,1,StageClear,105110105,5,,5,True,1,1,icn_island_adventure_photo_special_spot_lock,icn_island_adventure_photo_special_spot_01_open,Locale_Event:island_adventure_photo_object_01,Locale_Event:ia_album_island_name_01,Locale_Event:island_adventure_photo_quiz_01,ia_image_photo_hint_01,Locale_Event:island_adventure_photo_special_spot_hint_01,able_take_photo_art_map,febg_tropical_003_01,able_take_photo_art_map,febg_tropical_003_02,able_take_photo_art_map,febg_tropical_003_03,able_take_photo_art_map,febg_tropical_003_04
2,1,1,1002,Special,2,StageClear,105110105,1,,1,False,2,2,icn_island_adventure_photo_special_spot_lock,icn_island_adventure_photo_special_spot_02_open,Locale_Event:island_adventure_photo_object_02,Locale_Event:ia_album_island_name_03,Locale_Event:island_adventure_photo_quiz_02,ia_image_photo_hint_02,Locale_Event:island_adventure_photo_special_spot_hint_02,able_take_photo_art_map,febg_tropical_003_01,able_take_photo_art_map,febg_tropical_003_02,able_take_photo_art_map,febg_tropical_003_03,able_take_photo_art_map,febg_tropical_003_04
3,1,1,1003,Special,3,StageClear,105110105,6,,6,True,3,3,icn_island_adventure_photo_special_spot_lock,icn_island_adventure_photo_special_spot_03_open,Locale_Event:island_adventure_photo_object_03,Locale_Event:ia_album_island_name_06,Locale_Event:island_adventure_photo_quiz_03,ia_image_photo_hint_03,Locale_Event:island_adventure_photo_special_spot_hint_03,able_take_photo_art_map,febg_tropical_003_01,able_take_photo_art_map,febg_tropical_003_02,able_take_photo_art_map,febg_tropical_003_03,able_take_photo_art_map,febg_tropical_003_04
4,1,1,1004,Special,4,StageClear,105110105,2,,2,True,4,4,icn_island_adventure_photo_special_spot_lock,icn_island_adventure_photo_special_spot_04_open,Locale_Event:island_adventure_photo_object_04,Locale_Event:ia_album_island_name_05,Locale_Event:island_adventure_photo_quiz_04,ia_image_photo_hint_04,Locale_Event:island_adventure_photo_special_spot_hint_04,able_take_photo_art_map,febg_tropical_003_01,able_take_photo_art_map,febg_tropical_003_02,able_take_photo_art_map,febg_tropical_003_03,able_take_photo_art_map,febg_tropical_003_04
5,1,1,1005,Special,5,StageClear,105110105,4,,4,False,5,5,icn_island_adventure_photo_special_spot_lock,icn_island_adventure_photo_special_spot_05_open,Locale_Event:island_adventure_photo_object_05,Locale_Event:ia_album_island_name_04,Locale_Event:island_adventure_photo_quiz_05,ia_image_photo_hint_05,Locale_Event:island_adventure_photo_special_spot_hint_05,able_take_photo_art_map,febg_tropical_003_01,able_take_photo_art_map,febg_tropical_003_02,able_take_photo_art_map,febg_tropical_003_03,able_take_photo_art_map,febg_tropical_003_04
6,1,1,1006,Special,6,StageClear,105110105,3,,3,False,6,6,icn_island_adventure_photo_special_spot_lock,icn_island_adventure_photo_special_spot_06_open,Locale_Event:island_adventure_photo_object_06,Locale_Event:ia_album_island_name_01,Locale_Event:island_adventure_photo_quiz_06,ia_image_photo_hint_06,Locale_Event:island_adventure_photo_special_spot_hint_06,able_take_photo_art_map,febg_tropical_003_01,able_take_photo_art_map,febg_tropical_003_02,able_take_photo_art_map,febg_tropical_003_03,able_take_photo_art_map,febg_tropical_003_04
7,1,1,1007,Normal,1,StageClear,105110105,1,,1,True,0,7,icn_island_adventure_photo_normal_spot_lock,icn_island_adventure_photo_normal_spot_open,Locale_Event:island_adventure_photo_object_07,Locale_Event:ia_album_island_name_05,,ia_image_photo_hint_07,,able_take_photo_art_map,febg_tropical_003_01,able_take_photo_art_map,febg_tropical_003_02,able_take_photo_art_map,febg_tropical_003_03,able_take_photo_art_map,febg_tropical_003_04
8,1,1,1007,Normal,2,StageClear,105110105,1,,1,True,0,8,icn_island_adventure_photo_normal_spot_lock,icn_island_adventure_photo_normal_spot_open,Locale_Event:island_adventure_photo_object_08,Locale_Event:ia_album_island_name_05,,ia_image_photo_hint_08,,able_take_photo_art_map,febg_tropical_003_01,able_take_photo_art_map,febg_tropical_003_02,able_take_photo_art_map,febg_tropical_003_03,able_take_photo_art_map,febg_tropical_003_04
9,1,1,1007,Normal,3,StageClear,105110105,1,,1,True,0,9,icn_island_adventure_photo_normal_spot_lock,icn_island_adventure_photo_normal_spot_open,Locale_Event:island_adventure_photo_object_09,Locale_Event:ia_album_island_name_02,,ia_image_photo_hint_09,,able_take_photo_art_map,febg_tropical_003_01,able_take_photo_art_map,febg_tropical_003_02,able_take_photo_art_map,febg_tropical_003_03,able_take_photo_art_map,febg_tropical_003_04
10,1,1,1007,Normal,4,StageClear,105110105,1,,1,True,0,10,icn_island_adventure_photo_normal_spot_lock,icn_island_adventure_photo_normal_spot_open,Locale_Event:island_adventure_photo_object_10,Locale_Event:ia_album_island_name_03,,ia_image_photo_hint_10,,able_take_photo_art_map,febg_tropical_003_01,able_take_photo_art_map,febg_tropical_003_02,able_take_photo_art_map,febg_tropical_003_03,able_take_photo_art_map,febg_tropical_003_04
