id,is_dialogfirstpoint,group_id,priority,printtype,portrait_id,name_localkey,scenario_localkey,play_sound,play_bgm,duration,set_background,hide_background,set_background_cord_x,set_background_cord_y,set_background_scale,scenario_effect_type,scenario_effect_value,execute_delaytime,execute_rate,first_show_check,conditiondata/0/usecondition_type,conditiondata/1/usecondition_type,conditiondata/2/usecondition_type,conditiondata/3/usecondition_type,conditiondata/4/usecondition_type,conditiondata/5/usecondition_type,spinedata/0/show_spine_resource_id,spinedata/0/spine_anim_resource_id,spinedata/0/hide_spine_resource_id,spinedata/0/spine_resource_cord_x,spinedata/0/spine_resource_cord_y,spinedata/0/spine_resource_scale,spinedata/1/show_spine_resource_id,spinedata/1/spine_anim_resource_id,spinedata/1/hide_spine_resource_id,spinedata/1/spine_resource_cord_x,spinedata/1/spine_resource_cord_y,spinedata/1/spine_resource_scale,spinedata/2/show_spine_resource_id,spinedata/2/spine_anim_resource_id,spinedata/2/hide_spine_resource_id,spinedata/2/spine_resource_cord_x,spinedata/2/spine_resource_cord_y,spinedata/2/spine_resource_scale,spinedata/3/show_spine_resource_id,spinedata/3/spine_anim_resource_id,spinedata/3/hide_spine_resource_id,spinedata/3/spine_resource_cord_x,spinedata/3/spine_resource_cord_y,spinedata/3/spine_resource_scale,spinedata/4/show_spine_resource_id,spinedata/4/spine_anim_resource_id,spinedata/4/hide_spine_resource_id,spinedata/4/spine_resource_cord_x,spinedata/4/spine_resource_cord_y,spinedata/4/spine_resource_scale,spinedata/5/show_spine_resource_id,spinedata/5/spine_anim_resource_id,spinedata/5/hide_spine_resource_id,spinedata/5/spine_resource_cord_x,spinedata/5/spine_resource_cord_y,spinedata/5/spine_resource_scale,spinedata/6/show_spine_resource_id,spinedata/6/spine_anim_resource_id,spinedata/6/hide_spine_resource_id,spinedata/6/spine_resource_cord_x,spinedata/6/spine_resource_cord_y,spinedata/6/spine_resource_scale,spinedata/7/show_spine_resource_id,spinedata/7/spine_anim_resource_id,spinedata/7/hide_spine_resource_id,spinedata/7/spine_resource_cord_x,spinedata/7/spine_resource_cord_y,spinedata/7/spine_resource_scale,spinedata/8/show_spine_resource_id,spinedata/8/spine_anim_resource_id,spinedata/8/hide_spine_resource_id,spinedata/8/spine_resource_cord_x,spinedata/8/spine_resource_cord_y,spinedata/8/spine_resource_scale,spinedata/9/show_spine_resource_id,spinedata/9/spine_anim_resource_id,spinedata/9/hide_spine_resource_id,spinedata/9/spine_resource_cord_x,spinedata/9/spine_resource_cord_y,spinedata/9/spine_resource_scale,conditiondata/0/usecondition_value/0/name,conditiondata/0/usecondition_value/0/value,conditiondata/0/usecondition_value/1/name,conditiondata/0/usecondition_value/1/value,conditiondata/0/usecondition_value/2/name,conditiondata/0/usecondition_value/2/value,conditiondata/1/usecondition_value/0/name,conditiondata/1/usecondition_value/0/value
1,True,NKSmini_Dialog_Group_01,1,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,sfx,bgm,0,,,0,0,0,Set_camera_shake,Low_1,1500,10000,True,None,None,None,None,None,None,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,,
2,False,NKSmini_Dialog_Group_01,1,Stage,NKS_characterDialog_c220,Locale_Character:233_name,Locale_Event:NKS_ScenarioDialog_001_01,sfx,,0,,,0,0,0,None,,0,0,False,None,None,None,None,None,None,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,,
3,False,NKSmini_Dialog_Group_01,1,Stage,NKS_characterDialog_c470,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,bgm,0,,,0,0,0,None,,0,0,False,None,None,None,None,None,None,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,,
4,True,NKSmini_Dialog_Group_02,2,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,,0,,,0,0,0,White,2,1500,10000,True,Check_ItemHold,None,None,None,None,None,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,usecondition_value,8.0,,,,,,
5,False,NKSmini_Dialog_Group_02,2,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,,0,,,0,0,0,None,,0,0,False,None,None,None,None,None,None,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,,
6,False,NKSmini_Dialog_Group_03,2,Stage,NKS_characterDialog_c470,Locale_Character:233_name,Locale_Event:NKS_ScenarioDialog_001_01,,,0,,,0,0,0,None,,0,0,False,None,None,None,None,None,None,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,,
7,False,NKSmini_Dialog_Group_03,2,Stage,NKS_characterDialog_c470,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,,0,,,0,0,0,White,2,0,0,False,None,None,None,None,None,None,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,,
8,True,NKSmini_Dialog_Group_05,3,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,,0,,,0,0,0,None,,1500,3000,False,None,None,None,None,None,None,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,,
9,False,NKSmini_Dialog_Group_05,3,Stage,NKS_characterDialog_c470,Locale_Character:233_name,Locale_Event:NKS_ScenarioDialog_001_01,,,0,,,0,0,0,Black,2,0,0,False,None,None,None,None,None,None,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,,
100001,True,NKSmini_Dialog_Group_07_A,1,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,event_bgm_redash_minigame_grassland,0,NKS_sbg_02,,0,0,-1717986918,None,,1500,3000,False,None,None,None,None,None,None,NKS_characterDialog_c220_00,characterDialog_sprite_00,,-20,100,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,NKS_characterDialog_emoji,characterDialog_emoji_00,,-50,120,0,NKS_characterDialog_emoji,characterDialog_emoji_03,,-70,120,0,NKS_characterDialog_emoji,characterDialog_emoji_07,,-90,120,0,NKS_characterDialog_c928_00,characterDialog_sprite_00,,0,0,0,NKS_characterDialog_c966_01,characterDialog_sprite_00,,0,0,0,,,,0,0,0,,,,,,,,
