id,animator_id,attack_type,skill_icon,use_energy_type,use_energy_value,animation_speed_ratio,use_effect_resource,attack_group_id,is_invincible,next_attack,next_attack_input_start_time,next_defense_motion_minimum_transition_time,next_attack_minimum_transition_time,time_to_idle
1,1,BasicAttack,icn_ce006_skill_attack_02,None,0,110,fx_ce006_c_speed_attack_01,40,False,2,30,30,40,166
2,2,BasicAttack,icn_ce006_skill_attack_02,None,0,110,fx_ce006_c_speed_attack_02,400,False,3,20,20,40,160
3,3,BasicAttack,icn_ce006_skill_attack_02,None,0,110,fx_ce006_c_speed_attack_03,400,False,4,30,30,50,166
4,4,BasicAttack,icn_ce006_skill_attack_02,None,0,110,fx_ce006_c_speed_attack_04,40000,False,5,80,80,110,170
5,5,BasicAttack,icn_ce006_skill_attack_02,None,0,110,fx_ce006_c_speed_attack_05,400000,False,1,100,100,130,200
6,6,BasicAttack,icn_ce006_skill_attack_03,None,0,120,fx_ce006_c_power_attack_01,41,False,7,80,80,110,266
7,7,BasicAttack,icn_ce006_skill_attack_03,None,0,90,fx_ce006_c_power_attack_02,410,False,8,20,20,50,133
8,8,BasicAttack,icn_ce006_skill_attack_03,None,0,100,fx_ce006_c_power_attack_03,4100,False,9,50,50,85,155
9,9,BasicAttack,icn_ce006_skill_attack_03,None,0,100,fx_ce006_c_power_attack_04,41000,False,10,45,45,77,150
10,10,BasicAttack,icn_ce006_skill_attack_03,None,0,100,fx_ce006_c_power_attack_05,410000,False,6,130,130,165,250
11,11,Beta01,icn_ce006_skill_beta_01,Beta,200,100,fx_ce006_c_beta_01,5110,True,12,110,110,110,180
12,12,Beta01,icn_ce006_skill_beta_02,None,0,100,fx_ce006_c_beta_01_add_attack,5111,True,0,140,140,140,160
13,13,Beta02,icn_ce006_skill_beta_07,Beta,200,120,fx_ce006_c_beta_02,5120,True,14,150,150,150,205
14,14,Beta02,icn_ce006_skill_beta_08,None,0,120,fx_ce006_c_beta_02_add_attack,5121,True,0,100,100,100,160
15,15,Beta03,icn_ce006_skill_beta_04,Beta,200,180,fx_ce006_c_beta_03,5130,True,16,240,240,240,500
16,16,Beta03,icn_ce006_skill_beta_05,None,0,120,fx_ce006_c_beta_03_add_attack,5131,True,0,140,140,140,220
17,17,Beta04,icn_ce006_skill_beta_09,Beta,200,100,fx_ce006_c_beta_04,5140,True,18,80,80,80,180
18,18,Beta04,icn_ce006_skill_beta_10,None,0,100,fx_ce006_c_beta_04_add_attack,5141,True,0,110,110,110,253
19,19,Burst01,icn_ce006_skill_burst_04,Burst,200,100,fx_ce006_c_burst_01,5210,True,0,330,330,330,335
20,20,Burst02,icn_ce006_skill_burst_10,Burst,200,100,fx_ce006_c_burst_02,5220,True,0,260,260,260,270
21,21,Burst03,icn_ce006_skill_burst_01,Burst,200,60,fx_ce006_c_burst_03,5230,True,0,330,330,330,335
22,22,Burst04,icn_ce006_skill_burst_07,Burst,200,100,fx_ce006_c_burst_04,5240,True,0,130,130,130,130
23,23,Blink,icn_ce006_skill_survive_06,None,0,100,fx_ce006_c_blink_sword,221,True,0,200,200,200,200
24,24,Repulse,icn_ce006_skill_survive_07,None,0,100,fx_ce006_c_repulse,230,True,0,200,200,200,200
