id,skill_type,attack_tier_id,cool_time,projectile_speed,projectile_hit_num,projectile_model_resource,projectile_muz_resource,projectile_hit_resource,absorbable,charge_burstgauge,projectile_extinction,projectile_height,projectile_width,chase_angle,chase_time,shot_line_angle,laser_attack_delay,laser_attack_interval,laser_duration,projectile_explosive,explosion_height,explosion_width,projectile_casting_resource
101,ProjectileLinear,0,300,10.0,0,fx_mvg_m_bullet_a_01,fx_mvg_m_bullet_a_01_muz,fx_mvg_m_bullet_a_01_hit,True,10,False,100,100,0,0,0,0,0,0,False,0,0,
102,ProjectileHoming,0,300,10.0,0,fx_mvg_m_bullet_a_01,fx_mvg_m_bullet_a_01_muz,fx_mvg_m_bullet_a_01_hit,True,10,False,100,100,15,20,0,0,0,0,False,0,0,
103,ProjectileLaser,0,300,0.0,0,fx_mvg_m_bullet_a_01,fx_mvg_m_bullet_a_01_muz,fx_mvg_m_bullet_a_01_hit,True,10,False,100,100,0,0,0,100,2,100,False,0,0,
104,ProjectileParabolic,0,300,10.0,0,fx_mvg_m_bullet_a_01,fx_mvg_m_bullet_a_01_muz,fx_mvg_m_bullet_a_01_hit,True,10,False,100,100,0,0,45,0,0,0,False,0,0,
105,ProjectileLinear,0,300,10.0,0,fx_mvg_m_bullet_a_02,fx_mvg_m_bullet_a_02_muz,fx_mvg_m_bullet_a_02_hit,True,10,False,100,100,0,0,0,0,0,0,False,0,0,
106,ProjectileHoming,0,300,10.0,0,fx_mvg_m_bullet_a_02,fx_mvg_m_bullet_a_02_muz,fx_mvg_m_bullet_a_02_hit,True,10,False,100,100,15,20,0,0,0,0,False,0,0,
107,ProjectileLaser,0,300,0.0,0,fx_mvg_m_bullet_a_02,fx_mvg_m_bullet_a_02_muz,fx_mvg_m_bullet_a_02_hit,True,10,False,100,100,0,0,0,100,2,100,False,0,0,
108,ProjectileParabolic,0,300,10.0,0,fx_mvg_m_bullet_a_02,fx_mvg_m_bullet_a_02_muz,fx_mvg_m_bullet_a_02_hit,True,10,False,100,100,0,0,45,0,0,0,False,0,0,
109,ProjectileLinear,0,300,10.0,0,fx_mvg_m_bullet_a_03,fx_mvg_m_bullet_a_03_muz,fx_mvg_m_bullet_a_03_hit,True,10,False,100,100,0,0,0,0,0,0,False,0,0,
110,ProjectileHoming,0,300,10.0,0,fx_mvg_m_bullet_a_03,fx_mvg_m_bullet_a_03_muz,fx_mvg_m_bullet_a_03_hit,True,10,False,100,100,15,20,0,0,0,0,False,0,0,
111,ProjectileLaser,0,300,0.0,0,fx_mvg_m_bullet_a_03,fx_mvg_m_bullet_a_03_muz,fx_mvg_m_bullet_a_03_hit,True,10,False,100,100,0,0,0,100,2,100,False,0,0,
112,ProjectileParabolic,0,300,10.0,0,fx_mvg_m_bullet_a_03,fx_mvg_m_bullet_a_03_muz,fx_mvg_m_bullet_a_03_hit,True,10,False,100,100,0,0,45,0,0,0,False,0,0,
113,ProjectileLinear,2,300,10.0,0,fx_mvg_m_bullet_b_01,fx_mvg_m_bullet_b_01_muz,fx_mvg_m_bullet_b_01_hit,True,10,False,100,100,0,0,0,0,0,0,True,100,100,
114,ProjectileParabolic,2,300,15.0,0,fx_mvg_m_bullet_b_01,fx_mvg_m_bullet_b_01_muz,fx_mvg_m_bullet_b_01_hit,True,10,False,100,100,0,0,15,0,0,0,True,100,100,
115,ProjectileParabolic,2,300,15.0,0,fx_mvg_m_bullet_b_01,fx_mvg_m_bullet_b_01_muz,fx_mvg_m_bullet_b_01_hit,True,10,False,100,100,0,0,30,0,0,0,True,100,100,
116,ProjectileParabolic,2,300,15.0,0,fx_mvg_m_bullet_b_01,fx_mvg_m_bullet_b_01_muz,fx_mvg_m_bullet_b_01_hit,True,10,False,100,100,0,0,45,0,0,0,True,100,100,
117,ProjectileLinear,2,300,10.0,0,fx_mvg_m_bullet_b_02,fx_mvg_m_bullet_b_02_muz,fx_mvg_m_bullet_b_02_hit,True,10,False,100,100,0,0,0,0,0,0,True,100,100,
118,ProjectileHoming,2,300,10.0,0,fx_mvg_m_bullet_b_02,fx_mvg_m_bullet_b_02_muz,fx_mvg_m_bullet_b_02_hit,True,10,False,100,100,15,20,0,0,0,0,True,100,100,
119,ProjectileLaser,2,300,0.0,0,fx_mvg_m_bullet_b_02,fx_mvg_m_bullet_b_02_muz,fx_mvg_m_bullet_b_02_hit,True,10,False,100,100,0,0,0,100,2,100,True,100,100,
120,ProjectileParabolic,2,300,10.0,0,fx_mvg_m_bullet_b_02,fx_mvg_m_bullet_b_02_muz,fx_mvg_m_bullet_b_02_hit,True,10,False,100,100,0,0,45,0,0,0,True,100,100,
121,ProjectileLinear,2,300,40.0,0,fx_mvg_m_bullet_c_01,fx_mvg_m_bullet_c_01_muz,fx_mvg_m_bullet_c_01_hit,True,10,False,100,100,0,0,0,0,0,0,False,0,0,fx_mvg_m_aiming_lazer
122,ProjectileHoming,2,300,10.0,0,fx_mvg_m_bullet_c_01,fx_mvg_m_bullet_c_01_muz,fx_mvg_m_bullet_c_01_hit,True,10,False,100,100,15,20,0,0,0,0,False,0,0,
123,ProjectileLaser,2,300,0.0,0,fx_mvg_m_bullet_c_01,fx_mvg_m_bullet_c_01_muz,fx_mvg_m_bullet_c_01_hit,True,10,False,100,100,0,0,0,100,2,100,False,0,0,
124,ProjectileParabolic,2,300,10.0,0,fx_mvg_m_bullet_c_01,fx_mvg_m_bullet_c_01_muz,fx_mvg_m_bullet_c_01_hit,True,10,False,100,100,0,0,45,0,0,0,False,0,0,
125,ProjectileLinear,1,300,10.0,10,fx_mvg_m_dagger_bullet_02,fx_mvg_m_dagger_bullet_02_muz,fx_mvg_m_dagger_bullet_02_hit,False,0,False,100,100,0,0,0,0,0,0,False,0,0,
126,ProjectileHoming,1,300,5.0,10,fx_mvg_m_dagger_bullet_02,fx_mvg_m_dagger_bullet_02_muz,fx_mvg_m_dagger_bullet_02_hit,False,0,False,200,200,45,600,0,0,0,0,False,0,0,
127,ProjectileLaser,1,300,0.0,10,fx_mvg_m_dagger_bullet_02,fx_mvg_m_dagger_bullet_02_muz,fx_mvg_m_dagger_bullet_02_hit,False,0,False,100,100,0,0,0,100,2,100,False,0,0,
128,ProjectileParabolic,1,300,10.0,10,fx_mvg_m_dagger_bullet_02,fx_mvg_m_dagger_bullet_02_muz,fx_mvg_m_dagger_bullet_02_hit,False,0,False,100,100,0,0,45,0,0,0,False,0,0,
129,ProjectileLaser,0,300,0.0,0,fx_mvg_m_anachiro_lazer_01,,fx_mvg_m_anachiro_burst_hit,False,0,True,100,10000,0,0,0,0,2,100,False,0,0,
130,ProjectileLaser,0,300,0.0,0,fx_mvg_m_anachiro_lazer_01,,fx_mvg_m_anachiro_burst_hit,False,0,True,100,10000,0,0,0,0,2,190,False,0,0,
131,ProjectileLaser,0,300,0.0,0,fx_mvg_m_anachiro_lazer_02,,fx_mvg_m_anachiro_burst_hit,False,0,True,100,1000,0,0,0,0,2,500,False,0,0,
132,timelineskill,3,300,50.0,0,fx_mvg_m_anachiro_burst_lazer,,fx_mvg_m_anachiro_burst_hit,False,0,True,100,10000,0,0,0,50,2,1000,False,0,0,
133,ProjectileHoming,0,300,10.0,10,fx_mvg_m_dagger_bullet_01,fx_mvg_m_dagger_bullet_01_muz,fx_mvg_m_dagger_bullet_01_hit,False,0,True,100,100,15,600,0,0,0,0,False,0,0,
134,ProjectileLaser,0,300,0.0,0,fx_mvg_m_starfish_bullet_01,fx_mvg_m_starfish_bullet_01_muz,fx_mvg_m_starfish_bullet_01_hit,True,10,True,10,2000,0,0,0,0,100,50,False,0,0,
135,ProjectileLinear,0,300,10.0,0,fx_mvg_m_landcrab_bullet_01,fx_mvg_m_landcrab_bullet_01_muz,fx_mvg_m_landcrab_bullet_01_hit,True,10,True,100,100,0,0,0,0,0,0,False,0,0,
136,ProjectileParabolic,0,300,20.0,0,fx_mvg_m_cube_bullet_01,fx_mvg_m_cube_bullet_01_muz,fx_mvg_m_cube_bullet_01_hit,True,10,True,100,100,0,0,15,0,0,0,True,100,100,
137,ProjectileLinear,0,300,10.0,0,fx_mvg_m_cricket_bullet_01,fx_mvg_m_cricket_bullet_01_muz,fx_mvg_m_cricket_bullet_01_hit,True,10,True,100,100,0,0,0,0,0,0,False,0,0,
138,ProjectileLinear,0,300,20.0,0,fx_mvg_m_starfish_bullet_02,fx_mvg_m_starfish_bullet_02_muz,fx_mvg_m_starfish_bullet_02_hit,True,10,True,100,100,0,0,0,0,0,0,False,0,0,
139,ProjectileParabolic,0,300,20.0,0,fx_mvg_m_cube_bullet_01,fx_mvg_m_cube_bullet_01_muz,fx_mvg_m_cube_bullet_01_hit,True,10,True,100,100,0,0,30,0,0,0,True,100,100,
140,ProjectileParabolic,0,300,20.0,0,fx_mvg_m_cube_bullet_01,fx_mvg_m_cube_bullet_01_muz,fx_mvg_m_cube_bullet_01_hit,True,10,True,100,100,0,0,45,0,0,0,True,100,100,
141,Explosion,2,300,0.0,0,,,,False,0,False,0,0,0,0,0,0,0,0,True,100,100,
142,Explosion,2,300,0.0,0,,,,False,0,False,0,0,0,0,0,0,0,0,True,100,100,
143,ProjectileHoming,0,300,15.0,15,fx_mvg_m_fingers_bullet_01,fx_mvg_m_fingers_bullet_01_muz,fx_mvg_m_fingers_bullet_01_hit,False,0,True,100,100,45,600,0,0,0,0,True,100,100,
145,ProjectileLinear,0,300,0.0,0,,,,False,0,True,0,0,0,0,0,0,0,0,False,0,0,fx_mvg_m_signal
146,ProjectileLinear,2,300,100.0,0,,,,False,0,True,10,10,0,0,0,0,0,0,True,800,1000,
147,ProjectileLaser,1,300,200.0,0,fx_mvg_m_fingers_beam_01,,fx_mvg_m_fingers_beam_hit,False,0,True,100,0,0,0,0,0,100,20,False,0,0,fx_mvg_m_aiming_lazer
148,ProjectileLaser,2,300,250.0,0,fx_mvg_m_fingers_beam_02,,fx_mvg_m_fingers_beam_hit,False,0,True,100,5300,0,0,0,53,100,70,False,0,0,
149,ProjectileLaser,2,300,250.0,0,fx_mvg_m_fingers_beam_03,,fx_mvg_m_fingers_beam_hit,False,0,True,300,5300,0,0,0,53,100,70,False,0,0,
150,ProjectileLinear,0,300,0.0,0,,,,False,10,True,0,0,0,0,0,0,0,0,False,0,0,
151,ProjectileLinear,1,300,10.0,0,fx_mvg_m_bullet_a_03,fx_mvg_m_bullet_a_03_muz,fx_mvg_m_bullet_a_03_hit,True,10,True,100,100,0,0,0,0,0,0,False,0,0,
152,ProjectileHoming,2,300,10.0,15,fx_mvg_m_fingers_bullet_01,fx_mvg_m_fingers_bullet_01_muz,fx_mvg_m_fingers_bullet_01_hit,False,0,True,100,100,45,600,0,0,0,0,False,0,0,
153,ProjectileLinear,1,300,0.0,0,,,,False,0,True,0,0,0,0,0,0,0,0,False,0,0,
154,ProjectileLinear,0,300,0.0,0,,,,False,0,True,0,0,0,0,0,0,0,0,False,0,0,fx_mvg_m_anachiro_aura
155,ProjectileLinear,0,500,10.0,0,fx_mvg_m_bullet_a_02,fx_mvg_m_bullet_a_02_muz,fx_mvg_m_bullet_a_02_hit,True,10,True,100,100,0,0,0,0,0,0,False,0,0,
156,ProjectileLinear,0,1000,10.0,0,fx_mvg_m_bullet_a_02,fx_mvg_m_bullet_a_02_muz,fx_mvg_m_bullet_a_02_hit,True,10,True,100,100,0,0,0,0,0,0,False,0,0,
157,ProjectileLinear,0,100,10.0,0,fx_mvg_m_bullet_a_02,fx_mvg_m_bullet_a_02_muz,fx_mvg_m_bullet_a_02_hit,True,10,True,100,100,0,0,0,0,0,0,False,0,0,
158,ProjectileLinear,0,300,10.0,0,fx_mvg_m_bullet_a_02,fx_mvg_m_bullet_a_02_muz,fx_mvg_m_bullet_a_02_hit,True,10,True,100,100,0,0,0,0,0,0,False,0,0,
