id,world_id,group_id,sub_group_id,start_trigger,close_trigger,text_char_resource,text_locale_title,text_locale_description,text_location,background,add_on_resource,mask_control,unmask_text_locale,unmask_input_control,next_id,save_tutorial,reconnectiontutorialid,skip_button_control,unmask_key/0/name,unmask_key/0/value
5500101,5,5001,None,EnterSurfaceBattleLegionRaidPopup,None,si_c300_00_s,Locale_Surface:TUTO_SURFACE_BATTLE_LEGION_RAID_TITLE_01,Locale_Surface:TUTO_SURFACE_BATTLE_LEGION_RAID_DESCRIPTION_01,Top,0,,True,,False,5500102,False,0,True,,
5500102,5,5001,None,None,TouchSurfaceBattleStartButton,si_c300_00_s,Locale_Surface:TUTO_SURFACE_BATTLE_LEGION_RAID_TITLE_01,Locale_Surface:TUTO_SURFACE_BATTLE_LEGION_RAID_DESCRIPTION_02,Top,1,,True,,True,0,False,0,True,unmask_key,tuto_surface_battle_start_button
5500201,5,5002,None,EnterSurfaceBattleBossRaidPopup,None,si_c300_00_s,Locale_Surface:TUTO_SURFACE_BATTLE_BOSS_RAID_TITLE_01,Locale_Surface:TUTO_SURFACE_BATTLE_BOSS_RAID_DESCRIPTION_01,Top,0,,True,,False,5500202,False,0,True,,
5500202,5,5002,None,None,TouchSurfaceBattleStartButton,si_c300_00_s,Locale_Surface:TUTO_SURFACE_BATTLE_BOSS_RAID_TITLE_01,Locale_Surface:TUTO_SURFACE_BATTLE_BOSS_RAID_DESCRIPTION_02,Top,1,,True,,True,0,False,0,True,unmask_key,tuto_surface_battle_start_button
5500301,5,5003,None,EnterSurfaceBattleOccupationPopup,None,si_c300_00_s,Locale_Surface:TUTO_SURFACE_BATTLE_OCCUPATION_RAID_TITLE_01,Locale_Surface:TUTO_SURFACE_BATTLE_OCCUPATION_RAID_DESCRIPTION_01,Top,0,,True,,False,5500302,False,0,True,,
5500302,5,5003,None,None,TouchSurfaceBattleStartButton,si_c300_00_s,Locale_Surface:TUTO_SURFACE_BATTLE_OCCUPATION_RAID_TITLE_01,Locale_Surface:TUTO_SURFACE_BATTLE_OCCUPATION_RAID_DESCRIPTION_02,Top,1,,True,,True,0,False,0,True,unmask_key,tuto_surface_battle_start_button
4100101,4,1001,None,FinishSurfaceLobbyAnimation,None,si_c907_00_s,Locale_Surface:TUTO_SURFACE_LOBBY_TITLE_01,Locale_Surface:TUTO_SURFACE_LOBBY_DESCRIPTION_01,Top,0,,True,,False,4100102,True,4100120,True,,
4100102,4,1001,None,None,None,si_c907_00_s,Locale_Surface:TUTO_SURFACE_LOBBY_TITLE_01,Locale_Surface:TUTO_SURFACE_LOBBY_DESCRIPTION_02,Top,1,,True,,False,4100103,False,0,True,unmask_key,tuto_surface_hud_produce_button
4100103,4,1001,None,None,None,si_c907_00_s,Locale_Surface:TUTO_SURFACE_LOBBY_TITLE_01,Locale_Surface:TUTO_SURFACE_LOBBY_DESCRIPTION_03,Top,1,,True,,False,4100104,True,4100139,True,unmask_key,tuto_surface_hud_inventory_button
4100104,4,1001,None,None,EnterSurfaceStructureInfo,si_c907_00_s,Locale_Surface:TUTO_SURFACE_LOBBY_TITLE_01,Locale_Surface:TUTO_SURFACE_LOBBY_DESCRIPTION_04,Top,1,,True,,True,4100105,False,0,True,unmask_key,tuto_surface_hud_headquarters_button
