id,monster_resource,monster_size,monster_type,monster_atk_type,monster_skill_type,projectile_resource,projectile_speed,monster_move_speed,monster_hp,show_hp,monster_atk,monster_def,monster_atk_cooltime,monster_atk_range,dead_fx_resource,monster_skill_value/0/monster_skill_value,monster_skill_value/1/monster_skill_value,monster_skill_value/2/monster_skill_value
10101,bh_monster_01,200,Minion,Near,None,,0,40,280,False,100,10,200,10,fx_bh_monster_dead_01,0,0,0
10201,bh_monster_02,200,Minion,Projectile,None,proj_bh_monster_02,200,40,280,False,100,10,200,300,fx_bh_monster_dead_01,0,0,0
10301,bh_monster_03,200,Minion,Near,None,,0,40,420,False,100,10,200,10,fx_bh_monster_dead_01,0,0,0
10401,bh_monster_04,200,Minion,Projectile,DefUp,proj_bh_monster_02,200,40,420,False,100,15,200,300,fx_bh_monster_dead_01,2,0,0
10402,bh_monster_04,200,Minion,Projectile,DefUp,proj_bh_monster_02,200,40,490,False,100,15,200,300,fx_bh_monster_dead_01,2,0,0
10501,bh_monster_05,200,Minion,Projectile,None,proj_bh_monster_02,200,40,420,False,100,10,200,300,fx_bh_monster_dead_01,0,0,0
10601,bh_monster_06,250,Minion,Near,Split,,0,40,560,False,100,15,200,10,fx_bh_monster_dead_01,10602,3,150
10602,bh_monster_06,150,Minion,Near,None,,0,40,140,False,30,5,200,10,fx_bh_monster_dead_01,0,0,0
10611,bh_monster_06,250,Minion,Near,Split,,0,40,700,False,100,15,200,10,fx_bh_monster_dead_01,10612,4,170
10612,bh_monster_06,150,Minion,Near,None,,0,40,210,False,30,5,200,10,fx_bh_monster_dead_01,0,0,0
10621,bh_monster_06,250,Minion,Near,Split,,0,40,840,False,100,15,200,10,fx_bh_monster_dead_01,10622,5,200
10622,bh_monster_06,150,Minion,Near,None,,0,40,280,False,30,5,200,10,fx_bh_monster_dead_01,0,0,0
10701,bh_monster_07,200,Minion,Projectile,DefUp,proj_bh_monster_02,200,40,700,False,50,10,200,300,fx_bh_monster_dead_01,2,0,0
20101,bh_monster_04,350,Elite,Projectile,DefUp,proj_bh_monster_02,200,35,3000,True,150,5,200,300,fx_bh_monster_dead_01,2,0,0
20201,bh_monster_06,350,Elite,Near,Split,,0,35,5000,True,150,5,200,10,fx_bh_monster_dead_01,20202,5,200
20202,bh_monster_06,150,Elite,Near,None,,0,35,500,True,150,5,200,10,fx_bh_monster_dead_01,0,0,0
20211,bh_monster_06,350,Elite,Near,Split,,0,35,2000,True,150,5,200,10,fx_bh_monster_dead_01,20212,5,200
20212,bh_monster_06,150,Elite,Near,None,,0,35,300,True,150,5,200,10,fx_bh_monster_dead_01,0,0,0
20301,bh_monster_07,400,Elite,Projectile,DefUp,proj_bh_monster_02,200,30,4000,True,150,5,200,300,fx_bh_monster_dead_01,2,0,0
20311,bh_monster_07,400,Elite,Projectile,DefUp,proj_bh_monster_02,200,30,2000,True,150,5,200,300,fx_bh_monster_dead_01,2,0,0
30101,bh_monster_08,500,Boss,Near,None,,0,20,3000,True,250,10,300,10,fx_bh_monster_dead_03,0,0,0
30201,bh_monster_09,380,Boss,Projectile,DefUp,proj_bh_monster_01,250,20,3000,True,250,10,300,300,fx_bh_monster_dead_03,10,0,0
30301,bh_monster_10,400,Boss,Near,DefUp,,0,20,3500,True,250,20,300,10,fx_bh_monster_dead_03,20,0,0
