id,research_level_group,level,time,research_function_type,research_function_value_type,research_function_value,research_cost/0/research_cost_type,research_cost/0/research_cost_id,research_cost/0/research_cost_value,research_cost/1/research_cost_type,research_cost/1/research_cost_id,research_cost/1/research_cost_value,research_cost/2/research_cost_type,research_cost/2/research_cost_id,research_cost/2/research_cost_value
401010101,4010101,1,300,IncreaseTeamMaxAmount,Integer,1,SurfaceCurrency,104000001,100000,SurfaceCurrency,104000003,30000,None,0,0
401010102,4010101,2,600,IncreaseTeamMaxAmount,Integer,2,SurfaceCurrency,104000001,200000,SurfaceCurrency,104000003,60000,None,0,0
401010103,4010101,3,900,IncreaseTeamMaxAmount,Integer,3,SurfaceCurrency,104000001,300000,SurfaceCurrency,104000003,90000,None,0,0
401010104,4010101,4,3600,IncreaseTeamMaxAmount,Integer,4,SurfaceCurrency,104000001,400000,SurfaceCurrency,104000003,120000,None,0,0
401010105,4010101,5,4500,IncreaseTeamMaxAmount,Integer,5,SurfaceCurrency,104000001,500000,SurfaceCurrency,104000003,150000,None,0,0
401010106,4010101,6,5400,IncreaseTeamMaxAmount,Integer,6,SurfaceCurrency,104000001,600000,SurfaceCurrency,104000003,180000,None,0,0
401010107,4010101,7,43200,IncreaseTeamMaxAmount,Integer,7,SurfaceCurrency,104000001,700000,SurfaceCurrency,104000003,210000,None,0,0
401010108,4010101,8,49372,IncreaseTeamMaxAmount,Integer,8,SurfaceCurrency,104000001,800000,SurfaceCurrency,104000003,240000,None,0,0
401010109,4010101,9,55543,IncreaseTeamMaxAmount,Integer,9,SurfaceCurrency,104000001,900000,SurfaceCurrency,104000003,270000,None,0,0
401010201,4010102,1,300,OpenBuffParts,BuffParts,401001,SurfaceCurrency,104000001,50000,SurfaceCurrency,104000004,50000,None,0,0
401020201,4010202,1,3600,OpenBuffParts,BuffParts,401002,SurfaceCurrency,104000001,100000,SurfaceCurrency,104000004,100000,None,0,0
401030201,4010302,1,43200,OpenBuffParts,BuffParts,401003,SurfaceCurrency,104000001,200000,SurfaceCurrency,104000004,200000,None,0,0
402010101,4020101,1,300,IncreaseProductionCorePowder,SurfaceCurrency,4010101,SurfaceCurrency,104000001,50000,SurfaceCurrency,104000003,25000,SurfaceCurrency,104000004,25000
402010102,4020101,2,43200,IncreaseProductionCorePowder,SurfaceCurrency,4010102,SurfaceCurrency,104000001,500000,SurfaceCurrency,104000003,250000,SurfaceCurrency,104000004,250000
402010201,4020102,1,300,IncreaseProductionGoddesium,SurfaceCurrency,4010201,SurfaceCurrency,104000001,50000,SurfaceCurrency,104000003,25000,SurfaceCurrency,104000004,25000
402010202,4020102,2,43200,IncreaseProductionGoddesium,SurfaceCurrency,4010202,SurfaceCurrency,104000001,500000,SurfaceCurrency,104000003,250000,SurfaceCurrency,104000004,250000
402010301,4020103,1,300,IncreaseProductionGeonic,SurfaceCurrency,4010301,SurfaceCurrency,104000001,50000,SurfaceCurrency,104000003,25000,SurfaceCurrency,104000004,25000
402010302,4020103,2,43200,IncreaseProductionGeonic,SurfaceCurrency,4010302,SurfaceCurrency,104000001,500000,SurfaceCurrency,104000003,250000,SurfaceCurrency,104000004,250000
402010401,4020104,1,300,IncreaseProductionNeoTitanium,SurfaceCurrency,4010401,SurfaceCurrency,104000001,50000,SurfaceCurrency,104000003,25000,SurfaceCurrency,104000004,25000
402010402,4020104,2,43200,IncreaseProductionNeoTitanium,SurfaceCurrency,4010402,SurfaceCurrency,104000001,500000,SurfaceCurrency,104000003,250000,SurfaceCurrency,104000004,250000
402020101,4020201,1,3600,IncreaseProductionSurfaceCurrency,Percent,200,SurfaceCurrency,104000001,200000,SurfaceCurrency,104000003,200000,SurfaceCurrency,104000004,200000
402020301,4020203,1,3600,DecreaseSurfaceBuildingLevelUpTime,Percent,500,SurfaceCurrency,104000001,200000,SurfaceCurrency,104000003,200000,SurfaceCurrency,104000004,200000
402020401,4020204,1,3600,DecreaseSurfaceBuildingLevelUpCost,Percent,100,SurfaceCurrency,104000001,200000,SurfaceCurrency,104000003,200000,SurfaceCurrency,104000004,200000
403010101,4030101,1,3600,RapidDeploymentUnlock,None,0,SurfaceCurrency,104000003,100000,SurfaceCurrency,104000004,100000,None,0,0
403010201,4030102,1,3600,HospitalSlotUnlock,Integer,1,SurfaceCurrency,104000003,100000,SurfaceCurrency,104000004,100000,None,0,0
403010202,4030102,2,5400,HospitalSlotUnlock,Integer,2,SurfaceCurrency,104000003,150000,SurfaceCurrency,104000004,150000,None,0,0
403010203,4030102,3,7200,HospitalSlotUnlock,Integer,3,SurfaceCurrency,104000003,200000,SurfaceCurrency,104000004,200000,None,0,0
403010204,4030102,4,9000,HospitalSlotUnlock,Integer,4,SurfaceCurrency,104000003,250000,SurfaceCurrency,104000004,250000,None,0,0
403010205,4030102,5,10800,HospitalSlotUnlock,Integer,5,SurfaceCurrency,104000003,300000,SurfaceCurrency,104000004,300000,None,0,0
403010401,4030104,1,3600,DecreaseResearchTime,Percent,100,SurfaceCurrency,104000003,100000,SurfaceCurrency,104000004,100000,None,0,0
403010402,4030104,2,43200,DecreaseResearchTime,Percent,200,SurfaceCurrency,104000003,200000,SurfaceCurrency,104000004,200000,None,0,0
403020101,4030201,1,43200,RapidDeploymentAutoChargeMaxAmount,Integer,1,SurfaceCurrency,104000003,200000,SurfaceCurrency,104000004,200000,None,0,0
403020201,4030202,1,43200,DecreaseRecoveryCost,Percent,100,SurfaceCurrency,104000003,200000,SurfaceCurrency,104000004,200000,None,0,0
403020301,4030203,1,43200,DecreaseRecoveryTime,Percent,100,SurfaceCurrency,104000003,200000,SurfaceCurrency,104000004,200000,None,0,0
