id,manager_id,mission_localkey,mission_category,mission_type,mission_target_id,mission_count,reward_type,reward_value
101,1,Locale_Event:island_adventure_mission_daily_01,DailyPoint,DailyPointReward,0,20,Item,8134059
102,1,Locale_Event:island_adventure_mission_daily_02,DailyPoint,DailyPointReward,0,40,Item,8134060
103,1,Locale_Event:island_adventure_mission_daily_03,DailyPoint,DailyPointReward,0,60,Item,8134061
104,1,Locale_Event:island_adventure_mission_daily_04,DailyPoint,DailyPointReward,0,80,Item,8134062
105,1,Locale_Event:island_adventure_mission_daily_05,DailyPoint,DailyPointReward,0,100,Item,8134063
201,1,Locale_Event:island_adventure_mission_daily_06,DailyMission,GainGoldCount,0,100,DailyPoint,25
202,1,Locale_Event:island_adventure_mission_daily_07,DailyMission,FishingCount,0,1,DailyPoint,25
203,1,Locale_Event:island_adventure_mission_daily_08,DailyMission,GainFish,0,1,DailyPoint,25
204,1,Locale_Event:island_adventure_mission_daily_09,DailyMission,BaitUseCount,0,1,DailyPoint,25
205,1,Locale_Event:island_adventure_mission_daily_10,DailyMission,GainPhoto,0,1,DailyPoint,25
301,1,Locale_Event:island_adventure_mission_achievement_01,Achievement,GainFish,1015,1,Item,8134064
302,1,Locale_Event:island_adventure_mission_achievement_02,Achievement,GainFish,2008,1,Item,8134065
303,1,Locale_Event:island_adventure_mission_achievement_03,Achievement,GainFish,3018,1,Item,8134066
304,1,Locale_Event:island_adventure_mission_achievement_04,Achievement,GainFish,0,10,Item,8134067
305,1,Locale_Event:island_adventure_mission_achievement_16,Achievement,GainFish,0,30,Item,8134075
306,1,Locale_Event:island_adventure_mission_achievement_05,Achievement,GainFish,0,50,Item,8134068
307,1,Locale_Event:island_adventure_mission_achievement_17,Achievement,GainFish,0,70,Item,8134076
308,1,Locale_Event:island_adventure_mission_achievement_06,Achievement,GainFish,0,100,Item,8134069
309,1,Locale_Event:island_adventure_mission_achievement_11,Achievement,GainPhoto,0,10,Item,8134070
310,1,Locale_Event:island_adventure_mission_achievement_12,Achievement,GainFishingRod,0,5,Item,8134071
311,1,Locale_Event:island_adventure_mission_achievement_13,Achievement,GainBoatParts,0,5,Item,8134072
312,1,Locale_Event:island_adventure_mission_achievement_14,Achievement,GainGoldCount,0,10000,Item,8134073
313,1,Locale_Event:island_adventure_mission_achievement_15,Achievement,BaitUseCount,0,30,Item,8134074
314,1,Locale_Event:island_adventure_mission_achievement_18,Achievement,FishingCount,0,50,Item,8134077
315,1,Locale_Event:island_adventure_mission_achievement_19,Achievement,FishingCount,0,70,Item,8134078
316,1,Locale_Event:island_adventure_mission_achievement_20,Achievement,FishingCount,0,100,IslandAdventureItem,110
317,1,Locale_Event:island_adventure_mission_achievement_07,Achievement,FishSize,0,50,Item,8134080
318,1,Locale_Event:island_adventure_mission_achievement_08,Achievement,FishSize,0,100,Item,8134081
319,1,Locale_Event:island_adventure_mission_achievement_09,Achievement,FishSize,0,1000,Item,8134082
320,1,Locale_Event:island_adventure_mission_achievement_10,Achievement,FishSize,0,5000,IslandAdventureItem,111
401,2,Locale_Event:island_adventure_mission_achievement_06,Achievement,GainFish,0,100,Item,8134085
402,2,Locale_Event:island_adventure_mission_achievement_20,Achievement,FishingCount,0,100,IslandAdventureItem,110
403,2,Locale_Event:island_adventure_mission_achievement_10,Achievement,FishSize,0,5000,IslandAdventureItem,111
