id,package_group_id,product_grade,product_efficiency,is_free,midas_product_id
200201,200201,1,9,False,10200201
200202,200202,2,5,False,10200202
200203,200203,3,4,False,10200203
200204,200204,5,4,False,10200204
200205,200205,1,25,False,10200205
200301,200301,4,5,False,10200301
200302,200302,7,3,False,10200302
200303,200303,8,3,False,10200303
200304,200304,9,2,False,10200304
200401,200401,8,4,False,10200401
200402,200402,9,5,False,10200402
200403,200403,3,3,False,10200403
200404,200404,5,2,False,10200404
200405,200405,8,2,False,10200405
200501,200501,8,4,False,10200501
200502,200502,9,5,False,10200502
200503,200503,3,3,False,10200503
200504,200504,5,2,False,10200504
200505,200505,8,2,False,10200505
200506,200506,3,2,False,10200506
200507,200507,5,2,False,10200507
200508,200508,8,2,False,10200508
200601,200601,4,5,False,10200601
200602,200602,7,3,False,10200602
200603,200603,8,3,False,10200603
200604,200604,9,2,False,10200604
200701,200701,8,4,False,10200701
200702,200702,9,5,False,10200702
200703,200703,3,2,False,10200703
200704,200704,5,2,False,10200704
200705,200705,8,2,False,10200705
200706,200706,3,3,False,10200706
200707,200707,5,2,False,10200707
200708,200708,8,2,False,10200708
200709,200709,5,3,False,10200709
200710,200710,8,3,False,10200710
200711,200711,9,2,False,10200711
200901,200901,8,4,False,10200901
200902,200902,9,5,False,10200902
200903,200903,3,2,False,10200903
200904,200904,5,2,False,10200904
200905,200905,8,2,False,10200905
201001,201001,8,4,False,10201001
201002,201002,9,5,False,10201002
201003,201003,3,2,False,10201003
201004,201004,5,2,False,10201004
201005,201005,8,2,False,10201005
201006,201006,5,3,False,10201006
201007,201007,8,3,False,10201007
201008,201008,9,2,False,10201008
201101,201101,3,3,False,10201101
201102,201102,5,2,False,10201102
201103,201103,8,2,False,10201103
201201,201201,8,4,False,10201201
201202,201202,9,5,False,10201202
201203,201203,3,4,False,10201203
201204,201204,5,3,False,10201204
201205,201205,8,2,False,10201205
201209,201209,7,3,False,10201209
201301,201301,8,4,False,10201301
201302,201302,9,5,False,10201302
201303,201303,3,4,False,10201303
201304,201304,5,3,False,10201304
201305,201305,8,2,False,10201305
201306,201306,7,3,False,10201306
201307,201307,5,3,False,10201307
201308,201308,8,3,False,10201308
201309,201309,9,2,False,10201309
201401,201401,8,4,False,10201401
201402,201402,9,5,False,10201402
201403,201403,3,4,False,10201403
201404,201404,5,3,False,10201404
201405,201405,8,2,False,10201405
201406,201406,7,3,False,10201406
201407,201407,5,3,False,10201407
201408,201408,8,3,False,10201408
201409,201409,9,2,False,10201409
201501,201501,8,4,False,10201501
201502,201502,9,5,False,10201502
201503,201503,3,4,False,10201503
201504,201504,5,3,False,10201504
201505,201505,8,2,False,10201505
201506,201506,7,3,False,10201506
201601,201601,4,5,False,10201601
201602,201602,7,3,False,10201602
201603,201603,8,3,False,10201603
201604,201604,9,2,False,10201604
201701,201701,8,4,False,10201701
201702,201702,9,5,False,10201702
201703,201703,3,4,False,10201703
