id,name_localkey,description_localkey,monster_type,monster_position,height_position,monster_attack_type,resource_id,monster_prefab,level_group,skill_group,advantage_group,attack,hp,knock_back_max,move_speed,scale,shadow_scale,prefab_height_position,search_target_type,search_radius,discover_type,discover_value,animation_summon,animation_stand,animation_move,animation_move_speed,animation_knock_back,animation_knock_back_distance,animation_death,effect_death,effect_summon
1,Locale_Event:EventBM_name_monster_tower_101,Locale_Event:EventBM_desc_monster_tower_101,Tower,Ground,0,Range,bm_si_tower_enemy_101,bm_tower_enemy_101,1,1,1,23,309,0,0,70000,20000,0,EnemyAll,300000,Quadrilateral,1000,summon,idle,move,10000,knock_back,0,bm_tower_enemy_102,bm_fx_death_enemytower_101,
1011,Locale_Event:EventBM_name_monster_small_101,Locale_Event:EventBM_desc_monster_small_101,Small,Ground,0,Melee,fortheking_monster_pelican,Bubble_march/monster/bm_mon_small_101,111,111,11,9,27,13500,40000,30000,20000,-15000,EnemyAll,150000,Circle,30000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_enemy_101,bm_fx_summon_enemy_101
1012,Locale_Event:EventBM_name_monster_small_102,Locale_Event:EventBM_desc_monster_small_102,Small,Ground,0,Range,fortheking_monster_caphead,Bubble_march/monster/bm_mon_small_102,121,121,12,6,18,6750,40000,30000,20000,-15000,EnemyAll,250000,Circle,30000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_enemy_101,bm_fx_summon_enemy_101
1013,Locale_Event:EventBM_name_monster_small_201,Locale_Event:EventBM_desc_monster_small_201,Small,Air,5000,Range,fortheking_monster_covered,Bubble_march/monster/bm_mon_small_201,131,131,13,6,18,6750,40000,30000,20000,-15000,EnemyAll,250000,Circle,30000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_enemy_101,bm_fx_summon_enemy_101
1021,Locale_Event:EventBM_name_monster_midium_101,Locale_Event:EventBM_desc_monster_midium_101,Midium,Ground,0,Melee,fortheking_monster_thief,Bubble_march/monster/bm_mon_midium_101,211,211,21,18,59,10000,40000,50000,20000,-20000,EnemyAll,150000,Circle,50000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_enemy_102,bm_fx_summon_enemy_102
1022,Locale_Event:EventBM_name_monster_midium_102,Locale_Event:EventBM_desc_monster_midium_102,Midium,Ground,0,Range,fortheking_monster_fatleg,Bubble_march/monster/bm_mon_midium_102,221,221,22,11,41,5000,40000,50000,20000,-20000,EnemyAll,250000,Circle,45000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_enemy_102,bm_fx_summon_enemy_102
1023,Locale_Event:EventBM_name_monster_midium_201,Locale_Event:EventBM_desc_monster_midium_201,Midium,Air,5000,Range,fortheking_monster_lure,Bubble_march/monster/bm_mon_midium_201,231,231,23,11,41,5000,40000,45000,20000,-20000,EnemyAll,250000,Circle,45000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_enemy_102,bm_fx_summon_enemy_102
1031,Locale_Event:EventBM_name_monster_big_101,Locale_Event:EventBM_desc_monster_big_101,Big,Ground,0,Melee,fortheking_monster_armored,Bubble_march/monster/bm_mon_big_101,311,311,31,18,180,50000,40000,75000,20000,-35000,EnemyAll,150000,Circle,70000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_enemy_103,bm_fx_summon_enemy_103
1032,Locale_Event:EventBM_name_monster_big_102,Locale_Event:EventBM_desc_monster_big_102,Big,Ground,0,Range,fortheking_monster_ant,Bubble_march/monster/bm_mon_big_102,321,321,32,11,126,25000,40000,75000,20000,-35000,EnemyAll,250000,Circle,70000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_enemy_103,bm_fx_summon_enemy_103
1033,Locale_Event:EventBM_name_monster_big_201,Locale_Event:EventBM_desc_monster_big_201,Big,Air,5000,Range,fortheking_monster_bird,Bubble_march/monster/bm_mon_big_201,331,331,33,14,126,25000,40000,75000,20000,-35000,EnemyAll,250000,Circle,70000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_enemy_103,bm_fx_summon_enemy_103
1041,Locale_Event:EventBM_name_monster_huge_101,Locale_Event:EventBM_desc_monster_huge_101,Huge,Ground,0,Melee,bm_si_mon_huge_101,Bubble_march/monster/bm_mon_huge_101,411,411,41,16,540,100000,1000,85000,70000,-150000,EnemyAll,570000,Circle,290000,summon,idle,move,3000,knock_back,0,die,bm_fx_death_enemy_104,bm_fx_summon_enemy_104
1042,Locale_Event:EventBM_name_monster_huge_102,Locale_Event:EventBM_desc_monster_huge_102,Huge,Ground,0,Range,bm_si_mon_huge_102,Bubble_march/monster/bm_mon_huge_102,421,421,42,12,378,50000,1000,100000,40000,-150000,EnemyAll,570000,Circle,210000,summon,idle,move,3000,knock_back,0,die,bm_fx_death_enemy_104,bm_fx_summon_enemy_104
1043,Locale_Event:EventBM_name_monster_huge_201,Locale_Event:EventBM_desc_monster_huge_201,Huge,Air,0,Range,bm_si_mon_huge_103,Bubble_march/monster/bm_mon_huge_201,431,431,43,12,378,50000,1000,120000,30000,-140000,EnemyAll,570000,Circle,230000,summon,idle,move,3000,knock_back,0,die,bm_fx_death_enemy_104,bm_fx_summon_enemy_104
