id,costume_theme_name_locale,costume_theme_description_locale
1000,Locale_CharacterCostume:swimsuit_2022_name,Locale_CharacterCostume:swimsuit_2022_description
2000,Locale_CharacterCostume:cbt_2022_name,Locale_CharacterCostume:cbt_2022_description
9999,Locale_CharacterCostume:temp_category_name,Locale_CharacterCostume:temp_category_description
3000,Locale_CharacterCostume:daily_2022_category,Locale_CharacterCostume:daily_2022_description
4000,Locale_CharacterCostume:winter_2022_category,Locale_CharacterCostume:winter_2022_description
5000,Locale_CharacterCostume:party_2023_category,Locale_CharacterCostume:party_2023_description
6000,Locale_CharacterCostume:valentine_2023_category,Locale_CharacterCostume:valentine_2023_description
7000,Locale_CharacterCostume:bunny_category,Locale_CharacterCostume:bunny_description
8000,Locale_CharacterCostume:car_racer_category,Locale_CharacterCostume:car_racer_description
9000,Locale_CharacterCostume:ce_02_category,Locale_CharacterCostume:ce_02_description
10000,Locale_CharacterCostume:halloween_category,Locale_CharacterCostume:halloween_description
11000,Locale_CharacterCostume:abnormal_category,Locale_CharacterCostume:abnormal_description
12000,Locale_CharacterCostume:awakeningfate_category,Locale_CharacterCostume:awakeningfate_description
13000,Locale_CharacterCostume:anotherdream_category,Locale_CharacterCostume:anotherdream_description
