id,group,order,tier,item_type,item_id,item_count
101,1,1,1,CharacterCostume,70002,1
102,1,2,2,Currency,5200,10
103,1,3,2,Item,9402073,200
104,1,4,3,Item,7080001,2
105,1,5,3,Item,7091001,90
106,1,6,3,Item,7050003,5
107,1,7,4,Item,9201001,14
108,1,8,4,Item,7092001,22
109,1,9,5,Item,9301002,4
110,1,10,5,Item,7010002,20
201,2,1,1,CharacterCostume,80001,1
202,2,2,2,Currency,5200,10
203,2,3,2,Currency,5100,10
204,2,4,3,Item,9402073,200
205,2,5,3,Item,7080001,2
206,2,6,3,Currency,5100,5
207,2,7,4,Item,9201001,14
208,2,8,4,Item,7050002,5
209,2,9,5,Item,9301002,4
210,2,10,5,Item,7010002,20
301,3,1,1,CharacterCostume,90002,1
302,3,2,2,Currency,5200,10
303,3,3,2,Currency,5100,10
304,3,4,3,Item,9402073,200
305,3,5,3,Item,7080001,2
306,3,6,3,Currency,5100,5
307,3,7,4,Item,9201001,14
308,3,8,4,Item,7050002,5
309,3,9,5,Item,9301002,4
310,3,10,5,Item,7010002,20
501,5,1,1,CharacterCostume,50007,1
502,5,2,2,Currency,5200,10
503,5,3,2,Currency,5100,10
504,5,4,3,Item,9402073,200
505,5,5,3,Item,7080001,2
506,5,6,3,Currency,5100,5
507,5,7,4,Item,9201001,14
508,5,8,4,Item,7050002,5
509,5,9,5,Item,9301002,4
510,5,10,5,Item,7010002,20
601,6,1,1,CharacterCostume,50010,1
602,6,2,2,Currency,5200,10
603,6,3,2,Currency,5100,10
604,6,4,3,Item,9402073,200
605,6,5,3,Item,7080001,2
606,6,6,3,Currency,5100,5
607,6,7,4,Item,9201001,14
608,6,8,4,Item,7050002,5
609,6,9,5,Item,9301002,4
610,6,10,5,Item,7010002,20
701,7,1,1,CharacterCostume,50010,1
702,7,2,2,Currency,5200,10
703,7,3,2,Currency,5100,10
704,7,4,3,Item,9402073,200
705,7,5,3,Item,7080001,2
706,7,6,3,Currency,5100,5
707,7,7,4,Item,9201001,14
708,7,8,4,Item,7050002,5
709,7,9,5,Item,9301002,4
710,7,10,5,Item,7010002,20
801,8,1,1,CharacterCostume,110003,1
802,8,2,2,Currency,5200,10
803,8,3,2,Currency,5100,10
804,8,4,3,Item,9402073,200
805,8,5,3,Item,7080001,2
806,8,6,3,Currency,5100,5
807,8,7,4,Item,9201001,14
808,8,8,4,Item,7050002,5
809,8,9,5,Item,9301002,4
810,8,10,5,Item,7010002,20
901,9,1,1,CharacterCostume,120002,1
902,9,2,2,Currency,5200,10
903,9,3,2,Currency,5100,10
904,9,4,3,Item,9402073,200
905,9,5,3,Item,7080001,2
906,9,6,3,Currency,5100,5
907,9,7,4,Item,9201001,14
908,9,8,4,Item,7050002,5
909,9,9,5,Item,9301002,4
910,9,10,5,Item,7010002,20
1001,10,1,1,CharacterCostume,120001,1
1002,10,2,2,Currency,5200,10
1003,10,3,2,Currency,5100,10
1004,10,4,3,Item,9402073,200
1005,10,5,3,Item,7080001,2
1006,10,6,3,Currency,5100,5
1007,10,7,4,Item,9201001,14
1008,10,8,4,Item,7050002,5
1009,10,9,5,Item,9301002,4
1010,10,10,5,Item,7010002,20
1101,11,1,1,CharacterCostume,10009,1
1102,11,2,2,Currency,5200,10
1103,11,3,2,Currency,5100,10
1104,11,4,3,Item,9402073,200
1105,11,5,3,Item,7080001,2
1106,11,6,3,Currency,5100,5
1107,11,7,4,Item,9201001,14
1108,11,8,4,Item,7050002,5
1109,11,9,5,Item,9301002,4
1110,11,10,5,Item,7010002,20
1201,12,1,1,CharacterCostume,30029,1
1202,12,2,2,Currency,5200,10
1203,12,3,2,Currency,5100,10
1204,12,4,3,Item,9402073,200
1205,12,5,3,Item,7080001,2
1206,12,6,3,Currency,5100,5
1207,12,7,4,Item,9201001,14
1208,12,8,4,Item,7050002,5
1209,12,9,5,Item,9301002,4
1210,12,10,5,Item,7010002,20
1301,13,1,1,CharacterCostume,110011,1
1302,13,2,2,Currency,5200,10
1303,13,3,2,Currency,5100,10
1304,13,4,3,Item,9402073,200
1305,13,5,3,Item,7080001,2
1306,13,6,3,Currency,5100,5
1307,13,7,4,Item,9201001,14
1308,13,8,4,Item,7050002,5
1309,13,9,5,Item,9301002,4
1310,13,10,5,Item,7010003,6
1401,14,1,1,CharacterCostume,30033,1
1402,14,2,2,Currency,5200,10
1403,14,3,2,Currency,5100,10
1404,14,4,3,Item,9402073,200
1405,14,5,3,Item,9440102,200
1406,14,6,3,Currency,5100,5
1407,14,7,4,Item,7150002,10
1408,14,8,4,Item,9140001,12
1409,14,9,5,Item,9110001,30
1410,14,10,5,Item,7150001,10
1501,15,1,1,CharacterCostume,50015,1
1502,15,2,2,Currency,5200,10
1503,15,3,2,Currency,5100,10
1504,15,4,3,Item,9402073,200
1505,15,5,3,Item,9440102,200
1506,15,6,3,Currency,5100,5
1507,15,7,4,Item,7150002,10
1508,15,8,4,Item,9140001,12
1509,15,9,5,Item,9110001,30
1510,15,10,5,Item,7150001,10
1601,16,1,1,CharacterCostume,30036,1
1602,16,2,2,Currency,5200,10
1603,16,3,2,Currency,5100,10
1604,16,4,3,Item,9402073,200
1605,16,5,3,Item,9440102,200
1606,16,6,3,Currency,5100,5
1607,16,7,4,Item,7150002,10
1608,16,8,4,Item,9140001,12
1609,16,9,5,Item,9110001,30
1610,16,10,5,Item,7150001,10
1701,17,1,1,CharacterCostume,30037,1
1702,17,2,2,Currency,5200,10
1703,17,3,2,Currency,5100,10
1704,17,4,3,Item,9402073,200
1705,17,5,3,Item,9440102,200
1706,17,6,3,Currency,5100,5
1707,17,7,4,Item,7150002,10
1708,17,8,4,Item,9140001,12
1709,17,9,5,Item,9110001,30
1710,17,10,5,Item,7150001,10
1901,19,1,1,CharacterCostume,50016,1
1902,19,2,2,Currency,5200,10
1903,19,3,2,Currency,5100,10
1904,19,4,3,Item,9402073,200
1905,19,5,3,Item,9440102,200
1906,19,6,3,Currency,5100,5
1907,19,7,4,Item,7150002,10
1908,19,8,4,Item,9140001,12
1909,19,9,5,Item,9110001,30
1910,19,10,5,Item,7150001,10
2001,20,1,1,CharacterCostume,30043,1
2002,20,2,2,Currency,5200,10
2003,20,3,2,Currency,5100,10
2004,20,4,3,Item,9402073,200
2005,20,5,3,Item,9440102,200
2006,20,6,3,Currency,5100,5
2007,20,7,4,Item,7150002,10
2008,20,8,4,Item,9140001,12
2009,20,9,5,Item,9110001,30
2010,20,10,5,Item,7150001,10
2101,21,1,1,CharacterCostume,110020,1
2102,21,2,2,Currency,5200,10
2103,21,3,2,Currency,5100,10
2104,21,4,3,Item,7150003,15
2105,21,5,3,Item,9402073,200
2106,21,6,3,Currency,5100,5
2107,21,7,4,Item,7150002,10
2108,21,8,4,Item,7080001,1
2109,21,9,5,Item,9140001,12
2110,21,10,5,Item,9110001,30
2201,22,1,1,CharacterCostume,110023,1
2202,22,2,2,Currency,5200,10
2203,22,3,2,Currency,5100,10
2204,22,4,3,Item,7150003,15
2205,22,5,3,Item,9402073,200
2206,22,6,3,Currency,5100,5
2207,22,7,4,Item,7150002,10
2208,22,8,4,Item,7080001,1
2209,22,9,5,Item,9140001,12
2210,22,10,5,Item,9110001,30
2301,23,1,1,CharacterCostume,90002,1
2302,23,2,2,Currency,5200,10
2303,23,3,2,Currency,5100,10
2304,23,4,3,Item,9402073,200
2305,23,5,3,Item,7080001,2
