id,event_id,group_id
1,70034,2000
2,70035,2001
3,70036,2002
4,70037,2003
5,70038,2004
6,70039,2005
7,70041,2006
8,70042,2007
9,70043,2008
10,70044,2009
11,70045,2010
12,70046,2011
13,70047,2012
14,70048,2013
15,79001,2014
16,70049,2015
17,70050,2016
18,70051,2017
19,70052,2018
20,70053,2019
21,70054,2020
22,70055,2021
23,70056,2022
24,70061,2023
25,70062,2024
26,70063,2025
27,70064,2026
28,70065,2027
29,70066,2028
30,70067,2029
31,70068,2030
32,70069,2031
33,70070,2032
34,70071,2033
35,70072,2034
36,70074,2035
37,70075,2036
38,70073,2037
39,70076,2038
40,70078,2039
41,70077,2040
42,70080,2041
43,70081,2042
44,70082,2043
45,70083,2025
46,70084,2026
47,70085,2027
48,70086,2044
49,70087,2045
50,70088,2046
51,70089,2047
52,70090,2048
53,79002,2049
54,79002,2050
55,79002,2051
56,70091,2052
57,70092,2053
58,70093,2054
59,70094,2055
60,70095,2056
61,70096,2057
62,70097,2058
63,70098,2059
64,70099,2060
65,70100,2061
66,70101,2062
67,70102,2063
68,70103,2064
69,70104,2065
70,70105,2066
71,70106,2067
72,70107,2068
73,70108,2069
74,70109,2070
75,70109,2071
76,70109,2072
77,70109,2073
78,70109,2074
79,70109,2075
