id,dispatch_type,dispatch_board_lv,dispatch_board_description,dispatch_max,dispatch_list/0/dispatch_group,dispatch_list/0/dispatch_prob,dispatch_list/1/dispatch_group,dispatch_list/1/dispatch_prob,dispatch_list/2/dispatch_group,dispatch_list/2/dispatch_prob,dispatch_list/3/dispatch_group,dispatch_list/3/dispatch_prob,dispatch_list/4/dispatch_group,dispatch_list/4/dispatch_prob,dispatch_list/5/dispatch_group,dispatch_list/5/dispatch_prob,dispatch_list/6/dispatch_group,dispatch_list/6/dispatch_prob,dispatch_list/7/dispatch_group,dispatch_list/7/dispatch_prob,dispatch_list/8/dispatch_group,dispatch_list/8/dispatch_prob,dispatch_list/9/dispatch_group,dispatch_list/9/dispatch_prob,dispatch_list/10/dispatch_group,dispatch_list/10/dispatch_prob,dispatch_list/11/dispatch_group,dispatch_list/11/dispatch_prob,dispatch_list/12/dispatch_group,dispatch_list/12/dispatch_prob,dispatch_list/13/dispatch_group,dispatch_list/13/dispatch_prob,dispatch_list/14/dispatch_group,dispatch_list/14/dispatch_prob,dispatch_list/15/dispatch_group,dispatch_list/15/dispatch_prob,dispatch_list/16/dispatch_group,dispatch_list/16/dispatch_prob,dispatch_list/17/dispatch_group,dispatch_list/17/dispatch_prob,dispatch_list/18/dispatch_group,dispatch_list/18/dispatch_prob,dispatch_list/19/dispatch_group,dispatch_list/19/dispatch_prob
23201,Dispatch,1,Locale_System:DISPATCH_BOARD_LEVEL_1,3,10000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23202,Dispatch,2,Locale_System:DISPATCH_BOARD_LEVEL_2,3,10000,70,20000,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23203,Dispatch,3,Locale_System:DISPATCH_BOARD_LEVEL_3,3,10000,50,20000,30,30000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23204,Dispatch,4,Locale_System:DISPATCH_BOARD_LEVEL_4,3,10000,20,20000,30,30000,30,40000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23205,Dispatch,5,Locale_System:DISPATCH_BOARD_LEVEL_5,3,10000,15,20000,15,30000,50,40000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23206,Dispatch,6,Locale_System:DISPATCH_BOARD_LEVEL_6,3,25000,20,30000,30,40000,30,50000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23207,Dispatch,7,Locale_System:DISPATCH_BOARD_LEVEL_7,3,25000,15,30000,15,40000,50,50000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30001,DispatchCollection,1,Locale_System:DISPATCH_BOARD_LEVEL_7,3,61200,40,61300,20,62300,20,66200,10,66300,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30002,DispatchCollection,2,Locale_System:DISPATCH_BOARD_LEVEL_7,4,61200,40,61300,20,62300,20,66200,10,66300,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30003,DispatchCollection,3,Locale_System:DISPATCH_BOARD_LEVEL_7,4,61200,36,61300,16,62400,3,63400,1,64300,16,64400,4,65400,4,66200,9,66300,8,66400,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30004,DispatchCollection,4,Locale_System:DISPATCH_BOARD_LEVEL_7,4,61200,24,61300,18,62400,4,63400,2,64300,18,64400,7,65400,7,66200,8,66300,8,66400,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30005,DispatchCollection,5,Locale_System:DISPATCH_BOARD_LEVEL_7,4,61200,20,61300,16,62400,5,62500,2,63400,3,63500,1,64300,15,64400,7,65400,8,65500,3,66200,4,66300,8,66400,6,66500,2,0,0,0,0,0,0,0,0,0,0,0,0
30006,DispatchCollection,6,Locale_System:DISPATCH_BOARD_LEVEL_7,4,61200,15,61300,15,62400,6,62500,3,63400,4,63500,2,64300,15,64400,8,65400,8,65500,4,66200,3,66300,7,66400,7,66500,3,0,0,0,0,0,0,0,0,0,0,0,0
40001,DispatchFavorite,1,Locale_System:DISPATCH_BOARD_LEVEL_7,1,71000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
