id,resource_id
101,usertitle_simulationroombufflv5
102,usertitle_intercept_talkative
103,usertitle_intercept_blacksmith
104,usertitle_intercept_modernia
105,usertitle_intercept_gravedigger
106,usertitle_intercept_alteizen
201,usertitle_beautyfullshot
202,usertitle_juveniledays
203,usertitle_colorless
111,usertitle_anomalous_mirror
112,usertitle_anomalous_indivilia
113,usertitle_anomalous_ultra
114,usertitle_anomalous_kraken
115,usertitle_anomalous_harvester
121,usertitle_simulationroom_overclock_50
122,usertitle_simulationroom_overclock_infinite_fire
123,usertitle_simulationroom_overclock_infinite_water
124,usertitle_simulationroom_overclock_infinite_wind
125,usertitle_simulationroom_overclock_infinite_electronic
126,usertitle_simulationroom_overclock_infinite_iron
131,usertitle_melodiesofvictory
132,usertitle_1000days
204,usertitle_jinxplayer
205,usertitle_phantomthief
206,usertitle_lifeagain
207,usertitle_oldtales
208,usertitle_secretgarden
209,usertitle_icedragonsaga
210,usertitle_footstepwalkrun
211,usertitle_wisdomspring
212,usertitle_romanticvalentine
213,usertitle_forrest
214,usertitle_newflavor
215,usertitle_trueflavor
216,usertitle_unbreakablesphere
217,usertitle_arcanearchive
218,usertitle_lordforjustice
219,usertitle_overthehorizon
220,usertitle_boomtheghost
221,usertitle_absolute
222,usertitle_coinsinrush
