id,group_id,sector,difficulty,target_wave_preset_id
104020101,1040201,1,1,100101
104020102,1040201,2,2,100101
104020103,1040201,3,3,100101
104020104,1040201,4,4,100101
104020105,1040201,5,5,100101
104020106,1040201,6,6,100101
104020107,1040201,6,7,100101
104020108,1040201,6,8,100101
104020109,1040201,6,9,100101
104030101,1040301,1,1,100101
104030102,1040301,2,2,100101
104030103,1040301,3,3,100101
104030104,1040301,4,4,100101
104030105,1040301,5,5,100101
104030106,1040301,6,6,100101
104030107,1040301,6,7,100101
104030108,1040301,6,8,100101
104030109,1040301,6,9,100101
204030101,2040301,1,1,100101
204030102,2040301,2,2,100101
204030103,2040301,3,3,100101
204030104,2040301,4,4,100101
204030105,2040301,5,5,100101
204030106,2040301,6,6,100101
205010101,2050101,1,1,100101
205010102,2050101,2,2,100101
205010103,2050101,3,3,100101
205010104,2050101,4,4,100101
205010105,2050101,5,5,100101
205010106,2050101,6,6,100101
9999901,99999,1,1,100101
9999902,99999,2,2,100101
9999903,99999,3,3,100101
9999904,99999,4,4,100101
