id,group_id,note_set_1,note_set_2,note_set_3,perfect_condition_point,great_condition_point,good_condition_point,additional_point,perfect_get_point,perfect_get_hp,great_get_point,great_get_hp,good_get_point,good_get_hp,start_idle_count,timing_bar_move_time,end_idle_count,ratio
100101,1001,110101,110101,0,100,100,0,100,100,20,100,20,100,20,2,170,0,2000
100102,1001,120101,0,0,100,100,0,100,100,20,100,20,100,20,2,170,0,2000
100103,1001,130101,130102,0,100,100,0,100,100,20,100,20,100,20,2,170,0,2000
100104,1001,140101,140102,140103,350,200,0,100,100,20,100,20,100,20,2,160,0,2000
100105,1001,150101,150102,150103,350,200,0,100,100,20,100,20,100,20,2,160,0,2000
200101,2001,210101,210102,0,100,100,0,100,100,20,100,20,100,20,2,170,0,1500
200102,2001,220101,220102,0,100,100,0,100,100,20,100,20,100,20,2,170,0,1500
200103,2001,230101,230102,230103,350,200,0,100,100,50,100,50,100,50,2,160,0,2000
200104,2001,240101,240102,240103,350,200,0,100,100,50,100,50,100,50,2,160,0,2000
200105,2001,250101,250102,250103,350,200,0,100,100,50,100,50,100,50,2,160,0,2000
300101,3001,310101,310102,310103,350,200,0,100,100,50,100,50,100,50,2,160,0,2500
300102,3001,320101,320102,320103,350,200,0,100,100,50,100,50,100,50,2,160,0,2500
300103,3001,330101,330102,330103,500,350,0,100,100,50,100,50,100,50,2,150,0,2500
300104,3001,340101,340102,340103,500,350,0,100,100,50,100,50,100,50,2,150,0,2500
