id,probability_group,level_min,level_max,need_item_id,need_item_count,exp,great_success_rate,great_success_level
1100,100,0,0,7150001,10,200,1760,5
1101,100,1,1,7150001,10,200,2080,5
1102,100,2,2,7150001,10,200,2400,5
1103,100,3,3,7150001,10,200,2720,5
1104,100,4,4,7150001,10,200,4000,5
1105,100,5,5,7150001,10,200,1600,10
1106,100,6,6,7150001,10,200,1920,10
1107,100,7,7,7150001,10,200,2240,10
1108,100,8,8,7150001,10,200,2720,10
1109,100,9,9,7150001,10,200,4000,10
1110,100,10,10,7150001,10,200,1440,15
1111,100,11,11,7150001,10,200,1760,15
1112,100,12,12,7150001,10,200,2240,15
1113,100,13,13,7150001,10,200,2720,15
1114,100,14,14,7150001,10,200,4000,15
1200,100,0,0,7150002,10,500,5500,5
1201,100,1,1,7150002,10,500,6500,5
1202,100,2,2,7150002,10,500,7500,5
1203,100,3,3,7150002,10,500,8500,5
1204,100,4,4,7150002,10,500,10000,5
1205,100,5,5,7150002,10,500,5000,10
1206,100,6,6,7150002,10,500,6000,10
1207,100,7,7,7150002,10,500,7000,10
1208,100,8,8,7150002,10,500,8500,10
1209,100,9,9,7150002,10,500,10000,10
1210,100,10,10,7150002,10,500,4500,15
1211,100,11,11,7150002,10,500,5500,15
1212,100,12,12,7150002,10,500,7000,15
1213,100,13,13,7150002,10,500,8500,15
1214,100,14,14,7150002,10,500,10000,15
1300,100,0,0,7150003,10,1000,10000,5
1301,100,1,1,7150003,10,1000,10000,5
1302,100,2,2,7150003,10,1000,10000,5
1303,100,3,3,7150003,10,1000,10000,5
1304,100,4,4,7150003,10,1000,10000,5
1305,100,5,5,7150003,10,1000,10000,10
1306,100,6,6,7150003,10,1000,10000,10
1307,100,7,7,7150003,10,1000,10000,10
1308,100,8,8,7150003,10,1000,10000,10
1309,100,9,9,7150003,10,1000,10000,10
1310,100,10,10,7150003,10,1000,10000,15
1311,100,11,11,7150003,10,1000,10000,15
1312,100,12,12,7150003,10,1000,10000,15
1313,100,13,13,7150003,10,1000,10000,15
1314,100,14,14,7150003,10,1000,10000,15
2100,200,0,0,7150001,10,200,360,5
2101,200,1,1,7150001,10,200,590,5
2102,200,2,2,7150001,10,200,780,5
2103,200,3,3,7150001,10,200,1130,5
2104,200,4,4,7150001,10,200,1500,5
2105,200,5,5,7150001,10,200,220,10
2106,200,6,6,7150001,10,200,330,10
2107,200,7,7,7150001,10,200,490,10
2108,200,8,8,7150001,10,200,760,10
2109,200,9,9,7150001,10,200,1250,10
2110,200,10,10,7150001,10,200,120,15
2111,200,11,11,7150001,10,200,220,15
2112,200,12,12,7150001,10,200,310,15
2113,200,13,13,7150001,10,200,470,15
2114,200,14,14,7150001,10,200,1000,15
2200,200,0,0,7150002,10,500,1100,5
2201,200,1,1,7150002,10,500,1980,5
2202,200,2,2,7150002,10,500,2870,5
2203,200,3,3,7150002,10,500,4130,5
2204,200,4,4,7150002,10,500,5500,5
2205,200,5,5,7150002,10,500,800,10
2206,200,6,6,7150002,10,500,1200,10
2207,200,7,7,7150002,10,500,1800,10
2208,200,8,8,7150002,10,500,2800,10
2209,200,9,9,7150002,10,500,5000,10
2210,200,10,10,7150002,10,500,540,15
2211,200,11,11,7150002,10,500,990,15
2212,200,12,12,7150002,10,500,1440,15
2213,200,13,13,7150002,10,500,2160,15
2214,200,14,14,7150002,10,500,4500,15
2300,200,0,0,7150003,10,1000,2500,5
2301,200,1,1,7150003,10,1000,4000,5
2302,200,2,2,7150003,10,1000,5500,5
2303,200,3,3,7150003,10,1000,7500,5
2304,200,4,4,7150003,10,1000,10000,5
2305,200,5,5,7150003,10,1000,2000,10
2306,200,6,6,7150003,10,1000,3000,10
2307,200,7,7,7150003,10,1000,4500,10
2308,200,8,8,7150003,10,1000,7000,10
2309,200,9,9,7150003,10,1000,10000,10
2310,200,10,10,7150003,10,1000,1500,15
2311,200,11,11,7150003,10,1000,2750,15
2312,200,12,12,7150003,10,1000,4000,15
2313,200,13,13,7150003,10,1000,6000,15
2314,200,14,14,7150003,10,1000,10000,15
50201,5020,0,0,7150102,50,0,0,0
50202,5020,1,1,7150102,110,0,0,0
50031,5003,0,0,7150104,50,0,0,0
50032,5003,1,1,7150104,110,0,0,0
50101,5010,0,0,7150103,50,0,0,0
50102,5010,1,1,7150103,110,0,0,0
10101,1010,0,0,7150105,50,0,0,0
10102,1010,1,1,7150105,110,0,0,0
10221,1022,0,0,7150106,50,0,0,0
10222,1022,1,1,7150106,110,0,0,0
50171,5017,0,0,7150107,50,0,0,0
50172,5017,1,1,7150107,110,0,0,0
50661,5066,0,0,7150108,50,0,0,0
50662,5066,1,1,7150108,110,0,0,0
50241,5024,0,0,7150109,50,0,0,0
50242,5024,1,1,7150109,110,0,0,0
50281,5028,0,0,7150110,50,0,0,0
50282,5028,1,1,7150110,110,0,0,0
50161,5016,0,0,7150111,50,0,0,0
50162,5016,1,1,7150111,110,0,0,0
50811,5081,0,0,7150112,50,0,0,0
50812,5081,1,1,7150112,110,0,0,0
50141,5014,0,0,7150113,50,0,0,0
50142,5014,1,1,7150113,110,0,0,0
51111,5111,0,0,7150114,50,0,0,0
51112,5111,1,1,7150114,110,0,0,0
