id,manager_id,stage_difficulty,stage_level,button_localkey,name_localkey,description_localkey,resource_id,stage_prefab,main_camera,enemy_camera,battle_action_zoom_in_fov,out_quad_time,ce004_open_condition_type_group_data/0/open_condition_type,ce004_open_condition_type_group_data/0/open_condition_value,ce004_open_condition_type_group_data/1/open_condition_type,ce004_open_condition_type_group_data/1/open_condition_value,monster_spawn_position,spawn_monster_id,spawn_monster_scale,clear_reward_count,delay_time,hint_time,battle_time,burst_time,time_group,seed_type,seed_group,help_tip_id,skill_position_group
101,101,Easy,1,Locale_Event:ce004_stage_button_name_01,Locale_Event:ce004_stage_name_mma001,Locale_Event:ce004_stage_monster_desc_mma001,ce004_monster_mma001,fmbg_simulation_001,main_camera_grd,enemy_camera_grd,32,3000,None,0,None,0,MonsterSpawner,101,7000,2,5000,25000,10000,20000,0,Order,101,10021,101
102,101,Easy,2,Locale_Event:ce004_stage_button_name_02,Locale_Event:ce004_stage_name_mmg005,Locale_Event:ce004_stage_monster_desc_mmg005,ce004_monster_mmg005,fmbg_simulation_001,main_camera_grd,enemy_camera_grd,32,3000,EventCE004MiniGameDataClear,101,None,0,MonsterSpawner,102,17000,2,5000,25000,10000,20000,0,Order,102,10021,102
103,101,Easy,3,Locale_Event:ce004_stage_button_name_03,Locale_Event:ce004_stage_name_bma002,Locale_Event:ce004_stage_monster_desc_bma002,ce004_monster_bma002,fmbg_simulation_001,main_camera_grd,enemy_camera_grd,32,3000,EventCE004MiniGameDataClear,102,None,0,MonsterSpawner,103,14000,2,5000,25000,10000,20000,0,Order,103,10021,103
104,101,Easy,4,Locale_Event:ce004_stage_button_name_04,Locale_Event:ce004_stage_name_mma001,Locale_Event:ce004_stage_monster_desc_mma001,ce004_monster_mma001,fmbg_simulation_001,main_camera_grd,enemy_camera_grd,32,3000,EventCE004MiniGameDataClear,103,None,0,MonsterSpawner,104,7000,2,5000,25000,10000,20000,0,Order,104,10021,104
105,101,Easy,5,Locale_Event:ce004_stage_button_name_05,Locale_Event:ce004_stage_name_mmg005,Locale_Event:ce004_stage_monster_desc_mmg005,ce004_monster_mmg005,fmbg_simulation_001,main_camera_grd,enemy_camera_grd,32,3000,EventCE004MiniGameDataClear,104,None,0,MonsterSpawner,105,17000,2,5000,25000,10000,20000,0,Order,101,10021,105
106,101,Easy,6,Locale_Event:ce004_stage_button_name_06,Locale_Event:ce004_stage_name_bma002,Locale_Event:ce004_stage_monster_desc_bma002,ce004_monster_bma002,fmbg_simulation_001,main_camera_grd,enemy_camera_grd,32,3000,EventCE004MiniGameDataClear,105,None,0,MonsterSpawner,106,14000,2,5000,25000,10000,20000,0,Order,102,10021,106
107,101,Easy,7,Locale_Event:ce004_stage_button_name_07,Locale_Event:ce004_stage_name_bca001,Locale_Event:ce004_stage_monster_desc_bca001,ce004_monster_bca001,fmbg_simulation_001,main_camera_fly,enemy_camera_fly,32,3000,EventCE004MiniGameDataClear,106,None,0,MonsterSpawner,107,7000,3,5000,25000,10000,20000,0,Order,103,10021,107
201,101,Normal,1,Locale_Event:ce004_stage_button_name_01,Locale_Event:ce004_stage_name_meg006,Locale_Event:ce004_stage_monster_desc_meg006,ce004_monster_meg006,fmbg_simulation_001,main_camera_grd,enemy_camera_grd,32,3000,EventCE004MiniGameDataClear,107,EventDay,8,MonsterSpawner,201,15000,2,5000,25000,10000,20000,0,Order,201,10022,201
202,101,Normal,2,Locale_Event:ce004_stage_button_name_02,Locale_Event:ce004_stage_name_eea002,Locale_Event:ce004_stage_monster_desc_eea002,ce004_monster_eea002,fmbg_simulation_001,main_camera_grd,enemy_camera_grd,32,3000,EventCE004MiniGameDataClear,201,EventDay,8,MonsterSpawner,202,10000,2,5000,25000,10000,20000,0,Order,202,10022,202
203,101,Normal,3,Locale_Event:ce004_stage_button_name_03,Locale_Event:ce004_stage_name_bea001,Locale_Event:ce004_stage_monster_desc_bea001,ce004_monster_bea001,fmbg_simulation_001,main_camera_grd,enemy_camera_grd,32,3000,EventCE004MiniGameDataClear,202,EventDay,8,MonsterSpawner,203,18000,2,5000,25000,10000,20000,0,Random,213,10022,203
