id,effect_type,strengthen_size
101,Mecha_attack,120
102,Mecha_attack,20
103,Mecha_attack,25
104,Mecha_attack,30
105,Mecha_attack,25
106,Mecha_attack,25
107,Mecha_attack,25
201,Hp,7
202,Hp,1
203,Hp,1
204,Hp,1
301,Pick_range,3
302,Pick_range,1
303,Pick_range,1
304,Pick_range,1
401,Ultimate_skill,1
402,Ultimate_skill,1
403,Ultimate_skill,1
501,Danmaku,1
502,Danmaku,1
503,Danmaku,1
601,Display,1
602,Display,1
603,Display,1
701,Wingman_attack,95
702,Wingman_attack,25
703,Wingman_attack,30
704,Wingman_attack,30
705,Wingman_attack,30
706,Wingman_attack,30
