id,theme,object_type,order,random_group,object_resource,object_thumbnail_resource,layer_group
101001,CityForest,Blocking,1,mountain_group,fsbg_object_cityforest_blocking_01_01,fsbg_object_cityforest_blocking_01_01_thumbnail,1
101002,CityForest,Blocking,2,mountain_group,fsbg_object_cityforest_blocking_01_02,fsbg_object_cityforest_blocking_01_02_thumbnail,1
101011,CityForest,Blocking,3,mountain_group,fsbg_object_cityforest_blocking_01_03,fsbg_object_cityforest_blocking_01_03_thumbnail,1
101012,CityForest,Blocking,4,mountain_group,fsbg_object_cityforest_blocking_01_04,fsbg_object_cityforest_blocking_01_04_thumbnail,1
101013,CityForest,Blocking,5,mountain_group,fsbg_object_cityforest_blocking_01_05,fsbg_object_cityforest_blocking_01_05_thumbnail,1
101003,CityForest,Blocking,6,forest_group,fsbg_object_cityforest_blocking_02_01,fsbg_object_cityforest_blocking_02_01_thumbnail,1
101004,CityForest,Blocking,7,forest_group,fsbg_object_cityforest_blocking_02_02,fsbg_object_cityforest_blocking_02_02_thumbnail,1
101005,CityForest,Blocking,8,supply_stuff_group,fsbg_object_cityforest_blocking_03_01,fsbg_object_cityforest_blocking_03_01_thumbnail,1
101010,CityForest,Blocking,9,supply_stuff_group,fsbg_object_cityforest_blocking_03_02,fsbg_object_cityforest_blocking_03_02_thumbnail,1
101006,CityForest,Blocking,10,huge_rock_group,fsbg_object_cityforest_blocking_04_01,fsbg_object_cityforest_blocking_04_01_thumbnail,1
101007,CityForest,Blocking,11,huge_rock_group,fsbg_object_cityforest_blocking_04_02,fsbg_object_cityforest_blocking_04_02_thumbnail,1
101008,CityForest,Blocking,12,huge_rock_group,fsbg_object_cityforest_blocking_04_03,fsbg_object_cityforest_blocking_04_03_thumbnail,1
101009,CityForest,Blocking,13,wall_group,fsbg_object_cityforest_blocking_05_01,fsbg_object_cityforest_blocking_05_01_thumbnail,1
101014,CityForest,Blocking,14,wall_pillar_group,fsbg_object_cityforest_blocking_05_02,fsbg_object_cityforest_blocking_05_02_thumbnail,1
101015,CityForest,Blocking,15,city_ruined_group,fsbg_object_cityforest_blocking_06_01,fsbg_object_cityforest_blocking_06_01_thumbnail,1
101016,CityForest,Blocking,16,city_ruined_group,fsbg_object_cityforest_blocking_06_02,fsbg_object_cityforest_blocking_06_02_thumbnail,1
101017,CityForest,Blocking,17,city_ruined_group,fsbg_object_cityforest_blocking_06_03,fsbg_object_cityforest_blocking_06_03_thumbnail,1
101018,CityForest,Blocking,18,city_ruined_group,fsbg_object_cityforest_blocking_06_04,fsbg_object_cityforest_blocking_06_04_thumbnail,1
101019,CityForest,Blocking,19,city_ruined_group,fsbg_object_cityforest_blocking_06_05,fsbg_object_cityforest_blocking_06_05_thumbnail,1
101020,CityForest,Blocking,20,city_ruined_group,fsbg_object_cityforest_blocking_06_06,fsbg_object_cityforest_blocking_06_06_thumbnail,1
101021,CityForest,Blocking,21,city_ruined_group,fsbg_object_cityforest_blocking_06_07,fsbg_object_cityforest_blocking_06_07_thumbnail,1
101022,CityForest,Blocking,22,city_ruined_group,fsbg_object_cityforest_blocking_06_08,fsbg_object_cityforest_blocking_06_08_thumbnail,1
101023,CityForest,Blocking,23,city_ruined_fx_group,fsbg_object_cityforest_blocking_07_01,fsbg_object_cityforest_blocking_07_01_thumbnail,1
101024,CityForest,Blocking,24,city_ruined_fx_group,fsbg_object_cityforest_blocking_07_02,fsbg_object_cityforest_blocking_07_02_thumbnail,1
101025,CityForest,Blocking,25,city_ruined_fx_group,fsbg_object_cityforest_blocking_07_03,fsbg_object_cityforest_blocking_07_03_thumbnail,1
101026,CityForest,Blocking,26,city_ruined_fx_group,fsbg_object_cityforest_blocking_07_04,fsbg_object_cityforest_blocking_07_04_thumbnail,1
101027,CityForest,Blocking,27,city_ruined_fx_group,fsbg_object_cityforest_blocking_07_05,fsbg_object_cityforest_blocking_07_05_thumbnail,1
101028,CityForest,Blocking,28,city_ruined_fx_group,fsbg_object_cityforest_blocking_07_06,fsbg_object_cityforest_blocking_07_06_thumbnail,1
101029,CityForest,Blocking,29,city_ruined_fx_group,fsbg_object_cityforest_blocking_07_07,fsbg_object_cityforest_blocking_07_07_thumbnail,1
101030,CityForest,Blocking,30,city_ruined_fx_group,fsbg_object_cityforest_blocking_07_08,fsbg_object_cityforest_blocking_07_08_thumbnail,1
102001,CityForest,Decoration,1,flower_group,fsbg_object_cityforest_decoration_01_01,fsbg_object_cityforest_decoration_01_01_thumbnail,2
102002,CityForest,Decoration,2,small_rock_group,fsbg_object_cityforest_decoration_02_01,fsbg_object_cityforest_decoration_02_01_thumbnail,2
102003,CityForest,Decoration,3,small_rock_group,fsbg_object_cityforest_decoration_02_02,fsbg_object_cityforest_decoration_02_02_thumbnail,2
102004,CityForest,Decoration,4,red_flower_group,fsbg_object_cityforest_decoration_03_01,fsbg_object_cityforest_decoration_03_01_thumbnail,2
102005,CityForest,Decoration,5,red_flower_group,fsbg_object_cityforest_decoration_03_02,fsbg_object_cityforest_decoration_03_02_thumbnail,2
102006,CityForest,Decoration,6,red_flower_group,fsbg_object_cityforest_decoration_03_03,fsbg_object_cityforest_decoration_03_03_thumbnail,2
102007,CityForest,Decoration,7,red_flower_group,fsbg_object_cityforest_decoration_03_04,fsbg_object_cityforest_decoration_03_04_thumbnail,2
102008,CityForest,Decoration,8,red_flower_group,fsbg_object_cityforest_decoration_03_05,fsbg_object_cityforest_decoration_03_05_thumbnail,2
102009,CityForest,Decoration,9,white_flower_group,fsbg_object_cityforest_decoration_04_01,fsbg_object_cityforest_decoration_04_01_thumbnail,2
102010,CityForest,Decoration,10,white_flower_group,fsbg_object_cityforest_decoration_04_02,fsbg_object_cityforest_decoration_04_02_thumbnail,2
102011,CityForest,Decoration,11,white_flower_group,fsbg_object_cityforest_decoration_04_03,fsbg_object_cityforest_decoration_04_03_thumbnail,2
102012,CityForest,Decoration,12,white_flower_group,fsbg_object_cityforest_decoration_04_04,fsbg_object_cityforest_decoration_04_04_thumbnail,2
102013,CityForest,Decoration,13,white_flower_group,fsbg_object_cityforest_decoration_04_05,fsbg_object_cityforest_decoration_04_05_thumbnail,2
102014,CityForest,Decoration,14,blue_flower_group,fsbg_object_cityforest_decoration_05_01,fsbg_object_cityforest_decoration_05_01_thumbnail,2
102015,CityForest,Decoration,15,blue_flower_group,fsbg_object_cityforest_decoration_05_02,fsbg_object_cityforest_decoration_05_02_thumbnail,2
102016,CityForest,Decoration,16,blue_flower_group,fsbg_object_cityforest_decoration_05_03,fsbg_object_cityforest_decoration_05_03_thumbnail,2
102017,CityForest,Decoration,17,blue_flower_group,fsbg_object_cityforest_decoration_05_04,fsbg_object_cityforest_decoration_05_04_thumbnail,2
102018,CityForest,Decoration,18,blue_flower_group,fsbg_object_cityforest_decoration_05_05,fsbg_object_cityforest_decoration_05_05_thumbnail,2
