id,stage_id,start_condition_type,start_condition_value,start_delay,cinematic_type,cinematic_type_value,tower_spawn_delay,timeline_action_start_frame,timeline_action_end_frame,is_loop_action
100101,100107,WaveStart,100110703,1200,TimeLineAction,timeline_tdbg_grassland_003_talkative_main,0,0,77,False
100102,100107,AfterCinematic,100101,0,TimeLineAction,timeline_tdbg_grassland_003_talkative_main,0,78,313,True
100103,100107,WaveStart,100110709,0,TimeLineAction,timeline_tdbg_grassland_003_talkative_main,0,314,380,False
100104,100107,AfterDialog,10010703,1300,SpawnTowerGroup,1,50,0,0,False
100105,100110,AfterDialog,10011003,0,TimeLineAction,timeline_tdbg_grassland_004_castlebreak_main,0,0,39,False
100106,100110,AfterDialog,10011004,0,TimeLineAction,timeline_tdbg_grassland_004_castlebreak_main,0,40,151,False
100107,100116,WaveStart,100111605,1800,TimeLineAction,timeline_tdbg_oldcastle_001_castlebreak_main,0,58,490,False
100201,100201,WaveStart,100210103,1000,TimeLineAction,mmshifty_cinematic_scene_01,0,30,2354,False
100204,100201,WaveStart,100210105,2000,TimeLineAction,mmshifty_cinematic_scene_02,0,1,155,False
100205,100201,WaveStart,100210106,1000,TimeLineAction,mmshifty_cinematic_scene_02,0,155,155,True
100206,100201,WaveStart,100210108,7500,TimeLineAction,mmshifty_cinematic_scene_03,0,1,178,False
100207,100201,WaveStart,100210109,1000,SpawnTowerGroup,2,10,0,0,False
100208,100201,AfterDialog,10020105,150,TimeLineAction,mmshifty_cinematic_scene_04,0,1,100,False
100209,100201,AfterDialog,10020106,0,TimeLineAction,mmshifty_cinematic_scene_04,0,101,381,False
100210,100201,AfterDialog,10020107,0,TimeLineAction,mmshifty_cinematic_scene_04,0,382,809,False
