id,event_quest_manager_id,condition_type,condition_value,name_localkey,description_localkey,next_quest_id,end_scenario_id,reward_id
1000101,10001,Outpost_Select,22401.0,Locale_SubQuest:EVENT_QUEST_NAME_1000101,Locale_SubQuest:EVENT_QUEST_DESC_1000101,1000102,event_fullfoolday_01,1320001
1000102,10001,Normal_Chapter_View,3.0,Locale_SubQuest:EVENT_QUEST_NAME_1000102,Locale_SubQuest:EVENT_QUEST_DESC_1000102,1000103,event_fullfoolday_02,1320002
1000103,10001,EventQuest_Stage_Clear,6600101.0,Locale_SubQuest:EVENT_QUEST_NAME_1000103,Locale_SubQuest:EVENT_QUEST_DESC_1000103,1000104,event_fullfoolday_04,1320003
1000104,10001,Normal_Chapter_View,4.0,Locale_SubQuest:EVENT_QUEST_NAME_1000104,Locale_SubQuest:EVENT_QUEST_DESC_1000104,1000105,,1320004
1000105,10001,EventQuest_Stage_Group_Clear,100102.0,Locale_SubQuest:EVENT_QUEST_NAME_1000105,Locale_SubQuest:EVENT_QUEST_DESC_1000105,1000106,event_fullfoolday_05,1320005
1000106,10001,Lobby_Enter,0.0,Locale_SubQuest:EVENT_QUEST_NAME_1000106,Locale_SubQuest:EVENT_QUEST_DESC_1000106,1000107,event_fullfoolday_06,1320006
1000107,10001,Outpost_View,0.0,Locale_SubQuest:EVENT_QUEST_NAME_1000107,Locale_SubQuest:EVENT_QUEST_DESC_1000107,1000108,event_fullfoolday_07,1320007
1000108,10001,Outpost_Select,10501.0,Locale_SubQuest:EVENT_QUEST_NAME_1000108,Locale_SubQuest:EVENT_QUEST_DESC_1000108,1000109,event_fullfoolday_08,1320008
1000109,10001,Outpost_Select,10401.0,Locale_SubQuest:EVENT_QUEST_NAME_1000109,Locale_SubQuest:EVENT_QUEST_DESC_1000109,1000110,event_fullfoolday_09,1320009
1000110,10001,Outpost_Select,10201.0,Locale_SubQuest:EVENT_QUEST_NAME_1000110,Locale_SubQuest:EVENT_QUEST_DESC_1000110,1000111,event_fullfoolday_10,1320010
1000111,10001,Outpost_Select,10301.0,Locale_SubQuest:EVENT_QUEST_NAME_1000111,Locale_SubQuest:EVENT_QUEST_DESC_1000111,1000112,event_fullfoolday_11,1320011
1000112,10001,Outpost_Select,22401.0,Locale_SubQuest:EVENT_QUEST_NAME_1000112,Locale_SubQuest:EVENT_QUEST_DESC_1000112,1000113,event_fullfoolday_end,1320012
1000113,10001,End,,Locale_SubQuest:EVENT_QUEST_NAME_1000113,Locale_SubQuest:EVENT_QUEST_DESC_1000113,0,,0
1000201,10002,Outpost_Select,22401.0,Locale_SubQuest:EVENT_QUEST_NAME_1000201,Locale_SubQuest:EVENT_QUEST_DESC_1000201,1000202,event_firstaffection_01,1320101
1000202,10002,Outpost_Select,10201.0,Locale_SubQuest:EVENT_QUEST_NAME_1000202,Locale_SubQuest:EVENT_QUEST_DESC_1000202,1000203,event_firstaffection_02,1320102
1000203,10002,Outpost_Select,22401.0,Locale_SubQuest:EVENT_QUEST_NAME_1000203,Locale_SubQuest:EVENT_QUEST_DESC_1000203,1000204,event_firstaffection_03,1320103
1000204,10002,Outpost_Select,10501.0,Locale_SubQuest:EVENT_QUEST_NAME_1000204,Locale_SubQuest:EVENT_QUEST_DESC_1000204,1000205,event_firstaffection_04,1320104
1000205,10002,Outpost_Select,22401.0,Locale_SubQuest:EVENT_QUEST_NAME_1000205,Locale_SubQuest:EVENT_QUEST_DESC_1000205,1000206,event_firstaffection_05,1320105
1000206,10002,Normal_Chapter_View,4.0,Locale_SubQuest:EVENT_QUEST_NAME_1000206,Locale_SubQuest:EVENT_QUEST_DESC_1000206,1000207,event_firstaffection_06,1320106
1000207,10002,EventQuest_Stage_Clear,6600201.0,Locale_SubQuest:EVENT_QUEST_NAME_1000207,Locale_SubQuest:EVENT_QUEST_DESC_1000207,1000208,,1320107
1000208,10002,Normal_Chapter_View,5.0,Locale_SubQuest:EVENT_QUEST_NAME_1000208,Locale_SubQuest:EVENT_QUEST_DESC_1000208,1000209,,1320108
1000209,10002,EventQuest_Stage_Group_Clear,100201.0,Locale_SubQuest:EVENT_QUEST_NAME_1000209,Locale_SubQuest:EVENT_QUEST_DESC_1000209,1000210,,1320109
