id,time_limit,pattern_speed,pattern_term,pattern_normal_id,pattern_left_appearance_probability,pattern_right_appearance_probability,pattern_special_id,special_pattern_appearance_ratio,special_pattern_left_use,special_pattern_right_use,special_pattern_up_use,special_pattern_down_use,pattern_up_appearance_probability,pattern_down_appearance_probability
1,30,5800,75,1,5000.0,5000.0,2,100,True,False,False,False,,
2,30,6500,75,1,5000.0,5000.0,2,1000,True,False,False,False,,
3,25,7000,60,1,4500.0,4500.0,2,1000,True,False,False,False,1000.0,
4,25,7000,60,1,4500.0,4500.0,2,1000,True,True,False,False,,1000.0
5,25,8000,50,1,3300.0,3300.0,2,1000,True,True,True,False,3400.0,
6,20,8000,50,1,2500.0,2500.0,2,1000,True,False,False,False,2500.0,2500.0
7,20,8500,50,1,2500.0,2500.0,2,2000,True,True,False,False,2500.0,2500.0
8,20,8500,50,1,2500.0,2500.0,2,3000,True,True,True,False,2500.0,2500.0
9,20,8800,50,1,2500.0,2500.0,2,3500,True,True,True,True,2500.0,2500.0
10,20,8800,50,1,5000.0,5000.0,2,3500,True,True,False,False,,
11,20,6600,50,1,2500.0,2500.0,2,2500,True,True,True,True,2500.0,2500.0
12,20,8800,50,1,,,2,3000,False,False,True,False,5000.0,5000.0
