id,custom_group_id,slot_number,product_type,product_id,product_value
20340101,203401,1,Item,9301002,25
20340102,203401,1,Item,9110001,150
20340103,203401,1,Item,9120001,50
20340104,203401,1,Item,9140001,50
20340105,203401,2,Item,7091002,140
20340106,203401,2,Item,7092002,70
20340107,203401,2,Item,7091001,200
20340108,203401,2,Item,7092001,100
20340201,203402,1,Item,9402073,200
20340202,203402,1,Item,9301002,50
20340203,203402,1,Item,9110001,300
20340204,203402,1,Item,9120001,100
20340205,203402,1,Item,9140001,100
20340206,203402,2,Item,7080001,2
20340207,203402,2,Item,7091002,180
20340208,203402,2,Item,7092002,90
20340209,203402,2,Item,7091001,250
20340210,203402,2,Item,7092001,125
20340211,203402,3,Item,7091003,100
20340212,203402,3,Item,7092003,50
20340213,203402,3,Item,7091002,250
20340214,203402,3,Item,7092002,125
20340215,203402,3,Item,7091001,360
20340216,203402,3,Item,7092001,180
20340301,203403,1,Item,9402073,200
20340302,203403,1,Item,9301002,50
20340303,203403,1,Item,9110001,300
20340304,203403,1,Item,9120001,100
20340305,203403,1,Item,9140001,100
20340306,203403,2,Item,7080001,3
20340307,203403,2,Item,7091002,220
20340308,203403,2,Item,7092002,110
20340309,203403,2,Item,7091001,300
20340310,203403,2,Item,7092001,150
20340311,203403,3,Item,7091003,100
20340312,203403,3,Item,7092003,50
20340313,203403,3,Item,7091002,250
20340314,203403,3,Item,7092002,125
20340315,203403,3,Item,7091001,360
20340316,203403,3,Item,7092001,180
20340317,203403,4,Currency,5100,30
20340318,203403,4,Item,9210002,1
20360101,203601,1,Item,9301002,25
20360102,203601,1,Item,9110001,150
20360103,203601,1,Item,9120001,50
20360104,203601,1,Item,9140001,50
20360105,203601,2,Item,7091002,140
20360106,203601,2,Item,7092002,70
20360107,203601,2,Item,7091001,200
20360108,203601,2,Item,7092001,100
20360201,203602,1,Item,9402073,200
20360202,203602,1,Item,9301002,50
20360203,203602,1,Item,9110001,300
20360204,203602,1,Item,9120001,100
20360205,203602,1,Item,9140001,100
20360206,203602,2,Item,7080001,2
20360207,203602,2,Item,7091002,180
20360208,203602,2,Item,7092002,90
20360209,203602,2,Item,7091001,250
20360210,203602,2,Item,7092001,125
20360211,203602,3,Item,7091003,100
20360212,203602,3,Item,7092003,50
20360213,203602,3,Item,7091002,250
20360214,203602,3,Item,7092002,125
20360215,203602,3,Item,7091001,360
20360216,203602,3,Item,7092001,180
20360301,203603,1,Item,9402073,200
20360302,203603,1,Item,9301002,50
20360303,203603,1,Item,9110001,300
20360304,203603,1,Item,9120001,100
20360305,203603,1,Item,9140001,100
20360306,203603,2,Item,7080001,3
20360307,203603,2,Item,7091002,220
20360308,203603,2,Item,7092002,110
20360309,203603,2,Item,7091001,300
20360310,203603,2,Item,7092001,150
20360311,203603,3,Item,7091003,100
20360312,203603,3,Item,7092003,50
20360313,203603,3,Item,7091002,250
20360314,203603,3,Item,7092002,125
20360315,203603,3,Item,7091001,360
20360316,203603,3,Item,7092001,180
20360317,203603,4,Currency,5100,30
20360318,203603,4,Item,9210002,1
20720101,207201,1,Item,7091002,140
20720102,207201,1,Item,7092002,70
20720103,207201,1,Item,7091001,200
20720104,207201,1,Item,7092001,100
20720105,207201,1,Item,9140001,60
20720106,207201,1,Item,9120001,60
20720107,207201,1,Item,9110001,180
20720108,207201,2,Item,7091002,140
20720109,207201,2,Item,7092002,70
20720110,207201,2,Item,7091001,200
20720111,207201,2,Item,7092001,100
20720112,207201,2,Item,9140001,60
20720113,207201,2,Item,9120001,60
20720114,207201,2,Item,9110001,180
20720201,207202,1,Item,9402073,200
20720202,207202,1,Item,7091001,300
20720203,207202,1,Item,7092001,150
20720204,207202,1,Item,9140001,100
20720205,207202,1,Item,9120001,100
20720206,207202,1,Item,9110001,300
20720207,207202,2,Item,7080001,2
20720208,207202,2,Item,7091003,80
20720209,207202,2,Item,7092003,40
20720210,207202,2,Item,7091002,200
20720211,207202,2,Item,7092002,100
20720212,207202,3,Item,7091003,100
20720213,207202,3,Item,7092003,50
20720214,207202,3,Item,7091002,250
20720215,207202,3,Item,7092002,125
20720216,207202,3,Item,7091001,360
20720217,207202,3,Item,7092001,180
20720301,207203,1,Item,9402073,200
20720302,207203,1,Item,7091001,300
20720303,207203,1,Item,7092001,150
20720304,207203,1,Item,9140001,100
20720305,207203,1,Item,9120001,100
20720306,207203,1,Item,9110001,300
20720307,207203,2,Item,7080001,3
20720308,207203,2,Item,7091003,88
20720309,207203,2,Item,7092003,44
20720310,207203,2,Item,7091002,220
20720311,207203,2,Item,7092002,110
20720312,207203,3,Item,7091003,100
20720313,207203,3,Item,7092003,50
20720314,207203,3,Item,7091002,250
20720315,207203,3,Item,7092002,125
20720316,207203,3,Item,7091001,360
20720317,207203,3,Item,7092001,180
20720318,207203,4,Currency,5100,30
20720319,207203,4,Item,9210002,1
20960101,209601,1,Item,7091002,180
20960102,209601,1,Item,7092002,90
20960103,209601,1,Item,7091001,240
20960104,209601,1,Item,7092001,120
20960105,209601,1,Item,9140001,80
20960106,209601,1,Item,9120001,80
20960107,209601,1,Item,9110001,240
20960108,209601,2,Item,7091002,180
20960109,209601,2,Item,7092002,90
20960110,209601,2,Item,7091001,240
20960111,209601,2,Item,7092001,120
20960112,209601,2,Item,9140001,80
20960113,209601,2,Item,9120001,80
20960114,209601,2,Item,9110001,240
20960201,209602,1,Item,7091003,90
20960202,209602,1,Item,7092003,45
20960203,209602,1,Item,7091002,220
20960204,209602,1,Item,7092002,110
20960205,209602,1,Item,9140001,100
20960206,209602,1,Item,9120001,100
20960207,209602,1,Item,9110001,300
20960208,209602,2,Item,7091003,90
20960209,209602,2,Item,7092003,45
20960210,209602,2,Item,7091002,220
20960211,209602,2,Item,7092002,110
20960212,209602,2,Item,9140001,100
20960213,209602,2,Item,9120001,100
20960214,209602,2,Item,9110001,300
20960215,209602,3,Item,9210002,1
20960216,209602,3,Item,7080001,5
20960301,209603,1,Item,7080001,4
20960302,209603,1,Item,9140001,100
20960303,209603,1,Item,9120001,100
20960304,209603,1,Item,9110001,300
20960305,209603,2,Item,7091003,100
20960306,209603,2,Item,7092003,50
20960307,209603,2,Item,7091002,250
20960308,209603,2,Item,7092002,125
20960309,209603,2,Item,7091001,360
20960310,209603,2,Item,7092001,180
20960311,209603,3,Item,7091003,100
20960312,209603,3,Item,7092003,50
20960313,209603,3,Item,7091002,250
20960314,209603,3,Item,7092002,125
20960315,209603,3,Item,7091001,360
20960316,209603,3,Item,7092001,180
20960317,209603,4,Item,9210003,1
20960318,209603,4,Currency,5100,30
21320101,213201,1,Item,7091001,120
21320102,213201,1,Item,7092001,90
21320103,213201,1,Item,9140001,40
21320104,213201,1,Item,9120001,40
21320105,213201,1,Item,9110001,120
21320106,213201,2,Item,7150001,50
21320107,213201,2,Item,7091002,90
21320108,213201,2,Item,7092002,45
21320109,213201,2,Item,9140001,40
21320110,213201,2,Item,9120001,40
21320111,213201,2,Item,9110001,120
21320112,213201,3,Item,7091002,180
21320113,213201,3,Item,7092002,90
21320114,213201,3,Item,7091001,240
21320115,213201,3,Item,7092001,120
21320116,213201,3,Item,9140001,80
21320117,213201,3,Item,9120001,80
21320118,213201,3,Item,9110001,240
21320201,213202,1,Item,7150002,15
21320202,213202,1,Item,7091002,110
21320203,213202,1,Item,7092002,55
21320204,213202,1,Item,9140001,50
21320205,213202,1,Item,9120001,50
21320206,213202,1,Item,9110001,150
21320207,213202,2,Item,7150003,10
21320208,213202,2,Item,7091003,45
21320209,213202,2,Item,7092003,25
21320210,213202,2,Item,9140001,50
21320211,213202,2,Item,9120001,50
21320212,213202,2,Item,9110001,150
21320213,213202,3,Item,7091003,90
21320214,213202,3,Item,7092003,45
21320215,213202,3,Item,7091002,220
21320216,213202,3,Item,7092002,110
21320217,213202,3,Item,9140001,100
21320218,213202,3,Item,9120001,100
21320219,213202,3,Item,9110001,300
21320220,213202,4,Item,9210002,1
21320221,213202,4,Item,7080001,5
21320301,213203,1,Item,7080001,4
21320302,213203,1,Item,7150002,25
21320303,213203,1,Item,7091002,250
21320304,213203,1,Item,7092002,125
21320305,213203,2,Item,7080001,4
21320306,213203,2,Item,7150003,20
21320307,213203,2,Item,7091003,100
21320308,213203,2,Item,7092003,50
21320309,213203,3,Item,7091003,100
21320310,213203,3,Item,7092003,50
21320311,213203,3,Item,7091002,250
21320312,213203,3,Item,7092002,125
21320313,213203,3,Item,7091001,360
21320314,213203,3,Item,7092001,180
21320315,213203,4,Item,9210003,1
21320316,213203,4,Currency,5100,30
