id,item_type,type_value,name_localkey,description_localkey,fielditem_prefab,obtain_contents,obtain_location,difficulty,obtain_scenario,is_final_reward,blueprint_id,spawn_time,despawn_time,is_archive_field_item,spawn_condition_stage,story_event_id,spawn_condition_item,spawn_condition_interaction_action_trigger,spawn_delay_interaction_action_trigger,is_use_hint
50001301,Memory,3300101,,,fx_f_hiddenitem,Campaign,1,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50001302,Memory,3300102,,,fx_f_hiddenitem,Campaign,1,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50001303,Memory,3300103,,,fx_f_hiddenitem,Campaign,1,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50002001,HiddenItem,3300201,,,fx_f_hiddenitem,Campaign,2,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50002301,Memory,3300202,,,fx_f_hiddenitem,Campaign,2,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50002302,Memory,3300203,,,fx_f_hiddenitem,Campaign,2,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50002303,Memory,3300204,,,fx_f_hiddenitem,Campaign,2,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50002304,Memory,3300205,,,fx_f_hiddenitem,Campaign,2,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50003001,HiddenItem,3300301,,,fx_f_hiddenitem_special,Campaign,3,Normal,,False,7035001,0,-207705728,False,0,0,0,0,0,True
50003002,HiddenItem,3300302,,,fx_f_hiddenitem_special,Campaign,3,Normal,,False,7035002,0,-207705728,False,0,0,0,0,0,True
50003003,HiddenItem,3300303,,,fx_f_hiddenitem_special,Campaign,3,Normal,,False,7035003,0,-207705728,False,0,0,0,0,0,True
50003004,HiddenItem,3300304,,,fx_f_hiddenitem_special,Campaign,3,Normal,,False,7035004,0,-207705728,False,0,0,0,0,0,True
50003005,HiddenItem,3300305,,,fx_f_hiddenitem_special,Campaign,3,Normal,,False,7035005,0,-207705728,False,0,0,0,0,0,True
50003006,HiddenItem,3300306,,,fx_f_hiddenitem_special,Campaign,3,Normal,,False,7035006,0,-207705728,False,0,0,0,0,0,True
50003007,HiddenItem,3300307,,,fx_f_hiddenitem,Campaign,3,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50003008,HiddenItem,3300310,,,fx_f_hiddenitem,Campaign,3,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50003201,BGM,3300308,,,fx_f_hiddenitem,Campaign,3,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50003202,BGM,3300309,,,fx_f_hiddenitem,Campaign,3,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50004001,HiddenItem,3300401,,,fx_f_hiddenitem_special,Campaign,4,Normal,,False,7035007,0,-207705728,False,0,0,0,0,0,True
50004002,HiddenItem,3300402,,,fx_f_hiddenitem_special,Campaign,4,Normal,,False,7035008,0,-207705728,False,0,0,0,0,0,True
50004003,HiddenItem,3300403,,,fx_f_hiddenitem_special,Campaign,4,Normal,,False,7035009,0,-207705728,False,0,0,0,0,0,True
50004004,HiddenItem,3300404,,,fx_f_hiddenitem,Campaign,4,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50004201,BGM,3300405,,,fx_f_hiddenitem,Campaign,4,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50004202,BGM,3300406,,,fx_f_hiddenitem,Campaign,4,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50004203,BGM,3300407,,,fx_f_hiddenitem,Campaign,4,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50004301,Memory,3300408,,,fx_f_hiddenitem,Campaign,4,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50004302,Memory,3300409,,,fx_f_hiddenitem,Campaign,4,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50004303,Memory,3300410,,,fx_f_hiddenitem,Campaign,4,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50004304,Memory,3300411,,,fx_f_hiddenitem,Campaign,4,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50005001,HiddenItem,3300501,,,fx_f_hiddenitem_special,Campaign,5,Normal,,False,7035010,0,-207705728,False,0,0,0,0,0,True
50005002,HiddenItem,3300502,,,fx_f_hiddenitem_special,Campaign,5,Normal,,False,7035011,0,-207705728,False,0,0,0,0,0,True
50005003,HiddenItem,3300503,,,fx_f_hiddenitem_special,Campaign,5,Normal,,False,7035012,0,-207705728,False,0,0,0,0,0,True
50005004,HiddenItem,3300504,,,fx_f_hiddenitem,Campaign,5,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50005201,BGM,3300505,,,fx_f_hiddenitem,Campaign,5,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50005202,BGM,3300506,,,fx_f_hiddenitem,Campaign,5,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50005203,BGM,3300507,,,fx_f_hiddenitem,Campaign,5,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50005301,Memory,3300508,,,fx_f_hiddenitem,Campaign,5,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50005302,Memory,3300509,,,fx_f_hiddenitem,Campaign,5,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50005303,Memory,3300510,,,fx_f_hiddenitem,Campaign,5,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
50005304,Memory,3300511,,,fx_f_hiddenitem,Campaign,5,Normal,,False,0,0,-207705728,False,0,0,0,0,0,True
