id,group_id,recollection_category_type,scenario_contents_type,scenario_event_id,archive_event_id,recollection_value,recollection_name_localkey,recollection_resource,album_page_resource,recollection_description_localkey
1000701,10007,Album,StoryDungeon,40031.0,40031.0,10311,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_redash_part1,
1000702,10007,Album,StoryDungeon,40032.0,40032.0,10321,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_redash_part2,
1000703,10007,Album,EventSuddenScenario,80800.0,80800.0,40001,Locale_Event:recollection_hub_sudden_event,icn_recollection_hub_suddenevent,,
1000704,10007,Album,MiniGame,80803.0,80803.0,30003,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1000705,10007,Memorial,Memorial,,,10007,Locale_Event:recollection_hub_memorial,icn_recollection_hub_lostitem,,Locale_Event:recollection_description_memorial
1000801,10008,Album,StoryDungeon,40034.0,40034.0,10341,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_neverland_part1,
1000802,10008,Album,StoryDungeon,40035.0,40035.0,10351,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_neverland_part2,
1000803,10008,Album,MiniGame,80903.0,80903.0,30004,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1000901,10009,Album,StoryDungeon,40041.0,,10411,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_ce003_part1,
1000902,10009,Album,StoryDungeon,40042.0,,10421,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_ce003_part2,
1000903,10009,Album,MiniGame,81101.0,,30005,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1001001,10010,Album,StoryDungeon,40045.0,,10451,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_lastkingdom_part1,
1001002,10010,Album,StoryDungeon,40046.0,,10461,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_lastkingdom_part2,
1001101,10011,Album,StoryDungeon,40048.0,,10481,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_goldencoinrush_part1,
1001102,10011,Album,StoryDungeon,40049.0,,10491,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_goldencoinrush_part2,
1001201,10012,Album,StoryDungeon,40051.0,40051.0,10511,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_beautyfullshot_part1,
1001202,10012,Album,StoryDungeon,40052.0,40052.0,10521,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_beautyfullshot_part2,
1001203,10012,Album,MiniGame,81401.0,81401.0,30008,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1001301,10013,Album,StoryDungeon,40055.0,40055.0,10551,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_ce004_part1,
1001302,10013,Album,StoryDungeon,40056.0,40056.0,10561,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_ce004_part2,
1001303,10013,Album,StoryDungeon,40057.0,40057.0,10571,Locale_Event:recollection_hub_story_3,icn_recollection_hub_stroy03,ui_event_bg_ce004_part3,
1001304,10013,Album,MiniGame,81501.0,81501.0,30009,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1000101,10001,Album,StoryDungeon,40003.0,40003.0,10021,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_miraclesnow,
1000102,10001,Album,StoryDungeon,40004.0,40004.0,10031,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_eternalmemory,
1000103,10001,Album,MiniGame,80105.0,80105.0,30006,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1000301,10003,Album,StoryDungeon,80303.0,80303.0,10121,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_overzone_part1,
1000302,10003,Album,StoryDungeon,80304.0,80304.0,10131,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_overzone_part2,
1000303,10003,Album,MiniGame,80305.0,1080305.0,30007,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1000401,10004,Album,StoryDungeon,40020.0,40020.0,10201,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_bluewaterisland_part1,
1000402,10004,Album,StoryDungeon,40021.0,40021.0,10211,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_bluewaterisland_part2,
1000403,10004,Album,MiniGame,80403.0,80403.0,30001,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1000501,10005,Album,StoryDungeon,40024.0,40024.0,10241,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_seayouagain_part01,
1000502,10005,Album,StoryDungeon,40025.0,40025.0,10251,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_seayouagain_part02,
1000503,10005,Album,EventSuddenScenario,80600.0,80600.0,40002,Locale_Event:recollection_hub_sudden_event,icn_recollection_hub_suddenevent,,
1000504,10005,Album,MiniGame,80603.0,80603.0,30002,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1001601,10016,Album,StoryDungeon,40061.0,,10611,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_oldtales_part1,
1001602,10016,Album,StoryDungeon,40062.0,,10621,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_oldtales_part2,
1001603,10016,Memorial,Memorial,,,10016,Locale_Event:recollection_hub_memorial,icn_recollection_hub_lostitem,,Locale_Event:recollection_description_memorial
1001701,10017,Album,StoryDungeon,40064.0,,10641,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_icedragonsaga_part1,
1001702,10017,Album,StoryDungeon,40065.0,,10651,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_icedragonsaga_part2,
1001703,10017,Album,MiniGame,81701.0,,30010,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1001801,10018,Album,StoryDungeon,40070.0,,10701,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_ce005_part1,
1001802,10018,Album,StoryDungeon,40071.0,,10711,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_ce005_part2,
