id,theme,bgm_loop
1,CityForest,bgm_spot_crumblingcity_a
2,CityForest,bgm_spot_crumblingcity_b
3,CityForest,bgm_spot_bulletstorm_a
4,CityForest,bgm_spot_bulletstorm_b
5,CityForest,bgm_spot_incomingrapture_a
6,CityForest,bgm_spot_incomingrapture_b
7,CityForestUnder,bgm_spot_crumblingcity_a
8,CityForestUnder,bgm_spot_crumblingcity_b
9,CityForestUnder,bgm_spot_bulletstorm_a
10,CityForestUnder,bgm_spot_bulletstorm_b
11,CityForestUnder,bgm_spot_incomingrapture_a
12,CityForestUnder,bgm_spot_incomingrapture_b
13,IceLand,bgm_spot_silvermane_a
14,IceLand,bgm_spot_silvermane_b
15,IceLand,bgm_spot_labyrinth_a
16,IceLand,bgm_spot_labyrinth_b
17,IceLand,bgm_spot_scardi_a
18,IceLand,bgm_spot_scardi_b
19,Wasteland,bgm_spot_theclue_a
20,Wasteland,bgm_spot_theclue_b
21,Wasteland,bgm_spot_standalone_a
22,Wasteland,bgm_spot_standalone_b
23,GreatHole,bgm_spot_goundzero_a
24,GreatHole,bgm_spot_goundzero_b
25,Desert,bgm_spot_khamsin_a
26,Desert,bgm_spot_khamsin_b
27,Desert,bgm_spot_dustrider_a
28,Desert,bgm_spot_dustrider_b
29,Desert,bgm_spot_splinter_a
30,Desert,bgm_spot_splinter_b
31,ArcCity,bgm_spot_crumblingcity_a
32,ArcCity,bgm_spot_crumblingcity_b
33,ArcCity,bgm_spot_bulletstorm_a
34,ArcCity,bgm_spot_bulletstorm_b
35,ArcCity,bgm_spot_incomingrapture_a
36,ArcCity,bgm_spot_incomingrapture_b
37,ArcCity,bgm_spot_crumblingcity_a
38,ArcCity,bgm_spot_crumblingcity_b
39,ArcCity,bgm_spot_bulletstorm_a
40,ArcCity,bgm_spot_bulletstorm_b
41,ArcCity,bgm_spot_incomingrapture_a
42,ArcCity,bgm_spot_incomingrapture_b
43,ArcCity,bgm_spot_silvermane_a
44,ArcCity,bgm_spot_silvermane_b
45,ArcCity,bgm_spot_labyrinth_a
46,ArcCity,bgm_spot_labyrinth_b
47,ArcCity,bgm_spot_scardi_a
48,ArcCity,bgm_spot_scardi_b
49,ArcCity,bgm_spot_theclue_a
50,ArcCity,bgm_spot_theclue_b
51,ArcCity,bgm_spot_khamsin_a
52,ArcCity,bgm_spot_khamsin_b
53,ArcCity,bgm_spot_dustrider_a
54,ArcCity,bgm_spot_dustrider_b
55,ArcCity,bgm_spot_splinter_a
56,ArcCity,bgm_spot_splinter_b
57,ArkCityDay,bgm_spot_emergencyengage_a
58,ArkCityDay,bgm_spot_emergencyengage_b
59,ArkCityDay,bgm_spot_thecoldfront
60,ArkCityDay,bgm_spot_thewarmfront
61,ArkCityDay,bgm_spot_chaos_a
62,ArkCityDay,bgm_spot_chaos_b
63,Volcano,bgm_spot_risingfromash_a
64,Volcano,bgm_spot_risingfromash_b
65,Ocean,event_bgm_spot_holycrab
66,Ocean,event_bgm_spot_bassbomb
67,ArcOut,bgm_spot_theclue_a
68,ArcOut,bgm_spot_theclue_b
69,ArcOut,bgm_spot_standalone_a
70,ArcOut,bgm_spot_standalone_b
71,CityForestUnder,bgm_spot_dwn_a
72,CityForestUnder,bgm_spot_dwn_b
73,CityForestUnder,bgm_spot_destroyedserenity_a
74,CityForestUnder,bgm_spot_destroyedserenity_b
75,CityForestUnder,bgm_chapter29_spot_coagulation_a
76,CityForestUnder,bgm_chapter29_spot_coagulation_b
77,CityForestUnder,bgm_chapter30_spot_encroach_a
78,CityForestUnder,bgm_chapter30_spot_encroach_b
79,CityForestUnder,bgm_chapter31_spot_metalstrike_a
80,CityForestUnder,bgm_chapter31_spot_metalstrike_b
81,CityForestUnder,bgm_chapter32_spot_darkmatter_a
82,CityForestUnder,bgm_chapter32_spot_darkmatter_b
83,CityForestUnder,bgm_chapter33_spot_outbreak_a
84,CityForestUnder,bgm_chapter33_spot_outbreak_b
85,CityForestUnder,bgm_chapter34_spot_readytogo_a
86,CityForestUnder,bgm_chapter34_spot_readytogo_b
87,lostsector,bgm_lostsector_spot_1
88,lostsector,bgm_lostsector_spot_2
89,lostsector,bgm_lostsector_spot_3
90,lostsector,bgm_lostsector_spot_4
91,lostsector,bgm_lostsector_spot_5
92,SwamplandJungle,bgm_chapter35_spot_canthisbetheend_a
93,SwamplandJungle,bgm_chapter35_spot_canthisbetheend_b
94,SwamplandJungle,bgm_chapter36_spot_mindover_a
95,SwamplandJungle,bgm_chapter36_spot_mindover_b
96,SwamplandJungle,bgm_chapter37_spot_struggle_a
97,SwamplandJungle,bgm_chapter37_spot_struggle_b
98,SwamplandJungle,bgm_chapter38_spot_bombard_a
99,SwamplandJungle,bgm_chapter38_spot_bombard_b
100,Surface,event_bgm_ubsphere_aapiller
101,MotherwhaleField,bgm_chapter39_spot_guidingstar_a
102,MotherwhaleField,bgm_chapter39_spot_guidingstar_b
103,MotherwhaleField,bgm_chapter40_spot_abyssoftheworld_a
104,MotherwhaleField,bgm_chapter40_spot_abyssoftheworld_b
