id,roomAddressableName,socketPointID,localeName,resourceImage
101,C1_1_06,3101,Locale_Event:EventMVG_Teleport_C101_Name,img_mvg_teleport_01
102,C1_1_08,3102,Locale_Event:EventMVG_Teleport_C102_Name,img_mvg_teleport_02
201,C2_1_05,3201,Locale_Event:EventMVG_Teleport_C201_Name,img_mvg_teleport_03
202,C2_1_08,3202,Locale_Event:EventMVG_Teleport_C202_Name,img_mvg_teleport_04
203,C2_1_11,3203,Locale_Event:EventMVG_Teleport_C203_Name,img_mvg_teleport_05
301,C3_1_08,3301,Locale_Event:EventMVG_Teleport_C301_Name,img_mvg_teleport_06
302,C3_1_17,3302,Locale_Event:EventMVG_Teleport_C302_Name,img_mvg_teleport_07
401,C4_1_01,3401,Locale_Event:EventMVG_Teleport_C401_Name,img_mvg_teleport_08
402,C4_1_12,3402,Locale_Event:EventMVG_Teleport_C402_Name,img_mvg_teleport_09
403,C4_1_13,3403,Locale_Event:EventMVG_Teleport_C403_Name,img_mvg_teleport_10
501,C5_1_04,3501,Locale_Event:EventMVG_Teleport_C501_Name,img_mvg_teleport_11
502,C5_1_25,3502,Locale_Event:EventMVG_Teleport_C502_Name,img_mvg_teleport_12
503,C5_1_16,3503,Locale_Event:EventMVG_Teleport_C503_Name,img_mvg_teleport_13
601,C6_1_08,3601,Locale_Event:EventMVG_Teleport_C601_Name,img_mvg_teleport_14
602,C6_1_28,3602,Locale_Event:EventMVG_Teleport_C602_Name,img_mvg_teleport_15
603,C6_1_41,3603,Locale_Event:EventMVG_Teleport_C603_Name,img_mvg_teleport_16
701,C7_1_07,3701,Locale_Event:EventMVG_Teleport_C701_Name,img_mvg_teleport_17
702,C7_1_24,3702,Locale_Event:EventMVG_Teleport_C702_Name,img_mvg_teleport_18
703,C7_1_19,3703,Locale_Event:EventMVG_Teleport_C703_Name,img_mvg_teleport_19
704,C7_1_27,3704,Locale_Event:EventMVG_Teleport_C704_Name,img_mvg_teleport_20
801,C8_1_01,3801,Locale_Event:EventMVG_Teleport_C801_Name,img_mvg_teleport_21
802,C8_1_02,3802,Locale_Event:EventMVG_Teleport_C802_Name,img_mvg_teleport_22
803,C8_1_16,3803,Locale_Event:EventMVG_Teleport_C803_Name,img_mvg_teleport_23
804,C8_1_29,3804,Locale_Event:EventMVG_Teleport_C804_Name,img_mvg_teleport_24
805,C8_1_43,3805,Locale_Event:EventMVG_Teleport_C805_Name,img_mvg_teleport_25
900,C9_1_09,9000,Locale_Event:EventMVG_Teleport_C919_Name,
