id,function_group,ratio,slot_1_function,slot_2_function,slot_3_function,order
10101,101,100,101,101,101,1
10102,101,100,101,101,201,2
10103,101,100,101,101,301,3
10104,101,100,101,101,401,4
10105,101,100,101,101,501,5
10106,101,100,101,101,601,6
10107,101,100,101,201,201,7
10108,101,100,101,201,301,8
10109,101,100,101,201,401,9
10110,101,100,101,201,501,10
10111,101,100,101,201,601,11
10112,101,100,101,301,301,12
10113,101,100,101,301,401,13
10114,101,100,101,301,501,14
10115,101,100,101,301,601,15
10116,101,100,101,401,401,16
10117,101,100,101,401,501,17
10118,101,100,101,401,601,18
10119,101,100,101,501,501,19
10120,101,100,101,501,601,20
10121,101,100,101,601,601,21
10122,101,100,201,201,201,22
10123,101,100,201,201,301,23
10124,101,100,201,201,401,24
10125,101,100,201,201,501,25
10126,101,100,201,201,601,26
10127,101,100,201,301,301,27
10128,101,100,201,301,401,28
10129,101,100,201,301,501,29
10130,101,100,201,301,601,30
10131,101,100,201,401,401,31
10132,101,100,201,401,501,32
10133,101,100,201,401,601,33
10134,101,100,201,501,501,34
10135,101,100,201,501,601,35
10136,101,100,201,601,601,36
10137,101,100,301,301,301,37
10138,101,100,301,301,401,38
10139,101,100,301,301,501,39
10140,101,100,301,301,601,40
10141,101,100,301,401,401,41
10142,101,100,301,401,501,42
10143,101,100,301,401,601,43
10144,101,100,301,501,501,44
10145,101,100,301,501,601,45
10146,101,100,301,601,601,46
10147,101,100,401,401,401,47
10148,101,100,401,401,501,48
10149,101,100,401,401,601,49
10150,101,100,401,501,501,50
10151,101,100,401,501,601,51
10152,101,100,401,601,601,52
10153,101,100,501,501,501,53
10154,101,100,501,501,601,54
10155,101,100,501,601,601,55
10156,101,100,601,601,601,56
