id,view_condition_type,view_condition_value,condition_localkey,enable_unlock_play_popup,enable_unlock_play_button,open_condition/0/open_condition_type,open_condition/0/open_condition_value,open_condition/1/open_condition_type,open_condition/1/open_condition_value
None,None,0,,False,False,None,0,None,0
Tower,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6003003,None,0
Shop,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6002008,None,0
Collection,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,None,0,None,0
Summon,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,None,0,None,0
Outpost,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,MainQuest,21,StageClear,6002016
ArkSector,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,None,0,None,0
LostSector,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6005003,None,0
Guild,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,UserLevel,10,None,0
GuildShop,UserLevel,10,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,UserLevel,10,None,0
ArenaShop,StageClear,6003021,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6003021,None,0
Arena,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6003021,None,0
SpecialArena,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6011018,None,0
ChampionArena,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6011018,None,0
CompanyTower,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6007021,None,0
Ranking,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,None,0,None,0
Album,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,None,0,None,0
Chatting,UserLevel,9999,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,Preparing,0,None,0
HarmonyCube,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,None,0,None,0
TrainingRoom,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,None,0,None,0
CustomizeGacha,UserLevel,9999,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
ContentsOpen_SynchroDevice,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE_SYNCHRODEVICE,True,True,StageClear,6004018,None,0
ContentsOpen_RecycleRoom,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE_RECYCLEROOM,True,True,StageClear,6005013,None,0
ContentsOpen_TacticAcademy,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE_TACTICACADEMY,True,True,StageClear,6003009,None,0
Raid,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,True,StageClear,6003012,None,0
InterceptNormalLevel2,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6009017,None,0
InterceptSpecial,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6016039,None,0
EmergencyQuest,UserLevel,99,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,UserLevel,99,None,0
Lobby,StageClear,6001004,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Mission,StageClear,6000003,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Spot_BurstGauge,StageClear,6000001,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Spot_BattleRetreat,StageClear,6001004,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Spot_AutoControl,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,MainQuest,12,None,0
Friend,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Mail,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,StageClear,6002001,None,0
