id,group_Id,priority,printType,portrait_id,name_localkey,scenario_localkey,duration,execute_DelayTime,execute_Rate,first_show_check,ConditionData/0/useCondition_Type,ConditionData/1/useCondition_Type,ConditionData/0/useCondition_Value/0,ConditionData/0/useCondition_Value/1,ConditionData/0/useCondition_Value/2,ConditionData/1/useCondition_Value/0,ConditionData/1/useCondition_Value/1,ConditionData/1/useCondition_Value/2,ConditionData/1/useCondition_Value/3
1,NKS_Balloon_Dummy_Group_00,1,Common,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,0,900000000,0,True,Check_ItemGet,Check_CurCharacter,999999,,,1.0,101.0,202.0,
2,NKS_Balloon_SNW_Group_01,4,Common,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:Event_NKS_Balloon_SnowWhite_HpRatio_70,3,6000,10000,False,Check_CurCharacter,Check_ReachHPratio,1,101.0,202.0,70.0,,,
3,NKS_Balloon_SNW_Group_02,3,Common,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:Event_NKS_Balloon_SnowWhite_HpRatio_50,3,6000,10000,False,Check_CurCharacter,Check_ReachHPratio,1,101.0,202.0,50.0,,,
4,NKS_Balloon_SNW_Group_03,2,Common,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:Event_NKS_Balloon_SnowWhite_HpRatio_30,3,6000,10000,False,Check_CurCharacter,Check_ReachHPratio,1,101.0,202.0,30.0,,,
5,NKS_Balloon_SNW_Group_04,1,Common,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:Event_NKS_Balloon_SnowWhite_HpRatio_5,3,6000,10000,False,Check_CurCharacter,Check_ReachHPratio,1,101.0,202.0,5.0,,,
6,NKS_Balloon_SNW_Group_05,3,Common,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:Event_NKS_Balloon_SnowWhite_HpRatio_5_GetHealItem,3,6000,10000,False,Check_CurCharacter,Check_ItemGet,1,101.0,202.0,100501.0,,,
7,NKS_Balloon_SNW_Group_06,2,Common,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:Event_NKS_Balloon_SnowWhite_HpRatio_5_GetHealItem,3,6000,1000,False,Check_CurCharacter,Check_ItemGet,1,101.0,202.0,100502.0,,,
8,NKS_Balloon_SNW_Group_07,1,Common,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:Event_NKS_Balloon_SnowWhite_HpRatio_5_GetHealItem,3,6000,500,False,Check_CurCharacter,Check_ItemGet,1,101.0,202.0,100503.0,,,
9,NKS_Balloon_SNW_Group_08,1,Common,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:Event_NKS_Balloon_SnowWhite_Invincible,3,6000,10000,False,Check_CurCharacter,Check_ItemGet,1,101.0,202.0,100601.0,,,
10,NKS_Balloon_SNW_Group_09,1,Common,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:Event_NKS_Balloon_SnowWhite_Magnet,3,6000,10000,False,Check_CurCharacter,Check_ItemGet,1,101.0,202.0,100301.0,,,
11,NKS_Balloon_SNW_Group_10,1,Common,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:Event_NKS_Balloon_SnowWhite_KillMinion,3,6000,10000,False,Check_CurCharacter,Check_ItemGet,1,101.0,202.0,100401.0,,,
12,NKS_Balloon_SNW_Group_11,1,Common,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:Event_NKS_Balloon_SnowWhite_GetTreasure,3,6000,10000,False,Check_CurCharacter,Check_ItemGet,1,101.0,202.0,100801.0,,,
