id,name_localkey,description_localkey,stat_type,function_value_type,stat_value,buff_icon
111,Locale_Skill:bf_name_cooperation_111_02,Locale_Skill:bf_desc_cooperation_111,Atk,Percent,1000,icn_buff_statatk
112,Locale_Skill:bf_name_cooperation_112_02,Locale_Skill:bf_desc_cooperation_112,Atk,Percent,1000,icn_buff_statatk
113,Locale_Skill:bf_name_cooperation_113_02,Locale_Skill:bf_desc_cooperation_113,Atk,Percent,1000,icn_buff_statatk
114,Locale_Skill:bf_name_cooperation_114_02,Locale_Skill:bf_desc_cooperation_114,Atk,Percent,1000,icn_buff_statatk
115,Locale_Skill:bf_name_cooperation_115_02,Locale_Skill:bf_desc_cooperation_115,Atk,Percent,1000,icn_buff_statatk
121,Locale_Skill:bf_name_cooperation_121,Locale_Skill:bf_desc_cooperation_121,Atk,Percent,1000,icn_buff_statatk
122,Locale_Skill:bf_name_cooperation_122,Locale_Skill:bf_desc_cooperation_122,Atk,Percent,1000,icn_buff_statatk
123,Locale_Skill:bf_name_cooperation_123,Locale_Skill:bf_desc_cooperation_123,Atk,Percent,1000,icn_buff_statatk
131,Locale_Skill:bf_name_cooperation_131_02,Locale_Skill:bf_desc_cooperation_131,Hp,Percent,1000,icn_buff_stathp
132,Locale_Skill:bf_name_cooperation_132_02,Locale_Skill:bf_desc_cooperation_132,Hp,Percent,1000,icn_buff_stathp
133,Locale_Skill:bf_name_cooperation_133_02,Locale_Skill:bf_desc_cooperation_133,Hp,Percent,1000,icn_buff_stathp
134,Locale_Skill:bf_name_cooperation_134_02,Locale_Skill:bf_desc_cooperation_134,Hp,Percent,1000,icn_buff_stathp
135,Locale_Skill:bf_name_cooperation_135_02,Locale_Skill:bf_desc_cooperation_135,Hp,Percent,1000,icn_buff_stathp
