id,group_id,row_number,slot/0/slot,slot/1/slot,slot/2/slot,slot/3/slot,slot/4/slot
1,1,1,1,1,1,0,0
2,1,2,0,1,0,0,0
3,1,3,0,1,0,0,0
4,2,2,1,1,1,0,0
5,2,3,1,0,0,0,0
6,3,1,0,1,1,0,0
7,3,2,1,1,0,0,0
8,4,1,1,1,1,0,0
9,4,2,1,0,0,0,0
10,5,1,1,1,1,1,0
11,5,2,0,1,0,0,0
12,6,1,1,1,0,0,0
13,6,2,1,0,0,0,0
14,7,1,1,0,0,0,0
15,7,2,1,0,0,0,0
16,7,3,1,0,0,0,0
17,7,4,1,1,0,0,0
18,8,1,0,1,0,0,0
19,8,2,0,1,0,0,0
20,8,3,1,1,0,0,0
21,8,4,0,1,0,0,0
22,9,1,0,0,0,1,0
23,9,2,1,1,1,1,0
24,10,1,1,1,0,0,0
25,10,2,1,1,0,0,0
26,11,1,1,0,0,0,0
27,11,2,1,0,0,0,0
28,12,1,1,0,0,0,0
29,13,1,1,1,0,0,0
30,13,2,1,0,0,0,0
31,14,1,1,1,1,0,0
32,15,1,1,1,0,0,0
33,15,2,1,1,0,0,0
34,16,1,1,0,0,0,0
35,16,2,1,0,0,0,0
36,16,3,1,0,0,0,0
37,17,1,1,1,1,0,0
38,18,1,1,0,0,0,0
39,18,2,1,0,0,0,0
40,18,3,1,0,0,0,0
