id,reaction_target_id,reaction_type,speecher_type,speecher_resource_id,locale_file,target_chapter,speech_localkey,reaction_voice,order
1001,10,Touch,Character,13,Locale_MainScenario,1,Locale_MainScenario:d_main_01_01_s_5,d_main_01_01_s_5,1
1002,10,Touch,Character,13,Locale_MainScenario,1,Locale_MainScenario:d_main_01_01_s_6,d_main_01_01_s_6,2
1003,10,Touch,Character,13,Locale_MainScenario,1,Locale_MainScenario:d_main_01_01_s_7,d_main_01_01_s_7,3
1004,10,Touch,Character,13,Locale_MainScenario,1,Locale_MainScenario:d_main_01_01_s_8,d_main_01_01_s_8,4
1005,10,Touch,Character,13,Locale_MainScenario,1,Locale_MainScenario:d_main_01_01_s_9,d_main_01_01_s_9,5
1006,10,Stay,Character,13,Locale_MainScenario,1,Locale_MainScenario:d_main_01_01_s_14,d_main_01_01_s_14,1
1101,11,Touch,Character,10,Locale_MainScenario,1,Locale_MainScenario:d_main_01af_01_12,d_main_01af_01_12,1
1102,11,Touch,Character,10,Locale_MainScenario,1,Locale_MainScenario:d_main_01af_01_14,d_main_01af_01_14,2
1103,11,Touch,Character,10,Locale_MainScenario,1,Locale_MainScenario:d_main_01af_01_17,d_main_01af_01_17,3
1104,11,Touch,Character,10,Locale_MainScenario,1,Locale_MainScenario:d_main_01af_01_18,d_main_01af_01_18,4
1105,11,Stay,Character,10,Locale_MainScenario,1,Locale_MainScenario:d_main_01af_01_12,d_main_01af_01_12,1
1201,12,Touch,Character,10,Locale_MainScenario,2,Locale_MainScenario:d_main_02af_05_10,d_main_02af_05_10,1
1202,12,Touch,Character,10,Locale_MainScenario,2,Locale_MainScenario:d_main_02af_05_11,d_main_02af_05_11,2
1203,12,Stay,Character,10,Locale_MainScenario,2,Locale_MainScenario:d_main_02af_05_11,d_main_02af_05_11,1
1301,13,Touch,Character,92,Locale_MainScenario,4,Locale_MainScenario:d_main_04_09_e_24,d_main_04_09_e_24,1
1302,13,Touch,Character,91,Locale_MainScenario,4,Locale_MainScenario:d_main_04_09_e_25,d_main_04_09_e_25,2
