id,surface_alarm_type,surface_alarm_list_group,list_print_order,is_alarm_toast,surface_alarm_icon,surface_alarm_toast_description,surface_alarm_list_description,is_short_cut_use
1,OccupationSuccess,1001,1,True,icn_surface_toast_opticalcamouflage,Locale_Surface:SURFACE_ALARM_TOAST_OCCUPATION_SUCCESS,Locale_Surface:SURFACE_ALARM_LIST_OCCUPATION_SUCCESS,True
2,OccupationFailure,1002,1,True,icn_surface_toast_opticalcamouflage,Locale_Surface:SURFACE_ALARM_TOAST_OCCUPATION_FAILURE,Locale_Surface:SURFACE_ALARM_LIST_OCCUPATION_FAILURE,True
3,OccupationLowBattery,1003,1,True,icn_surface_toast_opticalcamouflage,Locale_Surface:SURFACE_ALARM_TOAST_OCCUPATION_BATTERY,Locale_Surface:SURFACE_ALARM_LIST_OCCUPATION_BATTERY,True
4,FactoryPause,1003,2,False,icn_surface_toast_factory,,Locale_Surface:SURFACE_ALARM_LIST_FACTORY_PAUSE,True
5,HospitalPause,1003,3,False,icn_surface_toast_hospital,,Locale_Surface:SURFACE_ALARM_LIST_HOSPITAL_PAUSE,True
6,OccupationDefenseSuccess,1004,1,True,icn_surface_toast_opticalcamouflage,Locale_Surface:SURFACE_ALARM_TOAST_DEFENSE_SUCCESS,Locale_Surface:SURFACE_ALARM_LIST_DEFENSE_SUCCESS,True
7,FactoryOperate,1004,2,False,icn_surface_toast_factory,,Locale_Surface:SURFACE_ALARM_LIST_FACTORY_OPERATE,True
8,None,1004,3,False,icn_surface_toast_opticalcamouflage,,Locale_Surface:SURFACE_ALARM_LIST_BUILDING_OPERATE,True
9,OccupationDefenseFailure,1005,1,True,icn_surface_toast_opticalcamouflage,Locale_Surface:SURFACE_ALARM_TOAST_DEFENSE_FAILURE,Locale_Surface:SURFACE_ALARM_LIST_DEFENSE_FAILURE,True
10,None,1005,2,False,icn_surface_toast_opticalcamouflage,,Locale_Surface:SURFACE_ALARM_LIST_BUILDING_STOP,True
11,GatewaySuccess,2001,1,True,icn_surface_toast_gateway,Locale_Surface:SURFACE_ALARM_TOAST_GATEWAY_SUCCESS,Locale_Surface:SURFACE_ALARM_LIST_GATEWAY_SUCCESS,True
12,GatewayFailure,2002,1,True,icn_surface_toast_gateway,Locale_Surface:SURFACE_ALARM_TOAST_GATEWAY_FAILURE,Locale_Surface:SURFACE_ALARM_LIST_GATEWAY_FAILURE,True
13,SuppressBossRaidSuccess,3001,1,True,icn_surface_toast_suppressreward_boss,Locale_Surface:SURFACE_ALARM_TOAST_SUPPRESS_SUCCESS,Locale_Surface:SURFACE_ALARM_LIST_SUPPRESS_SUCCESS,True
14,SuppressBossRaidFailure,3002,1,True,icn_surface_toast_suppressreward_boss,Locale_Surface:SURFACE_ALARM_TOAST_SUPPRESS_FAILURE,Locale_Surface:SURFACE_ALARM_LIST_SUPPRESS_FAILURE,True
15,SuppressLegionRaidSuccess,3101,1,True,icn_surface_toast_suppressreward_legion,Locale_Surface:SURFACE_ALARM_TOAST_SUPPRESS_SUCCESS,Locale_Surface:SURFACE_ALARM_LIST_SUPPRESS_SUCCESS,True
16,SuppressLegionRaidFailure,3102,1,True,icn_surface_toast_suppressreward_legion,Locale_Surface:SURFACE_ALARM_TOAST_SUPPRESS_FAILURE,Locale_Surface:SURFACE_ALARM_LIST_SUPPRESS_FAILURE,True
17,SuppressBossRaidUnlockOnFirstClear,3201,1,True,icn_surface_toast_suppressreward_boss,Locale_Surface:SURFACE_ALARM_TOAST_SUPPRESS_BOSS_RAID_UNLOCK,Locale_Surface:SURFACE_ALARM_LIST_SUPPRESS_BOSS_RAID_UNLOCK,False
18,SuppressLegionRaidUnlockOnFirstClear,3202,1,True,icn_surface_toast_suppressreward_legion,Locale_Surface:SURFACE_ALARM_TOAST_SUPPRESS_LEGION_RAID_UNLOCK,Locale_Surface:SURFACE_ALARM_LIST_SUPPRESS_LEGION_RAID_UNLOCK,False
19,SuppressBossRaidHighDifficultyUnlock,3301,1,True,icn_surface_toast_suppressreward_boss,Locale_Surface:SURFACE_ALARM_TOAST_SUPPRESS_BOSS_RAID_HIGH_DIFFICULTY_UNLOCK,Locale_Surface:SURFACE_ALARM_LIST_SUPPRESS_BOSS_RAID_HIGH_DIFFICULTY_UNLOCK,False
20,SuppressLegionRaidHighDifficultyUnlock,3302,1,True,icn_surface_toast_suppressreward_legion,Locale_Surface:SURFACE_ALARM_TOAST_SUPPRESS_LEGION_RAID_HIGH_DIFFICULTY_UNLOCK,Locale_Surface:SURFACE_ALARM_LIST_SUPPRESS_LEGION_RAID_HIGH_DIFFICULTY_UNLOCK,False
21,QuestGroupUnlock,4001,1,True,icn_surface_toast_quest,Locale_Surface:SURFACE_ALARM_TOAST_QUEST_GROUP_UNLOCK,Locale_Surface:SURFACE_ALARM_LIST_QUEST_GROUP_UNLOCK,True
22,DefeatFieldMonster,5001,1,True,icn_surface_toast_mon_normal,Locale_Surface:SURFACE_ALARM_TOAST_DEFEAT_FIELD_MONSTER,Locale_Surface:SURFACE_ALARM_LIST_DEFEAT_FIELD_MONSTER,False
