id,grade,lv,level_hp,level_defence
10001,Soft,1,645,100
10002,Soft,2,645,100
10003,Soft,3,645,100
10004,Soft,4,645,100
10005,Soft,5,645,100
10006,Soft,6,677,105
10007,Soft,7,742,115
10008,Soft,8,805,125
10009,Soft,9,837,130
10010,Soft,10,870,135
10011,Soft,11,902,140
10012,Soft,12,1077,165
10013,Soft,13,1292,175
10014,Soft,14,1325,180
10015,Soft,15,1357,185
10016,Soft,16,1390,190
10017,Soft,17,1422,195
10018,Soft,18,1455,200
10019,Soft,19,1490,205
10020,Soft,20,1522,210
10021,Soft,21,1555,215
10022,Soft,22,1587,220
10023,Soft,23,1810,230
10024,Soft,24,1842,235
10025,Soft,25,1877,240
10026,Soft,26,1910,245
10027,Soft,27,1942,250
10028,Soft,28,2022,261
10029,Soft,29,2055,266
10030,Soft,30,2090,271
10031,Soft,31,2122,276
10032,Soft,32,2155,281
10033,Soft,33,2190,286
10034,Soft,34,2222,291
10035,Soft,35,2257,296
10036,Soft,36,2290,301
10037,Soft,37,2325,306
10038,Soft,38,2357,311
10039,Soft,39,2390,316
10040,Soft,40,2425,321
10041,Soft,41,2520,326
10042,Soft,42,2590,336
10043,Soft,43,2695,429
10044,Soft,44,2765,439
10045,Soft,45,2832,449
10046,Soft,46,2962,467
10047,Soft,47,3030,477
10048,Soft,48,3100,487
10049,Soft,49,3167,497
10050,Soft,50,3237,507
10051,Soft,51,3332,521
10052,Soft,52,3402,531
10053,Soft,53,3562,541
10054,Soft,54,3640,551
10055,Soft,55,3717,561
10056,Soft,56,3825,574
10057,Soft,57,3902,584
10058,Soft,58,4367,594
10059,Soft,59,4450,604
10060,Soft,60,4535,614
10061,Soft,61,4650,628
10062,Soft,62,4787,644
10063,Soft,63,5002,670
10064,Soft,64,5087,680
10065,Soft,65,5172,690
10066,Soft,66,5257,700
10067,Soft,67,5430,721
10068,Soft,68,5515,731
10069,Soft,69,5600,741
10070,Soft,70,5682,751
10071,Soft,71,5767,761
10072,Soft,72,5905,777
10073,Soft,73,5990,787
10074,Soft,74,6072,797
10075,Soft,75,6157,807
10076,Soft,76,6242,817
10077,Soft,77,6327,827
10078,Soft,78,6465,843
10079,Soft,79,6547,853
10080,Soft,80,6632,863
10081,Soft,81,6717,873
10082,Soft,82,6860,890
10083,Soft,83,7465,961
10084,Soft,84,7645,983
10085,Soft,85,7775,998
10086,Soft,86,7905,1013
10087,Soft,87,8032,1028
10088,Soft,88,8162,1044
10089,Soft,89,8292,1059
10090,Soft,90,8420,1074
10091,Soft,91,8695,1108
10092,Soft,92,8887,1130
10093,Soft,93,9017,1145
10094,Soft,94,9147,1161
10095,Soft,95,9275,1176
10096,Soft,96,9492,1213
10097,Soft,97,9620,1228
10098,Soft,98,9815,1252
10099,Soft,99,9975,1277
10100,Soft,100,10105,1292
10101,Soft,101,10235,1308
10102,Soft,102,10482,1343
10103,Soft,103,14865,2568
10104,Soft,104,11515,1484
10105,Soft,105,11715,1507
10106,Soft,106,11877,1533
10107,Soft,107,12092,1558
10108,Soft,108,12295,1583
10109,Soft,109,12457,1609
10110,Soft,110,12590,1624
10111,Soft,111,12722,1640
10112,Soft,112,12885,1665
10113,Soft,113,13102,1691
10114,Soft,114,13235,1707
10115,Soft,115,13397,1732
10116,Soft,116,13682,1748
10117,Soft,117,13817,1763
10118,Soft,118,14015,1812
10119,Soft,119,14392,1857
10120,Soft,120,14600,1880
10121,Soft,121,14765,1906
10122,Soft,122,14900,1921
10123,Soft,123,18812,3023
10124,Soft,124,19412,3093
10125,Soft,125,19745,3133
10126,Soft,126,16910,2182
