id,object_type,object_sub_type,grade_type,order,resource_id,si_resource_id,name_localkey,description_localkey,exchange_item_id,exchange_item_value,require_item_id,require_item_value,is_hidden,badge_resource_id
101001,BackGround,Event,SSR,101001,icn_profile_bg_overzone_01,si_profile_bg_overzone_01,Locale_Profile:bg_overzone_01_name,Locale_Profile:bg_overzone_01_description,7160002,10,7160002,30,False,
101002,BackGround,Event,SSR,101002,icn_profile_bg_miraclesnow_01,si_profile_bg_miraclesnow_01,Locale_Profile:bg_miraclesnow_01_name,Locale_Profile:bg_miraclesnow_01_description,7160002,10,7160002,30,False,
101003,BackGround,Event,SSR,101003,icn_profile_bg_redash_01,si_profile_bg_redash_01,Locale_Profile:bg_redash_01_name,Locale_Profile:bg_redash_01_description,7160002,10,7160002,30,False,
101004,BackGround,Event,SSR,101004,icn_profile_bg_lastkingdom_01,si_profile_bg_lastkingdom_01,Locale_Profile:bg_lastkingdom_01_name,Locale_Profile:bg_lastkingdom_01_description,7160002,10,7160002,30,False,
101005,BackGround,Event,SSR,101005,icn_profile_bg_goldencoinrush_01,si_profile_bg_goldencoinrush_01,Locale_Profile:bg_goldencoinrush_01_name,Locale_Profile:bg_goldencoinrush_01_description,7160002,10,7160002,30,False,
101006,BackGround,Event,SSR,101006,icn_profile_bg_bluewaterisland_01,si_profile_bg_bluewaterisland_01,Locale_Profile:bg_bluewaterisland_01_name,Locale_Profile:bg_bluewaterisland_01_description,7160002,10,7160002,30,False,
101007,BackGround,Event,SSR,101007,icn_profile_bg_beautyfullshot_01,si_profile_bg_beautyfullshot_01,Locale_Profile:bg_beautyfullshot_01_name,Locale_Profile:bg_beautyfullshot_01_description,7160002,10,7160002,30,True,
101008,BackGround,Event,SSR,101008,icn_profile_bg_seayouagain_01,si_profile_bg_seayouagain_01,Locale_Profile:bg_seayouagain_01_name,Locale_Profile:bg_seayouagain_01_description,7160002,10,7160002,30,False,
101009,BackGround,Event,SSR,101009,icn_profile_bg_oldtales_01,si_profile_bg_oldtales_01,Locale_Profile:bg_oldtales_01_name,Locale_Profile:bg_oldtales_01_description,7160002,10,7160002,30,True,
101010,BackGround,Event,SSR,101010,icn_profile_bg_neverland_01,si_profile_bg_neverland_01,Locale_Profile:bg_neverland_01_name,Locale_Profile:bg_neverland_01_description,7160002,10,7160002,30,False,
101011,BackGround,Event,SSR,101011,icn_profile_bg_icedragonsaga_01,si_profile_bg_icedragonsaga_01,Locale_Profile:bg_icedragonsaga_01_name,Locale_Profile:bg_icedragonsaga_01_description,7160002,10,7160002,30,True,
101012,BackGround,Event,SSR,101012,icn_profile_bg_footstepwalkrun_01,si_profile_bg_footstepwalkrun_01,Locale_Profile:bg_footstepwalkrun_01_name,Locale_Profile:bg_footstepwalkrun_01_description,7160002,10,7160002,30,True,
