id,group_id,category_name_localkey,category_data_group,category_data_description_localkey
1,1000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_ATTACKER_ATK,100101,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
2,1000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_ATTACKER_HP,100102,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
3,1000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DEFENDER_ATK,100201,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
4,1000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DEFENDER_HP,100202,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
5,1000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_SUPPORTER_ATK,100301,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
6,1000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_SUPPORTER_HP,100302,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
7,1000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_SQUAD_ATK,100401,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
8,1000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_SQUAD_HP,100402,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
9,1000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_SQUAD_POWER,100403,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
10,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_BUIDING_LEVEL_UP_TIME,200101,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
11,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_BUIDING_LEVEL_UP_COST,200102,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
12,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_RESEARCH_TIME,200201,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
13,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_RESEARCH_COST,200202,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
14,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_HOSPITAL_TIME,200301,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
15,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_HOSPITAL_COST,200302,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
16,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_FACTORY_TIME,200401,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
17,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_PRODUCTION_CORE_POWDER,200501,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
18,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_MAX_AMOUNT_CORE_POWDER,200502,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_INTEGER
19,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_MAX_PRODUCTION_CORE_POWDER,200503,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_INTEGER
20,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_PRODUCTION_GODDESIUM,200601,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
21,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_MAX_AMOUNT_GODDESIUM,200602,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_INTEGER
22,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_MAX_PRODUCTION_GODDESIUM,200603,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_INTEGER
23,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_PRODUCTION_GEONIC,200701,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
24,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_MAX_AMOUNT_GEONIC,200702,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_INTEGER
25,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_MAX_PRODUCTION_GEONIC,200703,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_INTEGER
26,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_PRODUCTION_NEO_TITANIUM,200801,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_PERCENT
27,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_MAX_AMOUNT_NEO_TITANIUM,200802,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_INTEGER
28,2000,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_MAX_PRODUCTION_NEO_TITANIUM,200803,Locale_Surface:SURFACE_CURRENT_SITUATION_CATEGORY_DATA_INTEGER
