id,group,order,package_group_id,buy_limit_type,buy_limit_count,is_free,midas_product_id
101,1,1,1,Account,36,False,90000101
102,1,2,2,Account,18,False,90000102
103,1,3,3,Account,9,False,90000103
104,1,4,4,Account,6,False,90000104
201,2,1,11,Account,36,False,90000201
202,2,2,12,Account,18,False,90000202
203,2,3,13,Account,9,False,90000203
204,2,4,14,Account,6,False,90000204
301,3,1,21,Account,36,False,90000301
302,3,2,22,Account,18,False,90000302
303,3,3,23,Account,9,False,90000303
304,3,4,24,Account,6,False,90000304
401,4,1,31,Account,36,False,90000401
402,4,2,32,Account,18,False,90000402
403,4,3,33,Account,9,False,90000403
404,4,4,34,Account,6,False,90000404
501,5,1,41,Account,36,False,90000501
502,5,2,42,Account,18,False,90000502
503,5,3,43,Account,9,False,90000503
504,5,4,44,Account,6,False,90000504
601,6,1,51,Account,36,False,90000601
602,6,2,52,Account,18,False,90000602
603,6,3,53,Account,9,False,90000603
604,6,4,54,Account,6,False,90000604
701,7,1,51,Account,36,False,90000701
702,7,2,52,Account,18,False,90000702
703,7,3,53,Account,9,False,90000703
704,7,4,54,Account,6,False,90000704
801,8,1,81,Account,36,False,90000801
802,8,2,82,Account,18,False,90000802
803,8,3,83,Account,9,False,90000803
804,8,4,84,Account,6,False,90000804
905,9,5,95,Account,1,True,90000905
901,9,1,91,Account,30,False,90000901
902,9,2,92,Account,15,False,90000902
903,9,3,93,Account,7,False,90000903
904,9,4,94,Account,5,False,90000904
1005,10,5,105,Account,1,True,90001005
1001,10,1,101,Account,30,False,90001001
1002,10,2,102,Account,15,False,90001002
1003,10,3,103,Account,7,False,90001003
1004,10,4,104,Account,5,False,90001004
1101,11,1,111,Account,36,False,90001101
1102,11,2,112,Account,18,False,90001102
1103,11,3,113,Account,9,False,90001103
1104,11,4,114,Account,6,False,90001104
1201,12,1,121,Account,36,False,90001201
1202,12,2,122,Account,18,False,90001202
1203,12,3,123,Account,9,False,90001203
1204,12,4,124,Account,6,False,90001204
1301,13,1,131,Account,36,False,90001301
1302,13,2,132,Account,18,False,90001302
1303,13,3,133,Account,9,False,90001303
1304,13,4,134,Account,6,False,90001304
1401,14,2,141,Account,36,False,90001401
1402,14,3,142,Account,18,False,90001402
1403,14,4,143,Account,9,False,90001403
1404,14,5,144,Account,6,False,90001404
1405,14,1,145,Account,1,True,90001405
1501,15,2,151,Account,36,False,90001501
1502,15,3,152,Account,18,False,90001502
1503,15,4,153,Account,9,False,90001503
1504,15,5,154,Account,6,False,90001504
1505,15,1,155,Account,1,True,90001505
1601,16,1,161,Account,36,False,90001601
1602,16,2,162,Account,18,False,90001602
1603,16,3,163,Account,9,False,90001603
1604,16,4,164,Account,6,False,90001604
1701,17,1,171,Account,36,False,90001701
1702,17,2,172,Account,18,False,90001702
1703,17,3,173,Account,9,False,90001703
1704,17,4,174,Account,6,False,90001704
1801,18,1,181,Account,36,False,90001801
1802,18,2,182,Account,18,False,90001802
1803,18,3,183,Account,9,False,90001803
1804,18,4,184,Account,6,False,90001804
1901,19,2,191,Account,30,False,90001901
1902,19,3,192,Account,15,False,90001902
1903,19,4,193,Account,7,False,90001903
1904,19,5,194,Account,5,False,90001904
1905,19,1,195,Account,1,True,90001905
2001,20,2,201,Account,30,False,90002001
2002,20,3,202,Account,15,False,90002002
2003,20,4,203,Account,7,False,90002003
2004,20,5,204,Account,5,False,90002004
2005,20,1,205,Account,1,True,90002005
2101,21,2,211,Account,30,False,90002101
2102,21,3,212,Account,15,False,90002102
2103,21,4,213,Account,7,False,90002103
2104,21,5,214,Account,5,False,90002104
2105,21,1,215,Account,1,True,90002105
2201,22,2,221,Account,30,False,90002201
2202,22,3,222,Account,15,False,90002202
2203,22,4,223,Account,7,False,90002203
2204,22,5,224,Account,5,False,90002204
2205,22,1,225,Account,1,True,90002205
2301,23,1,231,Account,36,False,90002301
2302,23,2,232,Account,18,False,90002302
2303,23,3,233,Account,9,False,90002303
2304,23,4,234,Account,6,False,90002304
2401,24,1,241,Account,36,False,90002401
2402,24,2,242,Account,18,False,90002402
2403,24,3,243,Account,9,False,90002403
2404,24,4,244,Account,6,False,90002404
2501,25,1,251,Account,36,False,90002501
2502,25,2,252,Account,18,False,90002502
2503,25,3,253,Account,9,False,90002503
2504,25,4,254,Account,6,False,90002504
