id,group_id,ce002minigame_data_name,field_npc_id,field_npc_location_name,field_npc_hint_resource,indicator_delay_time,stage_id,end_archive,open_condition_list/0/open_condition_type,open_condition_list/0/open_condition_value,open_condition_list/1/open_condition_type,open_condition_list/1/open_condition_value
1001,1,Locale_Event:ce002_event_minigame_data_name_001,100001,Locale_Event:ce002_event_minigame_npc_spawn_location_01,ce002_minigame_npc_01,300,101,10001,None,0,None,0
1002,1,Locale_Event:ce002_event_minigame_data_name_002,100002,Locale_Event:ce002_event_minigame_npc_spawn_location_03,ce002_minigame_npc_14,300,102,10002,EventCE002MiniGameDataClear,1001,None,0
1003,1,Locale_Event:ce002_event_minigame_data_name_003,100003,Locale_Event:ce002_event_minigame_npc_spawn_location_04,ce002_minigame_npc_23,300,103,10003,EventCE002MiniGameDataClear,1002,None,0
1004,1,Locale_Event:ce002_event_minigame_data_name_004,100004,Locale_Event:ce002_event_minigame_npc_spawn_location_01,ce002_minigame_npc_22,300,104,10004,EventCE002MiniGameDataClear,1003,EventDay,2
1005,1,Locale_Event:ce002_event_minigame_data_name_005,100005,Locale_Event:ce002_event_minigame_npc_spawn_location_02,ce002_minigame_npc_12,300,105,10005,EventCE002MiniGameDataClear,1004,EventDay,3
1006,1,Locale_Event:ce002_event_minigame_data_name_006,100006,Locale_Event:ce002_event_minigame_npc_spawn_location_01,ce002_minigame_npc_18,300,106,10006,EventCE002MiniGameDataClear,1005,EventDay,4
1007,1,Locale_Event:ce002_event_minigame_data_name_007,100007,Locale_Event:ce002_event_minigame_npc_spawn_location_04,ce002_minigame_npc_09,300,107,10007,EventCE002MiniGameDataClear,1006,EventDay,5
1008,1,Locale_Event:ce002_event_minigame_data_name_008,100008,Locale_Event:ce002_event_minigame_npc_spawn_location_03,ce002_minigame_npc_06,300,108,10008,EventCE002MiniGameDataClear,1007,EventDay,6
1009,1,Locale_Event:ce002_event_minigame_data_name_009,100009,Locale_Event:ce002_event_minigame_npc_spawn_location_04,ce002_minigame_npc_11,300,109,10009,EventCE002MiniGameDataClear,1008,EventDay,7
1010,1,Locale_Event:ce002_event_minigame_data_name_010,100010,Locale_Event:ce002_event_minigame_npc_spawn_location_04,ce002_minigame_npc_16,300,110,10010,EventCE002MiniGameDataClear,1009,EventDay,8
