id,name_code,condition_type,condition_value,quest_thumbnail_resource_id,name_localkey,description_localkey,next_quest_id,end_scenario_id,reward_id
502001,5020,Outpost_View,0.0,mi_favoriteitem_wallpaper_c072_00,Locale_SubQuest:FAVORITE_QUEST_NAME_502001,Locale_SubQuest:FAVORITE_QUEST_DESC_502001,502002,treasurestory_diesel_01,0
502002,5020,Outpost_Select,22401.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_502002,Locale_SubQuest:FAVORITE_QUEST_DESC_502002,502003,treasurestory_diesel_02,0
502003,5020,Outpost_Select,10501.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_502003,Locale_SubQuest:FAVORITE_QUEST_DESC_502003,502004,treasurestory_diesel_03,0
502004,5020,Outpost_Select,10701.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_502004,Locale_SubQuest:FAVORITE_QUEST_DESC_502004,502005,treasurestory_diesel_04,0
502005,5020,Outpost_View,0.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_502005,Locale_SubQuest:FAVORITE_QUEST_DESC_502005,502006,treasurestory_diesel_05,0
502006,5020,Outpost_Select,10601.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_502006,Locale_SubQuest:FAVORITE_QUEST_DESC_502006,502007,treasurestory_diesel_06,3800101
502007,5020,End,,,Locale_SubQuest:FAVORITE_QUEST_NAME_502007,Locale_SubQuest:FAVORITE_QUEST_DESC_502007,0,,0
101001,1010,Outpost_View,0.0,mi_favoriteitem_wallpaper_c100_00,Locale_SubQuest:FAVORITE_QUEST_NAME_101001,Locale_SubQuest:FAVORITE_QUEST_DESC_101001,101002,treasurestory_laplace_01,0
101002,1010,Outpost_Select,22401.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_101002,Locale_SubQuest:FAVORITE_QUEST_DESC_101002,101003,treasurestory_laplace_02,0
101003,1010,Outpost_Select,10901.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_101003,Locale_SubQuest:FAVORITE_QUEST_DESC_101003,101004,treasurestory_laplace_03,0
101004,1010,FavoriteItemQuest_Stage_Group_Clear,1010.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_101004,Locale_SubQuest:FAVORITE_QUEST_DESC_101004,101005,,0
101005,1010,Outpost_Select,10901.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_101005,Locale_SubQuest:FAVORITE_QUEST_DESC_101005,101006,treasurestory_laplace_05,0
101006,1010,Outpost_View,0.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_101006,Locale_SubQuest:FAVORITE_QUEST_DESC_101006,101007,treasurestory_laplace_06,3800401
101007,1010,End,,,Locale_SubQuest:FAVORITE_QUEST_NAME_101007,Locale_SubQuest:FAVORITE_QUEST_DESC_101007,0,,0
501001,5010,Outpost_View,0.0,mi_favoriteitem_wallpaper_c142_00,Locale_SubQuest:FAVORITE_QUEST_NAME_501001,Locale_SubQuest:FAVORITE_QUEST_DESC_501001,501002,treasurestory_frima_01,0
501002,5010,Outpost_Select,22401.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_501002,Locale_SubQuest:FAVORITE_QUEST_DESC_501002,501003,treasurestory_frima_02,0
501003,5010,Outpost_Select,10401.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_501003,Locale_SubQuest:FAVORITE_QUEST_DESC_501003,501004,treasurestory_frima_03,0
501004,5010,Outpost_Select,10201.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_501004,Locale_SubQuest:FAVORITE_QUEST_DESC_501004,501005,treasurestory_frima_04,0
501005,5010,Outpost_Select,22401.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_501005,Locale_SubQuest:FAVORITE_QUEST_DESC_501005,501006,treasurestory_frima_05,0
501006,5010,FavoriteItemQuest_Stage_Group_Clear,5010.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_501006,Locale_SubQuest:FAVORITE_QUEST_DESC_501006,501007,,0
501007,5010,Outpost_View,0.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_501007,Locale_SubQuest:FAVORITE_QUEST_DESC_501007,501008,treasurestory_frima_07,3800301
501008,5010,End,,,Locale_SubQuest:FAVORITE_QUEST_NAME_501008,Locale_SubQuest:FAVORITE_QUEST_DESC_501008,0,,0
500301,5003,Outpost_View,0.0,mi_favoriteitem_wallpaper_c210_00,Locale_SubQuest:FAVORITE_QUEST_NAME_500301,Locale_SubQuest:FAVORITE_QUEST_DESC_500301,500302,treasurestory_exia_01,0
500302,5003,Outpost_Select,22401.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_500302,Locale_SubQuest:FAVORITE_QUEST_DESC_500302,500303,treasurestory_exia_02,0
500303,5003,Lobby_Enter,0.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_500303,Locale_SubQuest:FAVORITE_QUEST_DESC_500303,500304,treasurestory_exia_03,0
500304,5003,Ark_View,0.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_500304,Locale_SubQuest:FAVORITE_QUEST_DESC_500304,500305,treasurestory_exia_04,0
500305,5003,Lobby_Enter,0.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_500305,Locale_SubQuest:FAVORITE_QUEST_DESC_500305,500306,treasurestory_exia_05,0
500306,5003,Outpost_View,0.0,,Locale_SubQuest:FAVORITE_QUEST_NAME_500306,Locale_SubQuest:FAVORITE_QUEST_DESC_500306,500307,treasurestory_exia_06,3800201
500307,5003,End,,,Locale_SubQuest:FAVORITE_QUEST_NAME_500307,Locale_SubQuest:FAVORITE_QUEST_DESC_500307,0,,0
