id,group_id,use_weapon_id,weapon_appearance_value,level_1_appearance_value,level_2_appearance_value,level_3_appearance_value,level_4_appearance_value,add_weapon_appearance_value
101,1,1,200,200,10,0,0,150
102,1,2,200,200,10,0,0,150
103,1,3,200,200,10,0,0,150
104,1,4,200,200,10,0,0,150
105,1,5,50,200,10,0,0,40
106,1,6,200,200,10,0,0,150
107,1,7,50,200,10,0,0,40
108,1,8,50,200,10,0,0,40
109,1,9,50,200,10,0,0,40
110,1,10,200,200,10,0,0,150
111,1,11,40,200,10,0,0,15
112,1,12,40,200,10,0,0,15
113,1,13,40,200,10,0,0,15
114,1,14,40,200,10,0,0,15
115,1,15,40,200,10,0,0,15
116,1,16,40,200,10,0,0,15
117,1,17,40,200,10,0,0,15
118,1,18,40,200,10,0,0,15
201,2,1,200,200,10,0,0,150
202,2,2,200,200,10,0,0,150
203,2,3,200,200,10,0,0,150
204,2,4,200,200,10,0,0,150
205,2,5,50,200,10,0,0,40
206,2,6,200,200,10,0,0,150
207,2,7,50,200,10,0,0,40
208,2,8,50,200,10,0,0,40
209,2,9,50,200,10,0,0,40
210,2,10,200,200,10,0,0,150
211,2,11,40,200,10,0,0,15
212,2,12,40,200,10,0,0,15
213,2,13,40,200,10,0,0,15
214,2,14,40,200,10,0,0,15
215,2,15,40,200,10,0,0,15
216,2,16,40,200,10,0,0,15
217,2,17,40,200,10,0,0,15
218,2,18,40,200,10,0,0,15
301,3,1,200,200,10,0,0,150
302,3,2,200,200,10,0,0,150
303,3,3,200,200,10,0,0,150
304,3,4,200,200,10,0,0,150
305,3,5,100,200,10,0,0,60
306,3,6,200,200,10,0,0,150
307,3,7,100,200,10,0,0,60
308,3,8,100,200,10,0,0,60
309,3,9,100,200,10,0,0,60
310,3,10,200,200,10,0,0,150
311,3,11,40,200,10,0,0,15
312,3,12,40,200,10,0,0,15
313,3,13,40,200,10,0,0,15
314,3,14,40,200,10,0,0,15
315,3,15,40,200,10,0,0,15
316,3,16,40,200,10,0,0,15
317,3,17,40,200,10,0,0,15
318,3,18,40,200,10,0,0,15
401,4,1,200,200,15,2,0,150
402,4,2,200,200,15,2,0,150
403,4,3,200,200,15,2,0,150
404,4,4,200,200,15,2,0,150
405,4,5,100,200,15,2,0,60
406,4,6,200,200,15,2,0,150
407,4,7,100,200,15,2,0,60
408,4,8,100,200,15,2,0,60
409,4,9,100,200,15,2,0,60
410,4,10,200,200,15,2,0,150
411,4,11,40,200,15,2,0,15
412,4,12,40,200,15,2,0,15
413,4,13,40,200,15,2,0,15
414,4,14,40,200,15,2,0,15
415,4,15,40,200,15,2,0,15
416,4,16,40,200,15,2,0,15
417,4,17,40,200,15,2,0,15
418,4,18,40,200,15,2,0,15
501,5,1,200,200,15,2,0,150
502,5,2,200,200,15,2,0,150
503,5,3,200,200,15,2,0,150
504,5,4,200,200,15,2,0,150
505,5,5,150,200,15,2,0,120
506,5,6,200,200,15,2,0,150
507,5,7,150,200,15,2,0,120
508,5,8,150,200,15,2,0,120
509,5,9,150,200,15,2,0,120
510,5,10,200,200,15,2,0,150
511,5,11,40,200,15,2,0,15
512,5,12,40,200,15,2,0,15
513,5,13,40,200,15,2,0,15
514,5,14,40,200,15,2,0,15
515,5,15,40,200,15,2,0,15
516,5,16,40,200,15,2,0,15
517,5,17,40,200,15,2,0,15
518,5,18,40,200,15,2,0,15
601,6,1,200,200,20,5,0,150
602,6,2,200,200,20,5,0,150
603,6,3,200,200,20,5,0,150
604,6,4,200,200,20,5,0,150
605,6,5,200,200,20,5,0,150
606,6,6,200,200,20,5,0,150
607,6,7,200,200,20,5,0,150
608,6,8,200,200,20,5,0,150
609,6,9,200,200,20,5,0,150
610,6,10,200,200,20,5,0,150
