level,type,need_synchro_lv_min,gold,character_exp,character_exp_2
1,CharacterLevel,1,600,2280,0
2,CharacterLevel,1,600,2280,0
3,CharacterLevel,1,600,2280,0
4,CharacterLevel,1,600,2280,0
5,CharacterLevel,1,600,2280,0
6,CharacterLevel,1,600,2280,0
7,CharacterLevel,1,600,2280,0
8,CharacterLevel,1,600,2280,0
9,CharacterLevel,1,600,2280,0
10,CharacterLevel,1,600,2280,20
11,CharacterLevel,1,600,2280,0
12,CharacterLevel,1,600,2280,0
13,CharacterLevel,1,600,2280,0
14,CharacterLevel,1,600,2280,0
15,CharacterLevel,1,600,2280,0
16,CharacterLevel,1,600,2280,0
17,CharacterLevel,1,600,2280,0
18,CharacterLevel,1,600,2280,0
19,CharacterLevel,1,600,2280,0
20,CharacterLevel,1,600,5700,40
21,CharacterLevel,1,600,5700,0
22,CharacterLevel,1,600,5700,0
23,CharacterLevel,1,600,5700,0
24,CharacterLevel,1,600,5700,0
25,CharacterLevel,1,600,5700,0
26,CharacterLevel,1,600,5700,0
27,CharacterLevel,1,600,5700,0
28,CharacterLevel,1,600,5700,0
29,CharacterLevel,1,600,5700,0
30,CharacterLevel,1,840,5700,0
31,CharacterLevel,1,840,5700,0
32,CharacterLevel,1,840,5700,0
33,CharacterLevel,1,840,5700,0
34,CharacterLevel,1,840,5700,0
35,CharacterLevel,1,840,5700,0
36,CharacterLevel,1,840,5700,0
37,CharacterLevel,1,840,5700,0
38,CharacterLevel,1,840,5700,0
39,CharacterLevel,1,840,5700,0
40,CharacterLevel,1,4860,22650,80
41,CharacterLevel,20,4860,22650,0
42,CharacterLevel,20,4860,22650,0
43,CharacterLevel,20,4860,22650,0
44,CharacterLevel,20,4860,22650,0
45,CharacterLevel,20,4860,22650,0
46,CharacterLevel,20,4860,22650,0
47,CharacterLevel,20,4860,22650,0
48,CharacterLevel,20,4860,22650,0
49,CharacterLevel,20,4860,22650,0
50,CharacterLevel,20,4860,22650,0
51,CharacterLevel,20,6540,37250,0
52,CharacterLevel,20,6540,37250,0
53,CharacterLevel,20,6540,37250,0
54,CharacterLevel,20,6540,37250,0
55,CharacterLevel,20,6540,37250,0
56,CharacterLevel,20,6540,37250,0
57,CharacterLevel,20,6540,37250,0
58,CharacterLevel,20,6540,37250,0
59,CharacterLevel,20,6540,37250,0
60,CharacterLevel,20,10350,71850,400
61,CharacterLevel,40,10350,71850,0
62,CharacterLevel,40,10350,71850,0
63,CharacterLevel,40,10350,71850,0
64,CharacterLevel,40,10350,71850,0
65,CharacterLevel,40,10350,71850,0
66,CharacterLevel,40,10350,71850,0
67,CharacterLevel,40,10350,71850,0
68,CharacterLevel,40,10350,71850,0
69,CharacterLevel,40,10350,71850,0
70,CharacterLevel,40,10350,71850,0
71,CharacterLevel,40,14600,109450,0
72,CharacterLevel,40,14600,109450,0
73,CharacterLevel,40,14600,109450,0
74,CharacterLevel,40,14600,109450,0
75,CharacterLevel,40,14600,109450,0
76,CharacterLevel,40,16300,126250,0
