id,user_title_id,order,info_type,contents_desc_locale_key,acquire_condition_list/0/condition_type,acquire_condition_list/0/condition_point_value,acquire_condition_list/0/condition_desc_locale_key,acquire_condition_list/1/condition_type,acquire_condition_list/1/condition_point_value,acquire_condition_list/1/condition_desc_locale_key,acquire_condition_list/2/condition_type,acquire_condition_list/2/condition_point_value,acquire_condition_list/2/condition_desc_locale_key,acquire_condition_list/3/condition_type,acquire_condition_list/3/condition_point_value,acquire_condition_list/3/condition_desc_locale_key,acquire_condition_list/4/condition_type,acquire_condition_list/4/condition_point_value,acquire_condition_list/4/condition_desc_locale_key
101,1,1,Contents,Locale_System:USERTITLE_CONTENTS_DESC_DEFAULTTITLE,,,,,,,,,,,,,,,
1101,11,1,Mission,,UserTitle_InfracoreLv,20.0,Locale_System:USERTITLE_CONDITION_INFRACORELV,,,,,,,,,,,,
1201,12,1,Mission,,UserTitle_UserLv,100.0,Locale_System:USERTITLE_CONDITION_USERLV,,,,,,,,,,,,
1301,13,1,Mission,,UserTitle_OpenSyncroDevice,1.0,Locale_System:USERTITLE_CONDITION_OPENSYNCRODEVICE,,,,,,,,,,,,
1401,14,1,Mission,,UserTitle_ClearChapter,25.0,Locale_System:USERTITLE_CONDITION_CLEARCHAPTER,,,,,,,,,,,,
1501,15,1,Mission,,UserTitle_MaxAttractiveTotalCount,10.0,Locale_System:USERTITLE_CONDITION_MAXATTRACTIVETOTALCOUNT,,,,,,,,,,,,
1601,16,1,Mission,,UserTitle_OutpostScenario,100.0,Locale_System:USERTITLE_CONDITION_OUTPOSTSCENARIO,,,,,,,,,,,,
1701,17,1,Mission,,UserTitle_AttractiveScenario,100.0,Locale_System:USERTITLE_CONDITION_ATTRACTIVESCENARIO,,,,,,,,,,,,
1801,18,1,Mission,,UserTitle_SendFriendPointCount,1000.0,Locale_System:USERTITLE_CONDITION_SENDFRIENDPOINTCOUNT,,,,,,,,,,,,
1901,19,1,Mission,,UserTitle_RecycleResearchAttacker,50.0,Locale_System:USERTITLE_CONDITION_RECYCLERESEARCHATTACKER,UserTitle_RecycleResearchDefender,50.0,Locale_System:USERTITLE_CONDITION_RECYCLERESEARCHDEFENDER,UserTitle_RecycleResearchSupporter,50.0,Locale_System:USERTITLE_CONDITION_RECYCLERESEARCHSUPPORTER,,,,,,
