id,manager_id,mission_localkey,mission_category,mission_type,mission_target_id,mission_count,reward_type,reward_value
1010101,101,Locale_Event:ce004_mission_daily_point_reward_01,DailyPoint,DailyPointReward,0,20,Item,8138061
1010102,101,Locale_Event:ce004_mission_daily_point_reward_02,DailyPoint,DailyPointReward,0,40,Item,8138062
1010103,101,Locale_Event:ce004_mission_daily_point_reward_03,DailyPoint,DailyPointReward,0,60,Item,8138063
1010104,101,Locale_Event:ce004_mission_daily_point_reward_04,DailyPoint,DailyPointReward,0,80,Item,8138064
1010105,101,Locale_Event:ce004_mission_daily_point_reward_05,DailyPoint,DailyPointReward,0,100,Item,8138065
1020101,101,Locale_Event:ce004_mission_daily_mission_name_01,DailyMission,CharacterPlay,0,1,DailyPoint,40
1020102,101,Locale_Event:ce004_mission_daily_mission_name_02,DailyMission,BurstSkill,0,1,DailyPoint,40
1020103,101,Locale_Event:ce004_mission_daily_mission_name_03,DailyMission,AttackSuccessCount,0,2,DailyPoint,30
1020104,101,Locale_Event:ce004_mission_daily_mission_name_04,DailyMission,DefenceSuccessCount,0,2,DailyPoint,30
1020105,101,Locale_Event:ce004_mission_daily_mission_name_05,DailyMission,ChallengeDamage,0,1000,DailyPoint,100
1030101,101,Locale_Event:ce004_mission_achievement_characterplay_101,Achievement,CharacterPlay,101,3,Item,8138066
1030102,101,Locale_Event:ce004_mission_achievement_characterplay_101,Achievement,CharacterPlay,101,6,Item,8138067
1030103,101,Locale_Event:ce004_mission_achievement_characterplay_101,Achievement,CharacterPlay,101,9,Item,8138068
1030201,101,Locale_Event:ce004_mission_achievement_characterplay_102,Achievement,CharacterPlay,102,3,Item,8138069
1030202,101,Locale_Event:ce004_mission_achievement_characterplay_102,Achievement,CharacterPlay,102,6,Item,8138070
1030203,101,Locale_Event:ce004_mission_achievement_characterplay_102,Achievement,CharacterPlay,102,9,Item,8138071
1030301,101,Locale_Event:ce004_mission_achievement_characterplay_103,Achievement,CharacterPlay,103,3,Item,8138072
1030302,101,Locale_Event:ce004_mission_achievement_characterplay_103,Achievement,CharacterPlay,103,6,Item,8138073
1030303,101,Locale_Event:ce004_mission_achievement_characterplay_103,Achievement,CharacterPlay,103,9,Item,8138074
1030401,101,Locale_Event:ce004_mission_achievement_buffupgradecount,Achievement,BuffUpgradeCount,0,15,Item,8138075
1030402,101,Locale_Event:ce004_mission_achievement_buffupgradecount,Achievement,BuffUpgradeCount,0,30,Item,8138076
1030403,101,Locale_Event:ce004_mission_achievement_buffupgradecount,Achievement,BuffUpgradeCount,0,45,Item,8138077
1030501,101,Locale_Event:ce004_mission_achievement_stageclear_107,Achievement,StageClear,107,1,Item,8138078
1030502,101,Locale_Event:ce004_mission_achievement_stageclear_207,Achievement,StageClear,207,1,Item,8138079
1030503,101,Locale_Event:ce004_mission_achievement_stageclear_307,Achievement,StageClear,307,1,Item,8138080
1030601,101,Locale_Event:ce004_mission_achievement_accumulatedamage,Achievement,AccumulateDamage,0,5000,Item,8138081
1030602,101,Locale_Event:ce004_mission_achievement_accumulatedamage,Achievement,AccumulateDamage,0,15000,Item,8138082
1030603,101,Locale_Event:ce004_mission_achievement_accumulatedamage,Achievement,AccumulateDamage,0,25000,Item,8138083
1030604,101,Locale_Event:ce004_mission_achievement_accumulatedamage,Achievement,AccumulateDamage,0,45000,Item,8138084
1030605,101,Locale_Event:ce004_mission_achievement_accumulatedamage,Achievement,AccumulateDamage,0,65000,Item,8138085
1030701,101,Locale_Event:ce004_mission_achievement_challengedamage,Achievement,ChallengeDamage,0,10000,Item,8138086
1030801,101,Locale_Event:ce004_mission_achievement_successcount,Achievement,SuccessCount,0,100,Item,8138087
1030802,101,Locale_Event:ce004_mission_achievement_successcount,Achievement,SuccessCount,0,300,Item,8138088
1030803,101,Locale_Event:ce004_mission_achievement_successcount,Achievement,SuccessCount,0,600,Item,8138089
1030804,101,Locale_Event:ce004_mission_achievement_successcount,Achievement,SuccessCount,0,1000,Item,8138090
