id,name_localkey,description_localkey,order,resource_id,mi_resource_id,si_resource_id,condition_campaign_stage_clear,price_type,price_id,price_count,exchange_item_type,exchange_item_id,exchange_item_count,is_secret
1001,Locale_System:LOBBY_DECO_BACKGROUND_DEFAULT_NAME,Locale_System:LOBBY_DECO_BACKGROUND_DESC,1,lbg_lobby,mi_lbg_lobby,si_lbg_lobby,6000001,Currency,99,300,Currency,99,300,False
10001,Locale_System:LOBBY_DECO_BACKGROUND_AZXIN_NAME,Locale_System:LOBBY_DECO_BACKGROUND_DESC,10001,AZXIn,mi_AZXIn,si_AZXIn,6000001,Currency,99,300,Currency,99,300,False
10002,Locale_System:LOBBY_DECO_BACKGROUND_BACKSTREET_NAME,Locale_System:LOBBY_DECO_BACKGROUND_DESC,10002,Backstreet,mi_Backstreet,si_Backstreet,6000001,Currency,99,300,Currency,99,300,False
10003,Locale_System:LOBBY_DECO_BACKGROUND_BACKSTREET_N_NAME,Locale_System:LOBBY_DECO_BACKGROUND_DESC,10003,Backstreet_n,mi_Backstreet_n,si_Backstreet_n,6000001,Currency,99,300,Currency,99,300,False
10004,Locale_System:LOBBY_DECO_BACKGROUND_BUILDINGLOBBY_NAME,Locale_System:LOBBY_DECO_BACKGROUND_DESC,10004,BuildingLobby,mi_BuildingLobby,si_BuildingLobby,6000001,Currency,99,300,Currency,99,300,False
10005,Locale_System:LOBBY_DECO_BACKGROUND_CLASSROOM_NAME,Locale_System:LOBBY_DECO_BACKGROUND_DESC,10005,Classroom,mi_Classroom,si_Classroom,6000001,Currency,99,300,Currency,99,300,False
10006,Locale_System:LOBBY_DECO_BACKGROUND_CLASSROOM_E_NAME,Locale_System:LOBBY_DECO_BACKGROUND_DESC,10006,Classroom_e,mi_Classroom_e,si_Classroom_e,6000001,Currency,99,300,Currency,99,300,False
10007,Locale_System:LOBBY_DECO_BACKGROUND_CLASSROOM_N_NAME,Locale_System:LOBBY_DECO_BACKGROUND_DESC,10007,Classroom_n,mi_Classroom_n,si_Classroom_n,6000001,Currency,99,300,Currency,99,300,False
10008,Locale_System:LOBBY_DECO_BACKGROUND_COMMANDERROOM_NAME,Locale_System:LOBBY_DECO_BACKGROUND_DESC,10008,CommanderRoom,mi_CommanderRoom,si_CommanderRoom,6000001,Currency,99,300,Currency,99,300,False
10009,Locale_System:LOBBY_DECO_BACKGROUND_COMMANDERROOM_N_NAME,Locale_System:LOBBY_DECO_BACKGROUND_DESC,10009,CommanderRoom_n,mi_CommanderRoom_n,si_CommanderRoom_n,6000001,Currency,99,300,Currency,99,300,False
