book_id,event_id,book_type,book_group,stage_id,detailinfo_id
60001,81901,common,1,1002,6001
60002,81901,common,1,1004,6002
60003,81901,common,1,1004,6003
60004,81901,common,1,1006,6004
60005,81901,advanced,1,0,6005
60006,81901,common,2,1007,6006
60007,81901,common,2,1008,6007
60008,81901,common,2,1008,6008
60009,81901,common,2,1009,6009
60010,81901,advanced,2,0,6010
60011,81901,common,3,1011,6011
60012,81901,common,3,1012,6012
60013,81901,common,3,1012,6013
60014,81901,common,3,1013,6014
60015,81901,advanced,3,0,6015
60016,81901,common,4,1015,6016
60017,81901,common,4,1015,6017
60018,81901,common,4,1016,6018
60019,81901,common,4,1018,6019
60020,81901,advanced,4,0,6020
60021,81901,common,5,1018,6021
60022,81901,common,5,1019,6022
60023,81901,common,5,1021,6023
60024,81901,common,5,1021,6024
60025,81901,advanced,5,0,6025
60026,81901,enemy,0,1001,12001
60027,81901,enemy,0,1001,12002
60028,81901,enemy,0,1009,12003
60029,81901,enemy,0,1007,13001
60030,81901,enemy,0,1014,13002
60031,81901,enemy,0,1011,13003
60032,81901,enemy,0,1004,13004
60033,81901,enemy,0,1017,13005
60034,81901,enemy,0,1020,13006
