id,package_group_id,costume_id,start_date,end_date,midas_product_id,buy_limit_type,is_limit,buy_limit_count
130001,130001,60002,796473344,341344640,100130001,Account,True,1
130002,130002,110008,1991606272,2010859904,100130002,Account,True,1
130003,130003,110009,1991606272,2010859904,100130003,Account,True,1
130004,130004,110010,1991606272,2010859904,100130004,Account,True,1
130005,130005,30015,-423903232,-404649600,100130005,Account,True,1
130006,130006,50008,-423903232,-404649600,100130006,Account,True,1
130007,130007,30006,-423903232,-404649600,100130007,Account,True,1
130008,130008,50002,-423903232,-404649600,100130008,Account,True,1
130009,130009,50004,-423903232,-404649600,100130009,Account,True,1
130010,130010,30013,-423903232,-404649600,100130010,Account,True,1
130011,130011,90004,-1290356736,-1448064640,100130011,Account,True,1
130012,130012,10004,81737728,-762017408,100130012,Account,True,1
130013,130013,10001,81737728,-762017408,100130013,Account,True,1
130014,130014,10002,81737728,-762017408,100130014,Account,True,1
130015,130015,10003,81737728,-762017408,100130015,Account,True,1
130016,130016,70001,589101056,-577601152,100130016,Account,True,1
130017,130017,70003,589101056,-577601152,100130017,Account,True,1
130018,130018,70004,589101056,-577601152,100130018,Account,True,1
130019,130019,30031,410417152,-730758784,100130019,Account,True,1
130020,130020,50014,919502848,938756480,100130020,Account,True,1
130021,130021,50006,919502848,938756480,100130021,Account,True,1
130022,130022,50005,919502848,938756480,100130022,Account,True,1
