id,group_id,Language,movie_link,subtitles
opening_pv01_en,opening_pv01,en,https://cloud.nikke-kr.com/media/ch01_end_en.mp4,https://cloud.nikke-kr.com/media/ch01_end_en.srt
opening_pv01_ja,opening_pv01,ja,https://cloud.nikke-kr.com/media/ch01_end_ja.mp4,https://cloud.nikke-kr.com/media/ch01_end_ja.srt
opening_pv01_ko,opening_pv01,ko,https://cloud.nikke-kr.com/media/ch01_end_ko.mp4,https://cloud.nikke-kr.com/media/ch01_end_ko.srt
opening_pv01_zh-TW,opening_pv01,zh-TW,https://cloud.nikke-kr.com/media/ch01_end_ko.mp4,https://cloud.nikke-kr.com/media/ch01_end_zh-TW.srt
opening_pv01_zh-CN,opening_pv01,zh-CN,https://cloud.nikke-kr.com/media/ch01_end_ko.mp4,https://cloud.nikke-kr.com/media/ch01_end_zh-CN.srt
opening_pv01_de,opening_pv01,de,https://cloud.nikke-kr.com/media/ch01_end_ko.mp4,https://cloud.nikke-kr.com/media/ch01_end_de.srt
opening_pv01_th,opening_pv01,th,https://cloud.nikke-kr.com/media/ch01_end_ko.mp4,https://cloud.nikke-kr.com/media/ch01_end_th.srt
opening_pv01_fr,opening_pv01,fr,https://cloud.nikke-kr.com/media/ch01_end_ko.mp4,https://cloud.nikke-kr.com/media/ch01_end_fr.srt
ch18_end_en,ch18_end,en,https://cloud.nikke-kr.com/media/ch18_end_en.mp4,https://cloud.nikke-kr.com/media/ch18_end_en.srt
ch18_end_ja,ch18_end,ja,https://cloud.nikke-kr.com/media/ch18_end_ja.mp4,https://cloud.nikke-kr.com/media/ch18_end_ja.srt
ch18_end_ko,ch18_end,ko,https://cloud.nikke-kr.com/media/ch18_end_ko.mp4,https://cloud.nikke-kr.com/media/ch18_end_ko.srt
ch18_end_zh-TW,ch18_end,zh-TW,https://cloud.nikke-kr.com/media/ch18_end_ko.mp4,https://cloud.nikke-kr.com/media/ch18_end_zh-TW.srt
