id,groupid,step,order,effect_type,effect_value
100,100,1,1,AddBasicElectronicsAmount,5
101,100,2,1,AddBasicElectronicsAmount,10
102,100,2,2,DecreaseSideElectronicsRequirementAmount,10
103,100,3,1,AddBasicElectronicsAmount,20
104,100,3,2,DecreaseSideElectronicsRequirementAmount,20
110,101,1,1,IncreaseProductionAmount,2
111,101,2,1,DecreaseElectronicsRequirementAmount,10
112,101,2,2,DecreaseCreateTime,1000
113,101,3,1,DecreaseElectronicsRequirementAmount,15
114,101,3,2,DecreaseCreateTime,1500
115,101,4,1,DecreaseElectronicsRequirementAmount,20
116,101,4,2,DecreaseCreateTime,2000
117,101,5,1,DecreaseElectronicsRequirementAmount,30
118,101,5,2,DecreaseCreateTime,2500
120,102,1,1,IncreaseProductionAmount,2
121,102,2,1,DecreaseRequirementAmount,10
122,102,2,2,DecreaseCreateTime,1000
123,102,3,1,DecreaseRequirementAmount,30
124,102,3,2,DecreaseCreateTime,2000
130,103,1,1,DecreaseRecruitValuePercentage,300
131,103,2,1,DecreaseRecruitValuePercentage,400
132,103,3,1,DecreaseRecruitValuePercentage,700
140,104,1,1,DecreaseElectronicsRequirementAmount,10
141,104,2,1,DecreaseElectronicsRequirementAmount,15
142,104,2,2,DecreaseCreateTime,1000
143,104,3,1,DecreaseElectronicsRequirementAmount,20
144,104,3,2,DecreaseCreateTime,2000
150,105,1,1,AddDispatchSuccessProbability,400
151,105,2,1,AddDispatchSuccessProbability,800
152,105,2,2,AddDispatchResourcePercentage,1000
153,105,3,1,AddDispatchSuccessProbability,1500
154,105,3,2,AddDispatchResourcePercentage,2000
160,106,1,1,DecreaseRecruitValuePercentage,300
161,106,2,1,DecreaseRecruitValuePercentage,400
162,106,3,1,DecreaseRecruitValuePercentage,700
